joint_name,q_value,delta_q,ee_x,ee_y,ee_z,delta_ee_x,delta_ee_y,delta_ee_z,roll,pitch,yaw
jnt1,0.37469876735799995,-0.3,0.29798056792148425,-0.11718783897080419,-0.09999051825273125,0.0,0.0,0.0,-1.5708042066857704,-3.3645800314729968e-06,2.76690049935593
jnt1,0.37969876735799996,-0.295,0.29739090274587077,-0.1186762707483332,-0.09999052918737614,-0.0005896651756134852,-0.0014884317775290118,-1.0934644883997535e-08,-1.5708041931569314,-3.3987299197235643e-06,2.761900499356019
jnt1,0.38469876735799996,-0.29,0.29679380281317774,-0.12016173560691056,-0.09999054010022493,-0.001186765108306509,-0.0029738966361063657,-2.18474936752866e-08,-1.5708041794575123,-3.4328117370918676e-06,2.756900499356107
jnt1,0.38969876735799996,-0.285,0.2961892830508724,-0.12164419640999184,-0.09999055099100457,-0.0017912848706118645,-0.004456357439187653,-3.273827331451429e-08,-1.5708041655878564,-3.466824631814802e-06,2.751900499356194
jnt1,0.39469876735799997,-0.27999999999999997,0.2955773585719172,-0.12312361609613455,-0.09999056185944305,-0.0024032093495670592,-0.00593577712533036,-4.3606711797039566e-08,-1.57080415154831,-3.5007677532394865e-06,2.74690049935628
jnt1,0.399698767358,-0.27499999999999997,0.29495804467439246,-0.12459995767992346,-0.09999057270526834,-0.0030225232470917907,-0.0074121187091192725,-5.4452537090465825e-08,-1.5708041373392234,-3.5346402527114407e-06,2.7419004993563654
jnt1,0.4046987673579999,-0.27,0.2943313568411133,-0.12607318425289576,-0.0999905835282095,-0.003649211080370973,-0.008885345282091575,-6.52754782448639e-08,-1.5708041229609533,-3.5684412837966306e-06,2.7369004993564494
jnt1,0.4096987673579999,-0.265,0.2936973107392426,-0.12754325898446384,-0.09999059432799587,-0.004283257182241651,-0.010355420013659647,-7.607526461561598e-08,-1.570804108413859,-3.6021700018373792e-06,2.7319004993565317
jnt1,0.41469876735799993,-0.26,0.29305592221990046,-0.12901014512283632,-0.09999060510435756,-0.004924645701583796,-0.011822306152032128,-8.685162630750476e-08,-1.5708040936983025,-3.6358255621760094e-06,2.7269004993566135
jnt1,0.41969876735799994,-0.255,0.29240720731776587,-0.13047380599593578,-0.09999061585702512,-0.00557336060371838,-0.013285967025131587,-9.760429386940217e-08,-1.5708040788146536,-3.6694071250398252e-06,2.721900499356694
jnt1,0.42469876735799994,-0.25,0.29175118225067814,-0.13193420501231654,-0.09999062658572958,-0.006229385670806109,-0.014746366041512346,-1.0833299832202492e-07,-1.5708040637632836,-3.702913849989997e-06,2.7169004993567736
jnt1,0.42969876735799994,-0.245,0.29108786341922926,-0.1333913056620797,-0.09999063729020297,-0.006892704502254987,-0.016203466691275523,-1.1903747171304602e-07,-1.5708040485445682,-3.7363448994742754e-06,2.711900499356852
jnt1,0.43469876735799995,-0.24,0.29041726740635593,-0.1348450715177845,-0.09999064797017762,-0.007563300515128324,-0.017657232546980303,-1.2971744636769422e-07,-1.570804033158889,-3.769699437716767e-06,2.706900499356929
jnt1,0.43969876735799995,-0.235,0.2897394109769231,-0.13629546623536065,-0.09999065862538631,-0.008241156944561179,-0.019107627264556462,-1.403726550552875e-07,-1.5708040176066298,-3.802976631606114e-06,2.7019004993570053
jnt1,0.44469876735799996,-0.22999999999999998,0.2890543110773065,-0.1377424535550152,-0.09999066925556291,-0.008926256844177749,-0.020554614584210998,-1.5100283165536688e-07,-1.5708040018881806,-3.836175647808915e-06,2.69690049935708
jnt1,0.44969876735799996,-0.22499999999999998,0.28836198483496783,-0.13918599730214107,-0.09999067986044144,-0.009618583086516419,-0.02199815833133688,-1.616077101862512e-07,-1.5708039860039327,-3.869295657432659e-06,2.691900499357154
jnt1,0.45469876735799997,-0.21999999999999997,0.2876624495580273,-0.14062606138821945,-0.09999069043975714,-0.010318118363456974,-0.023438222417415264,-1.7218702588750467e-07,-1.5708039699542842,-3.902335832028925e-06,2.6869004993572263
jnt1,0.45969876735799997,-0.21499999999999997,0.28695572273483005,-0.14206260981172328,-0.09999070099324522,-0.011024845186654197,-0.02487477084091909,-1.8274051397093594e-07,-1.5708039537396363,-3.935295345813827e-06,2.6819004993572975
jnt1,0.464698767358,-0.21,0.28624182203351006,-0.14349560665901676,-0.09999071152064193,-0.011738745887974189,-0.026307767688212566,-1.932679106753099e-07,-1.5708039373603941,-3.968173375001882e-06,2.6769004993573677
jnt1,0.469698767358,-0.205,0.2855207653015477,-0.14492501610525343,-0.09999072202168394,-0.012459802619936566,-0.027737177134449245,-2.0376895268348072e-07,-1.5708039208169673,-4.000969096917828e-06,2.6719004993574367
jnt1,0.474698767358,-0.19999999999999998,0.28479257056532387,-0.1463508024152715,-0.09999073249610918,-0.013187997356160386,-0.029162963444467324,-2.1424337792730341e-07,-1.5708039041097688,-4.033681691772983e-06,2.6669004993575047
