F_xyz,tau_jnt,delta_ee_xyz,delta_q,expected_axis,expected_sign,actual_sign,direction_match
"[10.0, 0.0, 0.0]","[-2.00013799439569, -2.498775245052265, -3.0223871438916916, 1.4056187075395243]","[0.17661113143506824, -0.10313751868058477, 0.2943638815850801]","[-0.05693687169759032, 0.09228458614722812, -0.3520717419259447, 1.9150240677552417]",0,1,1,True
"[-10.0, 0.0, 0.0]","[2.00013799439569, 2.498775245052265, 3.0223871438916916, -1.4056187075395243]","[-0.0913280961589592, 0.08780490971641702, 0.10576049468964564]","[-0.05929777704598649, -0.07228093443617123, -0.057870649112153005, -1.0802393554622038]",0,-1,-1,True
"[0.0, 10.0, 0.0]","[-2.5004011811047278, 1.9988882891952553, 2.4177134760883234, -1.1243825051576728]","[-0.07263017982883652, 0.07417169246838498, 0.07379227026672036]","[-0.05774187634335215, -0.06504612753594885, -0.05024916389286349, -0.8525859471999061]",1,1,1,True
"[0.0, -10.0, 0.0]","[2.5004011811047278, -1.9988882891952553, -2.4177134760883234, 1.1243825051576728]","[0.1915016643758703, -0.11354084826532254, 0.21624409748723838]","[-0.05720200989339297, 0.062385484849181605, -0.26425212327379977, 1.5126784556493718]",1,-1,-1,True
"[0.0, 0.0, 10.0]","[-1.8369333831813606e-05, -3.201946911640663, -1.0018523581567518, 0.00017635087834477758]","[0.02580592146960886, 0.004235894134117568, 0.09046262316328968]","[-0.05746965650685887, -0.2793962104028672, 0.021881331426802042, -0.28162549009498883]",2,1,1,True
"[0.0, 0.0, -10.0]","[1.8369333831813606e-05, 3.201946911640663, 1.0018523581567518, -0.00017635087834477758]","[-0.0156641786913414, 0.03367141815028313, -0.08101098426376166]","[-0.05746885908124555, 0.2769191600522183, -0.014959172796888298, 0.3414641857886005]",2,-1,-1,True
