t,q_jnt,q_act_equiv,ee_solved_xyz,residual,joint_limit_margin,actuator_limit_margin_proxy
0.16,"[0.8458461509715852, 1.3011555401968802, 1.4307314519720518, -0.45449992720130944]","[1.5860606618630888, 8.674370267979201, 4.76910483990684, -1.514999757337698]","[0.20243615792567912, -0.22851622339002634, -0.1095086577185001]",9.397503822012214e-05,0.1401685480279482,11.325629732020799
0.17,"[0.8734847619924674, 1.3059032311806325, 1.430836751957702, -0.4536273791336557]","[1.6378862966294157, 8.706021541204217, 4.769455839859007, -1.5120912637788524]","[0.19511124599964932, -0.23291009512749355, -0.11097069636836521]",0.00010250851642451665,0.14006324804229786,11.293978458795783
0.18,"[0.9030140999868695, 1.3111051896126626, 1.4303217370316599, -0.45227946786786916]","[1.6932572660545089, 8.740701264084418, 4.767739123438867, -1.5075982262262306]","[0.18735571753432795, -0.23756271795647027, -0.11251839933951155]",0.000110787668850606,0.14057826296834008,11.259298735915582
0.19,"[0.9342592059300776, 1.3167503069363473, 1.4290856446151519, -0.4503978631533937]","[1.751845501462737, 8.77833537957565, 4.76361881538384, -1.5013262105113123]","[0.17921317199937997, -0.24244796308578564, -0.11414307705456703]",0.00011866365841729441,0.1418143553848481,11.22166462042435
0.2,"[0.9670079943961325, 1.32282104887505, 1.4270385863888475, -0.44793313924310774]","[1.8132533178251125, 8.818806992500335, 4.7567952879628255, -1.4931104641436925]","[0.1707312214368393, -0.24753726295744843, -0.11583524694275507]",0.00012598277511487947,0.14386141361115246,11.181193007499665
0.21,"[1.0010135747860929, 1.329294300495937, 1.4241050760447147, -0.4448468237236777]","[1.87701776633432, 8.861962003306248, 4.747016920149049, -1.4828227457455923]","[0.16196092196629328, -0.25279994772170056, -0.11758474640429217]",0.00013259646051114497,0.14679492395528526,11.138037996693752
0.22,"[1.0359985127136178, 1.3361424129892336, 1.4202271761532126, -0.44111309966401097]","[1.942618625002096, 8.907616086594892, 4.734090587177375, -1.4703769988800366]","[0.1529562089990878, -0.2582035838054272, -0.11938084565642051]",0.00013837248744110462,0.15067282384678737,11.092383913405108
0.23,"[1.0716610264066389, 1.34333427999719, 1.415367140286847, -0.4367201021713688]","[2.00949001763855, 8.955561866647933, 4.717890467622824, -1.4557336739045628]","[0.14377333499688055, -0.26371431619072466, -0.12121236082455852]",0.00014320555500961607,0.1555328597131529,11.044438133352067
0.24,"[1.1076828725979542, 1.3508362688492708, 1.4095094214766868, -0.4316708155252134]","[2.0770352008212156, 9.005575125661805, 4.698364738255623, -1.4389027184173782]","[0.13447030764211676, -0.26929721546266144, -0.12306776723448459]",0.0001470253768873463,0.16139057852331318,10.994424874338195
0.25,"[1.143738441390724, 1.3586128632416132, 1.4026619223572139, -0.42598363505621506]","[2.144643617833722, 9.057419088277422, 4.675539741190713, -1.4199454501873836]","[0.12510632623767856, -0.2749166297773392, -0.12493531291159604]",0.0001498008085811681,0.1682380776427861,10.942580911722578
