t,q_jnt,q_act_equiv,ee_solved_xyz,residual,joint_limit_margin,actuator_limit_margin_proxy
0.85,"[2.320788271244359, 1.2971169192973753, 1.4296345210433243, -0.45553123680837343]","[4.351749992957733, 8.647446128649168, 4.765448403477748, -1.5184374560279115]","[-0.20916421653039913, -0.22452636024575243, -0.10817190095384902]",9.375580117906149e-05,0.14126547895667563,11.352553871350832
0.86,"[2.344326513035541, 1.293254522132455, 1.4286386329361467, -0.45567305081221987]","[4.395886954876319, 8.621696814216367, 4.762128776453823, -1.5189101693740663]","[-0.2155282459691891, -0.22070607045774004, -0.10689654380672611]",8.51181376983616e-05,0.14226136706385328,11.378303185783633
0.87,"[2.365671245435396, 1.289842198142496, 1.4273480958024922, -0.4555401392917206]","[4.435910829618218, 8.59894798761664, 4.757826986008308, -1.518467130972402]","[-0.22136054759138835, -0.21720459623018948, -0.10572801540275159]",7.649680986297928e-05,0.14355190419750774,11.40105201238336
0.88,"[2.384789236745299, 1.2868644458689038, 1.4258691156532126, -0.45520209796688244]","[4.4717593038539265, 8.579096305792692, 4.752897052177375, -1.5173403265562748]","[-0.22663922955556287, -0.21403515696003222, -0.10467069125191528]",6.798780809251959e-05,0.14503088434678735,11.420903694207308
0.89,"[2.4016778601033626, 1.2843005897539748, 1.4243004417564487, -0.4547250725268035]","[4.503427451909549, 8.562003931693166, 4.747668139188162, -1.5157502417560118]","[-0.23134932369495362, -0.2112068126849715, -0.10372754728387876]",5.967019532259339e-05,0.1465995582435513,11.437996068306834
0.9,"[2.416362898047088, 1.2821259215966323, 1.4227303975659717, -0.45416957024507787]","[4.530963619064482, 8.547506143977548, 4.74243465855324, -1.513898567483593]","[-0.23548335587584207, -0.20872411718357536, -0.10290004573395697]",5.1610180662179026e-05,0.1481696024340282,11.452493856022452
0.91,"[2.4288968385691985, 1.2803128591100568, 1.4212344015666627, -0.45358860172794707]","[4.554466226456401, 8.535419060733712, 4.737448005222209, -1.5119620057598235]","[-0.239041916780438, -0.20658677306083173, -0.10218802198431728]",4.386633572835001e-05,0.14966559843333727,11.464580939266288
0.92,"[2.43935785472071, 1.2788319811680944, 1.4198730576239245, -0.45302622935950665]","[4.574081857717439, 8.52554654112063, 4.732910192079748, -1.5100874311983556]","[-0.24203423360408216, -0.20478928836796603, -0.10158957223325624]",3.6495105650340705e-05,0.1510269423760755,11.47445345887937
0.93,"[2.4478495844067463, 1.2776528177706314, 1.4186908730939076, -0.45251658142282764]","[4.590004846065528, 8.51768545180421, 4.728969576979693, -1.5083886047427588]","[-0.24447874286369972, -0.203320634233268, -0.10110094182512769]",2.9555927514898633e-05,0.15220912690609234,11.48231454819579
0.9400000000000001,"[2.4545017592114236, 1.2767443023183285, 1.417715639351496, -0.4520833637076428]","[4.602478453424758, 8.51162868212219, 4.72571879783832, -1.5069445456921426]","[-0.24640366430361463, -0.20216390304848683, -0.10071641405364182]",2.311553516759038e-05,0.15318436064850394,11.48837131787781
0.9500000000000001,"[2.459471669512786, 1.2760748320263005, 1.416958477637194, -0.4517398756626521]","[4.611797617687579, 8.507165546842003, 4.723194925457314, -1.5057995855421737]","[-0.24784757501880286, -0.20129596671831018, -0.10042819910021153]",1.7251728775907665e-05,0.153941522362806,11.492834453157997
0.96,"[2.462946407503658, 1.2756119325187478, 1.4164144957347977, -0.4514895061275778]","[4.618313158641774, 8.504079550124986, 4.721381652449326, -1.5049650204252594]","[-0.24885998835576184, -0.20068713508776662, -0.10022632301599677]",1.205350229096238e-05,0.15448550426520224,11.495920449875014
0.97,"[2.465145744973373, 1.2753215468581776, 1.4160640140407597, -0.4513266373793789]","[4.622437174148459, 8.502143645721183, 4.720213380135866, -1.5044221245979297]","[-0.24950192381869624, -0.20030081299008606, -0.10009851582284143]",7.626520065425864e-06,0.1548359859592403,11.497856354278817
0.98,"[2.466325510362229, 1.2751670524857963, 1.4158741526071037, -0.45123785212003464]","[4.624649372514961, 8.501113683238643, 4.7195805086903455, -1.5041261737334488]","[-0.24984648854649472, -0.20009315747282347, -0.10003009915611225]",4.0904062919516e-06,0.15502584739289627,11.498886316761357
0.99,"[2.466781206631492, 1.2751081103315405, 1.4158006207307825, -0.4512032903185918]","[4.625503856425074, 8.500720735543604, 4.7193354024359415, -1.5040109677286393]","[-0.24997945208655256, -0.2000127334811431, -0.10000387235966457]",1.5799345467907411e-06,0.15509937926921746,11.499279264456396
1.0,"[2.4668515980297885, 1.2750995125819697, 1.415789402851653, -0.45119793817754683]","[4.625635848546388, 8.500663417213133, 4.7192980095055095, -1.5039931272584894]","[-0.24999982157229844, -0.2000001693010917, -0.09999999676770757]",2.4598730058482717e-07,0.15511059714834707,11.499336582786867
