config,joint,dx_dq,dy_dq,dz_dq,col_norm,sign_dx,sign_dy,sign_dz,dx_analytic,dy_analytic,dz_analytic,num_analytic_diff_norm
A_initial,jnt1,-0.20001379943956898,-0.2500401181104728,-1.8369333831813606e-06,0.32019615961832776,-1,-1,-1,-0.2000137994245474,-0.25004011810813387,-1.8368997244967408e-06,3.6932720645580084e-11
A_initial,jnt2,-0.2498775245052265,0.19988882891952553,-0.3201946911640663,0.4526797559305377,-1,1,-1,-0.24987752453384518,0.1998888289183391,-0.3201946911446313,3.4614399903988866e-11
A_initial,jnt3,-0.30223871438916916,0.24177134760883234,-0.10018523581567518,0.3997983322572157,-1,1,-1,-0.30223871434955424,0.24177134763680536,-0.10018523583218196,5.12279745798274e-11
A_initial,jnt4,0.14056187075395243,-0.11243825051576728,1.763508783447776e-05,0.17999999999970442,1,-1,1,0.1405618707503189,-0.11243825052078224,1.7635094247209215e-05,8.914906226652218e-12
B_wp0,jnt1,-0.20000078887472128,-0.25000032038979825,-1.8365864384861652e-06,0.32015695486571216,-1,-1,-1,-0.2000007889107953,-0.2500003203719042,-1.8366073536113452e-06,4.537592126168628e-11
B_wp0,jnt2,-0.24987548397081838,0.199906011688622,-0.32015548616370904,0.45265848751528237,-1,1,-1,-0.2498754839501193,0.1999060116934448,-0.3201554862855557,1.236863617354163e-10
B_wp0,jnt3,-0.30223391131456445,0.2417902631307589,-0.10014570341054796,0.3997962361065135,-1,1,-1,-0.3022339112928411,0.24179026314808,-0.10014570339788083,3.0534899230966884e-11
B_wp0,jnt4,0.14055670866097714,-0.11244470474180979,-5.2260695770911525e-06,0.18000000000386498,1,-1,-1,0.14055670864697228,-0.11244470475312952,-5.226061278784666e-06,1.982761294172537e-11
C_wp_mid,jnt1,-0.3488455451992369,-0.002791019776404724,-2.055300374337321e-08,0.34885671012142727,-1,-1,-1,-0.3488455452557777,-0.0027910198194199855,-2.0504003822060018e-08,8.630278206877069e-11
C_wp_mid,jnt2,-0.002942514732958215,0.36812175710498884,-0.3488540058355083,0.5071699950061113,-1,1,-1,-0.002942514725463428,0.3681217571490674,-0.3488540058056037,5.3790114037054005e-11
C_wp_mid,jnt3,-0.003096213576324336,0.3872170807328601,-0.11964810495146416,0.405292885662042,-1,1,-1,-0.003096213519559746,0.3872170808094881,-0.11964810494137085,9.589547054534256e-11
C_wp_mid,jnt4,0.001428857831966418,-0.17852007039298456,0.022990059356242654,0.1799999999917325,1,-1,1,0.001428857844650125,-0.17852007040037848,0.022990059362771653,1.606780298141752e-11
D_wp_final,jnt1,-0.20296882830006524,0.24879047341719307,1.8276491431379327e-06,0.3210810566321108,-1,1,1,-0.2029688282311631,0.24879047333588772,1.8277193091488927e-06,1.2759832804606646e-10
D_wp_final,jnt2,0.249220272696693,0.20331906462611737,-0.32107956292326545,0.4544683400309074,1,1,-1,0.2492202727974784,0.20331906466500294,-0.3210795628631473,1.2362837535050875e-10
D_wp_final,jnt3,0.299487322941161,0.24432743224445108,-0.10041797254833895,0.3993398552115091,1,1,-1,0.2994873230323537,0.2443274322095192,-0.10041797252169607,1.0122347730197519e-10
D_wp_final,jnt4,-0.13947145935389038,-0.11378489865598862,-0.000841942071616586,0.18000000000808183,-1,-1,-1,-0.13947145934897587,-0.11378489864918157,-0.0008419420778907616,1.0481112385080771e-11
