waypoint_index,desired_xyz,ik_q_jnt,equivalent_q_act,tau_bias_jnt,tau_bias_act,max_abs_tau_bias_jnt,max_abs_tau_bias_act,joint_limit_margin,actuator_limit_margin
0,"[0.25, -0.2, -0.1]","[0.6747446831943159, 1.27497468573782, 1.416190933113277, -0.4505547168052535]","[1.2652253575741907, 8.499831238252133, 4.720636443710923, -1.5018490560175117]","[-3.955022838609276e-05, -6.9810063283945265, -1.3971465810389982, 0.038868604511659965]","[-2.1092136798303266e-05, -1.0471509492591788, -0.4191439743116995, 0.01166058135349799]",6.9810063283945265,1.0471509492591788,0.15470906688672303,0.5153635562890768
1,"[0.0, -0.35, -0.15]","[1.562799101628101, 1.4876674610505802, 1.220297657429471, -0.305651042952779]","[2.9304314675194094, 9.917783073670535, 4.067658858098237, -1.0188368098425968]","[6.705630096823681e-07, -7.240805171926085, -1.4237100450252258, 0.11278580479370892]","[3.576112530636069e-07, -1.0861207757889126, -0.42711301350756775, 0.033835741438112674]",7.240805171926085,1.0861207757889126,0.08323253894941973,0.554216926329465
2,"[-0.25, -0.2, -0.1]","[2.4572805432075264, 1.284856214401992, 1.4009462509916852, -0.4605662548844101]","[4.607688999076554, 8.56570809601328, 4.669820836638951, -1.5352208496147004]","[4.078473626588581e-05, -7.009874736178819, -1.409479691806707, 0.036167009017189056]","[2.1750499850596905e-05, -1.0514812104268227, -0.42284390754201207, 0.010850102705156716]",7.009874736178819,1.0514812104268227,0.16995374900831473,0.5661791633610491
