controller_name,tau_limit,rms_pos,max_pos,final_pos_err,max_tau_before_clip,max_tau_after_clip,torque_saturation_steps,joint_limit_steps,stable,final_desired_xyz,final_actual_xyz
pure_jtf_task_vsd,5,0.29376822990357426,0.46227249730877773,0.46205316691221077,10.665661607747845,5.0,501,0,True,"[-0.25, -0.2, -0.1]","[0.20838511487451383, -0.14744460872037096, -0.12478197656618881]"
ik_joint_space_vsd,5,0.3067959111349554,0.48180099185314945,0.47819944394395786,562.583881220745,5.0,501,104,True,"[-0.25, -0.2, -0.1]","[0.22465339374038365, -0.15972715598845502, -0.14191613095538075]"
dls_resolved_rate_joint_torque,5,0.29486186118120755,0.4515036972337377,0.45078469505870855,85.17858263487898,5.0,501,0,True,"[-0.25, -0.2, -0.1]","[0.19459315007813466, -0.13813688735954777, -0.05856658960200317]"
pure_jtf_task_vsd,10,0.2941558428419837,0.46256134657107545,0.4621798839880553,11.2678918141356,10.0,302,0,True,"[-0.25, -0.2, -0.1]","[0.2086674044427641, -0.14833943177033115, -0.12378324946549293]"
ik_joint_space_vsd,10,0.3220107906481326,0.5127638821512834,0.5125490745920956,562.018433879893,10.0,487,0,True,"[-0.25, -0.2, -0.1]","[0.26234691768785084, -0.18562618568531086, -0.09923628341704971]"
dls_resolved_rate_joint_torque,10,0.2951939617310745,0.4512279679184462,0.4507626026668362,84.86069763483852,10.0,475,0,True,"[-0.25, -0.2, -0.1]","[0.19374896708289047, -0.13766598597466956, -0.051130286768410915]"
pure_jtf_task_vsd,20,0.29414276390216815,0.46254414737171606,0.4622849884041984,11.289900226563134,11.289900226563134,0,0,True,"[-0.25, -0.2, -0.1]","[0.20878054057570977, -0.14841284332355864, -0.12380317959789541]"
ik_joint_space_vsd,20,0.32202119697036935,0.5127752667747243,0.5121139062422978,562.0574781766124,20.0,478,0,True,"[-0.25, -0.2, -0.1]","[0.26192821790765575, -0.1862315493268172, -0.0992368206653366]"
dls_resolved_rate_joint_torque,20,0.2950977072036779,0.450797693148015,0.4501337360307426,84.96840876472004,20.0,440,0,True,"[-0.25, -0.2, -0.1]","[0.19258953846667232, -0.13676312659758302, -0.04769341728674181]"
pure_jtf_task_vsd,50,0.29414276390216815,0.46254414737171606,0.4622849884041984,11.289900226563134,11.289900226563134,0,0,True,"[-0.25, -0.2, -0.1]","[0.20878054057570977, -0.14841284332355864, -0.12380317959789541]"
ik_joint_space_vsd,50,0.3220305618272512,0.5125836946509641,0.5122801505575814,563.4924032734353,50.0,446,0,True,"[-0.25, -0.2, -0.1]","[0.2620882309896982, -0.1859995048799433, -0.09923680046314301]"
dls_resolved_rate_joint_torque,50,0.2952240255328087,0.45137491527157114,0.45031530545388,84.01200867636732,50.0,380,0,True,"[-0.25, -0.2, -0.1]","[0.19299194460698493, -0.1371970415735471, -0.04903138463496906]"
pure_jtf_task_vsd,100,0.29414276390216815,0.46254414737171606,0.4622849884041984,11.289900226563134,11.289900226563134,0,0,True,"[-0.25, -0.2, -0.1]","[0.20878054057570977, -0.14841284332355864, -0.12380317959789541]"
ik_joint_space_vsd,100,0.32201526897395627,0.5125263762002016,0.5122217044708801,561.0727946140396,100.0,415,0,True,"[-0.25, -0.2, -0.1]","[0.2620317986428384, -0.1860741826555231, -0.0992362455095597]"
dls_resolved_rate_joint_torque,100,0.2954103024033659,0.45155360333288774,0.45032884350275054,84.73816747840607,84.73816747840607,0,0,True,"[-0.25, -0.2, -0.1]","[0.1930423942026412, -0.13715834067353458, -0.049399307486826805]"
pure_jtf_task_vsd,200,0.29414276390216815,0.46254414737171606,0.4622849884041984,11.289900226563134,11.289900226563134,0,0,True,"[-0.25, -0.2, -0.1]","[0.20878054057570977, -0.14841284332355864, -0.12380317959789541]"
ik_joint_space_vsd,200,0.32200565400360315,0.5125631185807743,0.5123092699614809,560.747455238357,200.0,369,0,True,"[-0.25, -0.2, -0.1]","[0.2621162088513236, -0.18595742776543567, -0.09923653077986686]"
dls_resolved_rate_joint_torque,200,0.2954103024033659,0.45155360333288774,0.45032884350275054,84.73816747840607,84.73816747840607,0,0,True,"[-0.25, -0.2, -0.1]","[0.1930423942026412, -0.13715834067353458, -0.049399307486826805]"
