waypoint_index,initial_EE_xyz,final_EE_xyz,drift_distance,q_drift_norm,max_qvel,max_tau_bias
0,"[0.25000032037865044, -0.20000005427222964, -0.10000026715232341]","[0.2611366172699166, -0.1851572911578483, -0.10001637648184303]",0.01855599592666913,0.05797056202270312,1.6434095081098659,6.9810063283945265
1,"[0.0027910198194953002, -0.3488444570141578, -0.14813351719219817]","[-0.004626734654765543, -0.3488423250709432, -0.148122824537669]",0.007417762487331306,0.021262878320142387,1.1276694418176658,7.241366137544505
2,"[-0.24879047334260124, -0.20296808157966648, -0.10163548689834867]","[-0.25206173514883146, -0.1989052368658569, -0.10163085462025381]",0.005216117563037797,0.01624542193967912,1.0345802357947798,7.01044197433038
