joint_name,torque_sign,delta_q,delta_EE_xyz,delta_q_target_joint,sign_matches_expected
jnt1,1.0,"[-0.03201777615483814, 0.049683993255796866, -0.029559994726800598, 0.019291439915538278]","[0.00525191647029033, 0.008872881967151275, -0.012982799860976113]",-0.03201777615483814,False
jnt1,-1.0,"[-0.032032653011616175, 0.04968401797945998, -0.029560211451372886, 0.019291552114330313]","[0.005254837085898023, 0.00887662223203775, -0.012982786959869291]",-0.032032653011616175,True
jnt2,1.0,"[-0.03202527061138705, 0.05879234267002187, -0.04010038764625601, 0.014347749145495359]","[0.005388093164646113, 0.008773927782970592, -0.01487763973379691]",0.05879234267002187,True
jnt2,-1.0,"[-0.03202516040324066, 0.040581798021537496, -0.019107196835476126, 0.02416989735841396]","[0.005119869844717406, 0.008974671510464854, -0.011083529323931113]",0.040581798021537496,False
jnt3,1.0,"[-0.03202513262228257, 0.0398365549899895, 0.0020160024215496453, 0.06308436363678283]","[0.004328545010738871, 0.009567212119004825, -0.012784035735728283]",0.0020160024215496453,True
jnt3,-1.0,"[-0.03202529732420012, 0.059836317051543464, -0.06158299805987877, -0.02452302515462601]","[0.006178631530462553, 0.008181975628398563, -0.013055078597869474]",-0.06158299805987877,True
jnt4,1.0,"[-0.0320241662430919, 0.04686073721445094, 0.013001290598060766, 0.228183705305552]","[0.02267694416533983, -0.0041705217379312265, -0.013454540679040061]",0.228183705305552,True
jnt4,-1.0,"[-0.03202627488831766, 0.055619970961271914, -0.07329779619251742, -0.18519720259719463]","[-0.012120277018139336, 0.021882581755272246, -0.008014434387934227]",-0.18519720259719463,True
