noise_case,episode,seed,zero_rms_ee,sac_rms_ee,zero_rms_ee_measured,sac_rms_ee_measured,zero_final_ee,sac_final_ee,zero_final_ee_measured,sac_final_ee_measured,zero_rms_hf,sac_rms_hf,zero_smooth,sac_smooth,zero_sat,sac_sat,zero_lim,sac_lim,zero_ncon,sac_ncon,delta_rms_ee,delta_final_ee,delta_rms_hf,delta_sat,delta_lim
clean,0,30000,0.0065284022001771596,0.003454352218602008,0.0065284022001771596,0.003454352218602008,0.001191805638286806,0.0004077346034051549,0.001191805638286806,0.0004077346034051549,0.0006242081256773571,0.000553469086477539,0.01458451420025043,0.010154572838381079,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030740499815751516,-0.0007840710348816511,-7.073903919981809e-05,0.0,0.0
clean,1,30001,0.006693110632302483,0.003585994257253851,0.006693110632302483,0.003585994257253851,0.001164278197779564,0.0007400962180905885,0.001164278197779564,0.0007400962180905885,0.0006321922212055674,0.0005137231369262081,0.014943619316708276,0.010619041769118771,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031071163750486324,-0.0004241819796889754,-0.00011846908427935927,0.0,0.0
clean,2,30002,0.00671751844707333,0.0037136666302367586,0.00671751844707333,0.0037136666302367586,0.0011893093104447152,0.0007412748349675642,0.0011893093104447152,0.0007412748349675642,0.0006427101910379039,0.0005355722969437199,0.015041977544730377,0.01094795524850851,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030038518168365716,-0.0004480344754771511,-0.00010713789409418399,0.0,0.0
clean,3,30003,0.006753962014724872,0.0037340330538762024,0.006753962014724872,0.0037340330538762024,0.0013485555702605029,0.000683840337479991,0.0013485555702605029,0.000683840337479991,0.0006437807287012052,0.0005478918955739727,0.015406676909003342,0.011109583674955605,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030199289608486696,-0.0006647152327805118,-9.588883312723249e-05,0.0,0.0
clean,4,30004,0.0067745308499408095,0.0037309634109021095,0.0067745308499408095,0.0037309634109021095,0.001305829732051106,0.0004630414924242706,0.001305829732051106,0.0004630414924242706,0.0006377657502698357,0.0005710735547310629,0.015299593260853818,0.010863536367395923,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030435674390387,-0.0008427882396268354,-6.669219553877281e-05,0.0,0.0
clean,5,30005,0.007059243955786255,0.0041458672094987405,0.007059243955786255,0.0041458672094987405,0.0011425587964031666,0.0007602530736119003,0.0011425587964031666,0.0007602530736119003,0.0006584807887285519,0.0005083881092736084,0.015473190448909938,0.011423121148972266,0.0,0.0,0.0,0.0,0.0,0.0,-0.002913376746287514,-0.0003823057227912663,-0.00015009267945494348,0.0,0.0
clean,6,30006,0.006361559858574512,0.0032667694168481685,0.006361559858574512,0.0032667694168481685,0.0012068635296178043,0.0009328675838493547,0.0012068635296178043,0.0009328675838493547,0.0006087061468846569,0.0005132292304090502,0.01435470882862228,0.01022402994810601,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030947904417263435,-0.00027399594576844963,-9.547691647560671e-05,0.0,0.0
clean,7,30007,0.006706242184437905,0.003762107751414391,0.006706242184437905,0.003762107751414391,0.0011682474137023463,0.000809540228309022,0.0011682474137023463,0.000809540228309022,0.0006460804582999434,0.0005237804936521912,0.015153893704304429,0.011152399385559262,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029441344330235143,-0.0003587071853933244,-0.00012229996464775217,0.0,0.0
clean,8,30008,0.006730067559273271,0.003803644966847191,0.006730067559273271,0.003803644966847191,0.0011604689624759774,0.000679876599953113,0.0011604689624759774,0.000679876599953113,0.000644513114806302,0.00050993775579535,0.015038144186164969,0.010763089603742889,0.0,0.0,0.0,0.0,0.0,0.0,-0.00292642259242608,-0.00048059236252286444,-0.000134575359010952,0.0,0.0
clean,9,30009,0.006504593562711667,0.003477963132737786,0.006504593562711667,0.003477963132737786,0.0013115322812834167,0.0005594759840431872,0.0013115322812834167,0.0005594759840431872,0.0006283689188714695,0.0005827870675180273,0.01479378643528935,0.010470850709864837,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030266304299738805,-0.0007520562972402295,-4.558185135344222e-05,0.0,0.0
clean,10,30010,0.007062745517045906,0.004124956677913333,0.007062745517045906,0.004124956677913333,0.0014443112458986268,0.0006679674883856026,0.0014443112458986268,0.0006679674883856026,0.0006640516013021081,0.0005377197019085766,0.01594168944314023,0.011622547449060314,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029377888391325727,-0.0007763437575130242,-0.00012633189939353147,0.0,0.0
clean,11,30011,0.006543020657752165,0.003507751125464079,0.006543020657752165,0.003507751125464079,0.0011676372274376206,0.0004938524039253344,0.0011676372274376206,0.0004938524039253344,0.0006233939914307147,0.0005769902002043826,0.014789698787170312,0.010515245034056951,0.0,0.0,0.0,0.0,0.0,0.0,-0.003035269532288086,-0.0006737848235122862,-4.640379122633216e-05,0.0,0.0
clean,12,30012,0.006793431265962799,0.0037598591208085836,0.006793431265962799,0.0037598591208085836,0.0013327106640136925,0.000767762063870756,0.0013327106640136925,0.000767762063870756,0.0006347788933289781,0.0005540550600774443,0.015241731996684594,0.011102094281206704,0.0,0.0,0.0,0.0,0.0,0.0,-0.003033572145154215,-0.0005649486001429366,-8.072383325153374e-05,0.0,0.0
clean,13,30013,0.006492779768646216,0.003531559982085516,0.006492779768646216,0.003531559982085516,0.0013665178688380907,0.0009374221817512085,0.0013665178688380907,0.0009374221817512085,0.0006220143970840482,0.0005660568225880699,0.014871143430778982,0.010699463668999935,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029612197865607,-0.0004290956870868822,-5.5957574495978275e-05,0.0,0.0
clean,14,30014,0.006508910742554544,0.00350423141879684,0.006508910742554544,0.00350423141879684,0.0012087859452597962,0.0006507335114790053,0.0012087859452597962,0.0006507335114790053,0.0006322715706109034,0.0005373998217196137,0.014619908115381988,0.010364250849753875,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030046793237577035,-0.0005580524337807909,-9.487174889128965e-05,0.0,0.0
clean,15,30015,0.0066015272861666965,0.0035416460337621514,0.0066015272861666965,0.0035416460337621514,0.0011860480289500298,0.0008166119724243144,0.0011860480289500298,0.0008166119724243144,0.000618765292442297,0.0005583271026865064,0.014802975919482354,0.010755938485610406,0.0,0.0,0.0,0.0,0.0,0.0,-0.003059881252404545,-0.0003694360565257153,-6.043818975579062e-05,0.0,0.0
clean,16,30016,0.00681351231639529,0.0038376256118245458,0.00681351231639529,0.0038376256118245458,0.0011458659920541834,0.0007081788653478874,0.0011458659920541834,0.0007081788653478874,0.0006537027189891763,0.0005647968911809705,0.01530395873683385,0.011303801650895189,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029758867045707443,-0.00043768712670629603,-8.890582780820579e-05,0.0,0.0
clean,17,30017,0.0071851423265370095,0.004323799242981725,0.0071851423265370095,0.004323799242981725,0.0017007486920728372,0.0009664717173579357,0.0017007486920728372,0.0009664717173579357,0.0006718061959699195,0.0006719701768809998,0.01648952365644086,0.012595794480218803,0.0,0.0,0.0,0.0,0.0,0.0,-0.002861343083555285,-0.0007342769747149014,1.6398091108029908e-07,0.0,0.0
clean,18,30018,0.006601426955561535,0.0035395360858688,0.006601426955561535,0.0035395360858688,0.0011997727189959283,0.0004807374845722356,0.0011997727189959283,0.0004807374845722356,0.0006247606698713846,0.0005525127439500471,0.015009706548936259,0.01049295365336248,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030618908696927348,-0.0007190352344236927,-7.224792592133754e-05,0.0,0.0
clean,19,30019,0.006437842311912467,0.0033607016124081964,0.006437842311912467,0.0033607016124081964,0.0011604372901148454,0.0007524930672948774,0.0011604372901148454,0.0007524930672948774,0.0006225795358879657,0.0005222576083869862,0.01450845971203522,0.010238172361292309,0.0,0.0,0.0,0.0,0.0,0.0,-0.003077140699504271,-0.000407944222819968,-0.00010032192750097945,0.0,0.0
clean,20,30020,0.006452678394229153,0.0034237637420411423,0.006452678394229153,0.0034237637420411423,0.0011522515451366875,0.00044125510337561844,0.0011522515451366875,0.00044125510337561844,0.0006289844353431065,0.000505702893894274,0.01463474552265109,0.010149056045602116,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030289146521880104,-0.0007109964417610691,-0.00012328154144883243,0.0,0.0
clean,21,30021,0.007256331209406399,0.004392025070425762,0.007256331209406399,0.004392025070425762,0.001621079667865001,0.0005593955151629396,0.001621079667865001,0.0005593955151629396,0.0006735277971669869,0.0005472009495727457,0.016681362605512527,0.012146159828065998,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028643061389806365,-0.0010616841527020613,-0.00012632684759424117,0.0,0.0
clean,22,30022,0.006844235214917766,0.003914021808734546,0.006844235214917766,0.003914021808734546,0.0011607550820068734,0.001035687599445168,0.0011607550820068734,0.001035687599445168,0.000649945223930623,0.0005050335659384325,0.015274196402082461,0.011446191140675313,0.0,0.0,0.0,0.0,0.0,0.0,-0.00293021340618322,-0.0001250674825617054,-0.00014491165799219053,0.0,0.0
clean,23,30023,0.007008379677465647,0.004100181949565946,0.007008379677465647,0.004100181949565946,0.0013651452525908986,0.0009893503297017123,0.0013651452525908986,0.0009893503297017123,0.0006704707685970082,0.0005347974756947885,0.015861473084818827,0.011833305191369683,0.0,0.0,0.0,0.0,0.0,0.0,-0.002908197727899701,-0.00037579492288918634,-0.00013567329290221973,0.0,0.0
clean,24,30024,0.007349759425910918,0.004394559140154823,0.007349759425910918,0.004394559140154823,0.0014073949579760496,0.0003749378409782534,0.0014073949579760496,0.0003749378409782534,0.0006753726384829072,0.0005810944376694069,0.01648460521770307,0.011983873250107038,0.0,0.0,0.0,0.0,0.0,0.0,-0.002955200285756095,-0.001032457116997796,-9.427820081350032e-05,0.0,0.0
clean,25,30025,0.007094478135290439,0.004090183356806332,0.007094478135290439,0.004090183356806332,0.001983992128369083,0.0007351662404711779,0.001983992128369083,0.0007351662404711779,0.0006612465937416567,0.0005835729902093057,0.016682492290677968,0.012002499147055114,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030042947784841073,-0.0012488258878979052,-7.767360353235105e-05,0.0,0.0
clean,26,30026,0.0070776512310977485,0.0040287101797045755,0.0070776512310977485,0.0040287101797045755,0.0011620300849630345,0.0005951489418091282,0.0011620300849630345,0.0005951489418091282,0.00065534644435298,0.0005192293529708813,0.015600037038724635,0.011396255830987976,0.0,0.0,0.0,0.0,0.0,0.0,-0.003048941051393173,-0.0005668811431539064,-0.00013611709138209866,0.0,0.0
clean,27,30027,0.007271554753314541,0.004384825546424443,0.007271554753314541,0.004384825546424443,0.001354160480500669,0.0009656395226001415,0.001354160480500669,0.0009656395226001415,0.0006729917970047227,0.0005935440340036768,0.016120115139526048,0.012379293676133118,0.0,0.0,0.0,0.0,0.0,0.0,-0.002886729206890098,-0.0003885209579005276,-7.944776300104588e-05,0.0,0.0
clean,28,30028,0.006756478156501294,0.00382434309104881,0.006756478156501294,0.00382434309104881,0.0011655551636304004,0.0007595956900138901,0.0011655551636304004,0.0007595956900138901,0.0006399385688657282,0.0005587640514906579,0.015207386316122822,0.011210608800571762,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029321350654524844,-0.0004059594736165104,-8.117451737507035e-05,0.0,0.0
clean,29,30029,0.006177767517053537,0.00317413755643249,0.006177767517053537,0.00317413755643249,0.0011335525920341276,0.0005003222446851246,0.0011335525920341276,0.0005003222446851246,0.0006019381321021388,0.0005724500281470851,0.014160775579718395,0.009853126386066845,0.0,0.0,0.0,0.0,0.0,0.0,-0.003003629960621047,-0.000633230347349003,-2.94881039550537e-05,0.0,0.0
clean,30,30030,0.006498262383123312,0.0034368320492632097,0.006498262383123312,0.0034368320492632097,0.0015448209505571004,0.0007468675165901411,0.0015448209505571004,0.0007468675165901411,0.0006152285419330969,0.000561347644541255,0.015106614245635705,0.010665915322402943,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030614303338601023,-0.0007979534339669593,-5.38808973918419e-05,0.0,0.0
clean,31,30031,0.006882954135891945,0.003789314388474724,0.006882954135891945,0.003789314388474724,0.0014476502169823349,0.00031452735606945587,0.0014476502169823349,0.00031452735606945587,0.0006404193634976609,0.0005014821876658211,0.015540832733772443,0.01069697168814533,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030936397474172215,-0.001133122860912879,-0.00013893717583183987,0.0,0.0
clean,32,30032,0.0067314221595381986,0.003794212913448135,0.0067314221595381986,0.003794212913448135,0.0012349795290737358,0.0008468266904536111,0.0012349795290737358,0.0008468266904536111,0.0006355874074689651,0.0005774871356002762,0.015247424249419012,0.011219366707333936,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029372092460900633,-0.00038815283862012463,-5.810027186868886e-05,0.0,0.0
clean,33,30033,0.006631174485606027,0.0035849964110286014,0.006631174485606027,0.0035849964110286014,0.0011804358866659918,0.0008286146813228611,0.0011804358866659918,0.0008286146813228611,0.0006227840742614827,0.0005720969785377449,0.014812977191553365,0.010912390660603424,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030461780745774255,-0.00035182120534313073,-5.068709572373785e-05,0.0,0.0
clean,34,30034,0.007089923658356097,0.004078567472386553,0.007089923658356097,0.004078567472386553,0.0014646533018359562,0.000645038920198979,0.0014646533018359562,0.000645038920198979,0.0006622781208736279,0.0005147237440919882,0.016069993640491387,0.011643354546911507,0.0,0.0,0.0,0.0,0.0,0.0,-0.003011356185969544,-0.0008196143816369772,-0.00014755437678163968,0.0,0.0
clean,35,30035,0.006619730921032199,0.0035865544600785235,0.006619730921032199,0.0035865544600785235,0.00137588002985034,0.0004930096273708803,0.00137588002985034,0.0004930096273708803,0.0006368195294439345,0.0005155998876283805,0.015265508537358214,0.010653692899318995,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030331764609536757,-0.0008828704024794597,-0.00012121964181555404,0.0,0.0
clean,36,30036,0.007029574199223638,0.004022231739777696,0.007029574199223638,0.004022231739777696,0.0012234992811000957,0.00040607405237281315,0.0012234992811000957,0.00040607405237281315,0.0006527465948546641,0.0005627284836231355,0.015686911631501294,0.011207177597153142,0.0,0.0,0.0,0.0,0.0,0.0,-0.003007342459445942,-0.0008174252287272827,-9.001811123152852e-05,0.0,0.0
clean,37,30037,0.006983059409790677,0.00418649347040692,0.006983059409790677,0.00418649347040692,0.0011699946922306445,0.0010420151622320532,0.0011699946922306445,0.0010420151622320532,0.0006610833151415736,0.0005387264297636209,0.015522681191834054,0.011784502993527153,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027965659393837565,-0.0001279795299985913,-0.0001223568853779527,0.0,0.0
clean,38,30038,0.00683998911227597,0.0037914141597830244,0.00683998911227597,0.0037914141597830244,0.0011424952858523714,0.000538246891586154,0.0011424952858523714,0.000538246891586154,0.0006425388985859587,0.0005275421916634139,0.015249049831540887,0.010907398923898694,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030485749524929457,-0.0006042483942662174,-0.00011499670692254483,0.0,0.0
clean,39,30039,0.006401220288372909,0.003562693316748915,0.006401220288372909,0.003562693316748915,0.0011420812932649775,0.0004831042249986353,0.0011420812932649775,0.0004831042249986353,0.0006229992760245737,0.0005145630357562823,0.01453192026628887,0.010031641915319172,0.0,0.0,0.0,0.0,0.0,0.0,-0.002838526971623994,-0.0006589770682663422,-0.00010843624026829143,0.0,0.0
clean,40,30040,0.007167844050577893,0.004242584764759073,0.007167844050577893,0.004242584764759073,0.0013741088631656984,0.0011416545692880813,0.0013741088631656984,0.0011416545692880813,0.0006735138066456592,0.0005933146470055037,0.016066567411215704,0.012387809792979177,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029252592858188204,-0.00023245429387761711,-8.019915964015546e-05,0.0,0.0
clean,41,30041,0.0062138714797419356,0.0032452228361469276,0.0062138714797419356,0.0032452228361469276,0.0012109884624894312,0.0008195432047495773,0.0012109884624894312,0.0008195432047495773,0.0006004670965171039,0.0005256308692148983,0.014156520144556897,0.010034088428937289,0.0,0.0,0.0,0.0,0.0,0.0,-0.002968648643595008,-0.0003914452577398539,-7.48362273022056e-05,0.0,0.0
clean,42,30042,0.00629545762992258,0.003313707371494259,0.00629545762992258,0.003313707371494259,0.0014271539468704282,0.0011535966204346,0.0014271539468704282,0.0011535966204346,0.0006117384492576694,0.000550255608565357,0.014567676375983395,0.010545447737065176,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029817502584283213,-0.00027355732643582825,-6.148284069231239e-05,0.0,0.0
clean,43,30043,0.006746275885674082,0.0037085024601415557,0.006746275885674082,0.0037085024601415557,0.0013448327830448464,0.0005877950673795194,0.0013448327830448464,0.0005877950673795194,0.0006396483225019852,0.0005458242217083004,0.01540773965153034,0.01097667199544395,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030377734255325264,-0.000757037715665327,-9.382410079368487e-05,0.0,0.0
