t,des_x,des_y,des_z,des_roll,des_pitch,act_x,act_y,act_z,act_roll,act_pitch,err_x,err_y,err_z,err_roll,err_pitch,tau1,tau2,tau3,tau4,q1,q2,q3,q4,dq1,dq2,dq3,dq4
0.0,-0.35,0.15,-0.2,-1.5707963267948966,0.0,0.5189453674391182,-0.21666354870797,0.290764340837972,3.1337001621373983,0.7083387243803916,-0.8690696937633916,0.36672531714364753,-0.49068611275225477,1.5786956027588328,-0.709294255122098,-30.11488027800114,-2057.979459374489,-661.2221504722614,2150.0349005638973,0.40487724708617273,-1.9255575235139635,-0.41551627654461554,0.8016922838590577,-0.02908856619484187,-0.2152551291648688,-0.12384864537516942,2.001947077349584
0.001,-0.3499999920239808,0.14999996570311744,-0.2,-1.5707963267948966,0.0,0.5185721715456946,-0.21647817355814153,0.2909982495122153,3.133720384292898,0.7054754999202433,-0.8689453672036979,0.3666635176827123,-0.49076433582885015,1.5786888186804244,-0.7083387908129475,-19.872562053619358,-2165.598417177255,-565.5365371357193,2094.6194529112267,0.40483360190791684,-1.925880442927713,-0.4157031091106195,0.8046921458373362,-0.05821001625358972,-0.43060848204090146,-0.2505219849783729,3.9957442315162055
0.002,-0.34999993638338556,0.14999972644855808,-0.2,-1.5707963267948966,0.0,0.5179490563690232,-0.21616914518331953,0.29138557980107355,3.133753671586383,0.7007121792963791,-0.8685720613168726,0.3664778822214484,-0.49099824691530164,1.5786685935058244,-0.7054751130210213,-9.636662606042202,-2272.8931944163446,-470.53214957288105,2040.5007908778466,0.40476133664974234,-1.9264188208390913,-0.41601923723648193,0.8096783236700511,-0.0863339095029644,-0.6461903369116855,-0.38290655243746574,5.973253817562618
0.003,-0.3499997859393344,0.1499990795391379,-0.2,-1.5707963267948966,0.0,0.5170714098005762,-0.21574375275985563,0.29192257824589574,3.1337994112194854,0.694062766090803,-0.8679487417995229,0.36616818601861734,-0.4913855786097589,1.5786353033217875,-0.7007113458810705,0.2363824318945124,-2379.0563895004325,-376.5881095687283,1987.6824646945104,0.4046753617755678,-1.92717328055936,-0.4164727370121614,0.8166293496800144,-0.08562216511190841,-0.8627930745423409,-0.5257257729440602,7.9241668046405325
0.004,-0.34999949412433917,0.14999782473465856,-0.2,-1.5707963267948966,0.0,0.5159340080895329,-0.21520938898318132,0.29260404149747726,3.1338567812214455,0.6855463029611807,-0.8670707519934361,0.36574151593801385,-0.4919225766107085,1.5785895610345024,-0.6940615024489487,1.0137928168793988,-2483.333061049443,-284.0706152954526,1936.1243302251203,0.40459121953244986,-1.9281445853414327,-0.41707448906951294,0.8255160569241218,-0.08266775103392887,-1.0799037385831491,-0.6798626167238074,9.843401721281811
0.005,-0.34999901494,0.14999576424199998,-0.2,-1.5707963267948966,0.0,0.5145342318938472,-0.2145658729265206,0.2934233626122756,3.1339247849080722,0.675185905151522,-0.8659328209556008,0.36520507056581264,-0.49260403711052275,1.578532188674906,-0.6855446297878318,1.149282225323625,-2584.9109333228557,-193.33389588118703,1885.8160845133818,0.40451021455311276,-1.9293332933833212,-0.4178370898312832,0.8363032812428055,-0.07934730630509383,-1.2976259466075573,-0.847862949651143,11.7240646341377
0.006,-0.3499983029547008,0.14999270270521345,-0.2,-1.5707963267948966,0.0,0.5128693213400615,-0.2138123558337645,0.29437258951323686,3.1340022837412818,0.6630089756912162,-0.8645322851269647,0.3645584730686815,-0.493423352515968,1.578464182997818,-0.6751838506824868,1.2368892660074153,-2683.044200413969,-104.70909020762876,1836.7059507207284,0.4044326438780331,-1.9307400967673332,-0.418775703149463,0.8489491376546231,-0.0757987795367983,-1.5161237620490577,-1.0323120023212617,13.559623791339646
0.007,-0.34999731330130557,0.1499884471956141,-0.2,-1.5707963267948966,0.0,0.5109362607057119,-0.21294783994790836,0.2954424948899672,3.134088035605909,0.6490467930319459,-0.8628663405645872,0.3638006819613601,-0.49437257027244597,1.5783866825889508,-0.6630065747405745,1.319101163164585,-2777.028221894106,-18.50237131784702,1788.7201068940733,0.40435872910982457,-1.9323658616898036,-0.4199080318043375,0.8634055013145656,-0.07203504065879744,-1.7355808512851514,-1.2356982281684006,15.344145532289389
0.008,-0.34999600167485434,0.1499828072018739,-0.2,-1.5707963267948966,0.0,0.5086605675395017,-0.21194194371763092,0.29663571036562286,3.1341841569857003,0.6324391850124785,-0.8609319279776031,0.3629305092691868,-0.4954424627291862,1.5783009295904629,-0.6490440862946074,1.3992297886675027,-2866.204678554758,65.00903839881374,1741.7637182728909,0.4042867075122094,-1.9337002117618325,-0.4199039657709563,0.8813554147284921,-0.07200223521303722,-0.9340568299873808,1.2341008660257617,20.531105889890178
0.009000000000000001,-0.3499943243302592,0.14997559462011453,-0.2,-1.5707963267948966,0.0,0.5059652381223997,-0.21076294364391995,0.2979432458207403,3.134291595007913,0.6123653738120931,-0.8586541570985955,0.3619172314460114,-0.4966355622878416,1.57820479159564,-0.6324330841428347,1.0700031801260739,-2977.7425604974705,180.9668694052619,1670.927556200647,0.4042142414636426,-1.9342356265074798,-0.4174604943105903,0.904411568387841,-0.07293087139097466,-0.13752963722152034,3.641876239584974,25.54982400883675
0.01,-0.34999223807999996,0.14996662374400002,-0.2,-1.5707963267948966,0.0,0.5028448247127563,-0.20940853365449674,0.29933404531219976,3.1344070733321017,0.5889521660473227,-0.8559563321205943,0.36072909091662597,-0.4979431814867542,1.578097340187151,-0.6123563726366497,1.0784549598889555,-3076.6437614950387,292.3069807625304,1602.9073355680143,0.404140851130412,-1.9339767093116245,-0.4126434196798547,0.9323860949249303,-0.07385568734926055,0.6546480657937812,5.98004304823564,30.36191733420103
0.011,-0.3499897002918208,0.14995571125482943,-0.2,-1.5707963267948966,0.0,0.4992950471388172,-0.2078772191793986,0.30077186266875156,3.1345272401924738,0.5623539160080383,-0.8528330069703576,0.35936361352861457,-0.499334031146863,1.5779818524024503,-0.588940611051251,1.1087829175086537,-3159.8573671936483,396.9617066191668,1537.60519478772,0.4040665595930399,-1.9329278336991356,-0.40552615297835787,0.9650555343073424,-0.07473689944796752,1.4422835339349513,8.241002607580159,34.934726278331404
0.012,-0.3499866688864256,0.14994267621163004,-0.2,-1.5707963267948966,0.0,0.49531354126449156,-0.20616832500827215,0.30221661653140913,3.134648842423107,0.5327475645194139,-0.8492798683799533,0.35781912773951363,-0.500771864909065,1.577861680031324,-0.5623402124583006,1.1358747714446062,-3224.9028850467225,493.1806821880028,1474.784583198026,0.40399139611066814,-1.931093991489468,-0.39618963118507683,1.0021669392839576,-0.07560200473344214,2.2243443556931832,10.417356198959864,39.24206317331107
0.013000000000000001,-0.3499831023351744,0.1499273400412499,-0.2,-1.5707963267948966,0.0,0.49090044920741116,-0.20428221276800246,0.30362560645772174,3.1347688601711723,0.5003269958033785,-0.8452945198761561,0.3560947835755891,-0.5022166030697679,1.5777400760160472,-0.5327321699356071,1.1591629766879614,-3269.9474776465813,579.5807600621948,1414.0738483973118,0.4039153650888339,-1.928481584952951,-0.38472194517729885,1.0434446914727884,-0.07647328719304489,2.99906634948494,12.50225715812306,43.26486083102323
0.014,-0.34997895965777914,0.14990952652845055,-0.2,-1.5707963267948966,0.0,0.48605884662471793,-0.20222045438118927,0.30495475397615973,3.134884597275346,0.4652971047652107,-0.8408770707576669,0.3541907697946992,-0.5036255488953134,1.5776200597650867,-0.5003104050438107,1.1802988025726417,-3293.8479339804044,655.1816085845888,1354.9764384462492,0.4038384543478513,-1.9250990763772626,-0.3712176020516014,1.0885978287802807,-0.07736175614301594,3.7641259330522296,14.489777684952228,46.991528061471385
