target_joint,step_size,time,q_des,q_actual,q_error,qdot,tau_bias,tau_pd,tau_total_before_clip,tau_total_after_clip,saturation_flag
jnt1,0.2,0.0,0.874698767358,0.6744814843976572,0.2002172829603428,0.0,-3.95534180131989e-05,6.000000000000002,5.999960446581989,5.999960446581989,False
jnt1,0.2,0.002,0.874698767358,0.6740902392411326,0.20060852811686736,-0.10864148017138542,-1.0866867493302453e-05,6.5497258896672115,6.5497150227997185,6.5497150227997185,False
jnt1,0.2,0.004,0.874698767358,0.6735574716495989,0.2011412957084011,-0.19562257826227042,3.717957495355875e-05,6.996368734817373,6.9964059143923265,6.9964059143923265,False
jnt1,0.2,0.006,0.874698767358,0.6729073568478863,0.20179141051011373,-0.2663837957668749,9.366027380518054e-05,7.366157850086408,7.366251510360213,7.366251510360213,False
jnt1,0.2,0.008,0.874698767358,0.6721577890069758,0.20254097835102425,-0.32505740085628626,0.00013067058183556957,7.679029319584843,7.679159990166679,7.679159990166679,False
jnt1,0.2,0.01,0.874698767358,0.6713218828807365,0.20337688447726354,-0.3747839204552657,0.00017109091098328495,7.950148952807056,7.9503200437180395,7.9503200437180395,False
jnt1,0.2,0.012,0.874698767358,0.6704091122090772,0.20428965514892283,-0.4179530631196323,0.00018702837550444926,8.191071849916067,8.191258878291572,8.191258878291572,False
jnt1,0.2,0.014,0.874698767358,0.6694261707789982,0.20527259657900176,-0.4563853358296335,0.00021311538261103817,8.410616333615852,8.410829448998463,8.410829448998463,False
jnt1,0.2,0.016,0.874698767358,0.6683776252214314,0.2063211421365686,-0.4914707150394588,0.000215770450505047,8.615531472567348,8.615747243017854,8.615747243017854,False
jnt1,0.2,0.018000000000000002,0.874698767358,0.6672664079621551,0.20743235939584492,-0.5242727787833915,0.0002351761753805904,8.810998158014016,8.811233334189396,8.811233334189396,False
jnt1,0.2,0.02,0.874698767358,0.6660941909270357,0.2086045764309643,-0.5556086296381679,0.0002320596549692383,9.001013930066186,9.001245989721156,9.001245989721156,False
jnt1,0.2,0.022,0.874698767358,0.664861666907289,0.20983710045071102,-0.5861085175596699,0.00025048553174183974,9.188679880727278,9.18893036625902,9.18893036625902,False
