target_joint,step_size,final_q_error_normal,final_q_error_flipped,final_q_error_flipped_jnt1_only,best_sign_mode
jnt1,0.2,0.2566650753030294,0.25588581862111215,0.25588581862111215,flipped_for_target_joint
jnt1,-0.2,-0.14338528258972066,-0.14254384459172492,-0.14254384459172492,flipped_for_target_joint
jnt1,0.5,0.5565848249997013,0.5557943850066986,0.5557943850066986,flipped_for_target_joint
jnt1,-0.5,-0.4418550467781812,-0.4435121692903218,-0.4435121692903218,normal
jnt2,0.2,0.014701454721019136,-0.09966004095981984,0.015608000706935021,normal
jnt2,-0.2,3.031899451499953e-07,-0.502548861101932,7.52736995179859e-06,normal
jnt2,0.5,0.20332988761243453,3.3533024532753672,0.20316785920318092,flipped_jnt1_only
jnt2,-0.5,8.480400693899881e-07,-0.8024637705871855,-1.28525064639895e-05,normal
jnt3,0.2,0.04505756208532441,3.2162631307943252,0.04562649084587811,normal
jnt3,-0.2,0.0003505463473392201,-0.3708125125256827,0.0003474441655977323,flipped_jnt1_only
jnt3,0.5,0.333150117423062,3.5162660287008007,0.33312334474911043,flipped_jnt1_only
jnt3,-0.5,0.00015232866309089488,-0.6813471050057687,0.0001429937219438182,flipped_jnt1_only
jnt4,0.2,0.017202105542550084,1.398110955290654,0.017185817883227206,flipped_jnt1_only
jnt4,-0.2,9.463765746620112e-07,-2.2997395969850007,-2.6776860001520575e-05,normal
jnt4,0.5,0.01733986699636518,1.698130053426552,0.01740747649107307,normal
jnt4,-0.5,-0.005269990225473142,-2.5997401885622184,-0.00486335146409167,flipped_jnt1_only
