F_res_filt_x,F_res_filt_y,F_res_filt_z,F_res_lim_x,F_res_lim_y,F_res_lim_z,F_res_raw_x,F_res_raw_y,F_res_raw_z,F_res_x,F_res_y,F_res_z,actuator_limit_violation,desired_pitch_rad,desired_roll_rad,desired_yaw_rad,ee_act_x,ee_act_y,ee_act_z,ee_des_pitch_rad_fk,ee_des_roll_rad_fk,ee_des_x,ee_des_y,ee_des_yaw_rad_fk,ee_des_z,ee_dot_norm,ee_dot_x,ee_dot_y,ee_dot_z,ee_err_norm,ee_err_x,ee_err_y,ee_err_z,ee_hf_norm,ee_hf_x,ee_hf_y,ee_hf_z,ee_omega_world_x,ee_omega_world_y,ee_omega_world_z,ee_pitch_rad,ee_roll_rad,ee_yaw_rad,hys_z_q2,hys_z_q3,hys_z_q4,joint_limit_violation,mode,ncon,pitch_error_rad,pitch_error_rad_vs_qdes_fk,q_des_1,q_des_2,q_des_3,q_des_4,q_err_norm,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,qdot_des_1,qdot_des_2,qdot_des_3,qdot_des_4,qdot_jnt_1,qdot_jnt_2,qdot_jnt_3,qdot_jnt_4,residual_gate,reward_step,roll_error_rad,roll_error_rad_vs_qdes_fk,sac_action_x,sac_action_y,sac_action_z,saturation_flag,tau_act_ideal_1,tau_act_ideal_2,tau_act_ideal_3,tau_act_ideal_4,tau_act_out_1,tau_act_out_2,tau_act_out_3,tau_act_out_4,tau_hys_q2,tau_hys_q3,tau_hys_q4,tau_loss_q2,tau_loss_q3,tau_loss_q4,tau_res_norm,tau_residual_1,tau_residual_2,tau_residual_3,tau_residual_4,tau_total_1,tau_total_2,tau_total_3,tau_total_4,tau_total_norm,tau_trans_err_q2,tau_trans_err_q3,tau_trans_err_q4,tau_vsd_1,tau_vsd_2,tau_vsd_3,tau_vsd_4,tau_vsd_norm,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.2499126473570047,-0.19991230745145047,-0.10044324511694872,-0.00013218981248996897,-1.5708031070913941,0.25000022419949197,-0.2000002089585881,2.4668540196909077,-0.1000002979931984,0.04804067960609088,0.012737457871792035,-0.010091208803950091,0.045208755444653415,0.0004599984051448296,8.757684248728026e-05,-8.790150713763878e-05,0.00044294712375031464,0.0003061238001050082,5.828141037785358e-05,-5.84974710759254e-05,0.0002947763628122521,0.051367904012716986,0.06421442412876718,-0.000498191656979815,-0.0004965935328236082,-1.5708031126477984,2.4668975365605923,-0.1368568884880804,-0.11912917346553278,0.002784342516727961,0,zero,0,0.0004965935328238302,0.00036440372033386126,0.6747452481444709,1.2749748210457625,1.4161908084926071,-0.45055462462244206,0.0018979825922913007,0.6747017363363257,1.2766195004634895,1.4153558353958409,-0.45010932227147743,0.00016914512485574588,4.0510970149375334e-05,-3.73112186439833e-05,2.7599378480723773e-05,0.0004991993807900628,0.26835489363165554,-0.12753793159236682,0.05858464869211088,1.0,-0.002412996022030711,6.7858529018138825e-06,5.556404225615097e-09,0.0,0.0,0.0,0,0.001937859402758037,-1.0471360525969733,-0.41787250569010187,0.011124880438366014,0.001937859402758037,-0.14661371587755623,-0.12525400724027377,-0.005589501784180342,-0.0007593923825767495,-0.00011931321432117694,1.104798884851065e-05,0.009493336259015588,-0.007355495234249294,0.00625320611566936,0.0,0.0,0.0,0.0,0.0,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,7.1186125621645395,-0.9005223367194171,-0.2926184984498281,0.016714382222546356,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,7.1186125621645395,0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.24960530573395368,-0.19966911434899082,-0.10151115790861112,-0.00013162328272042778,-1.5708031070738608,0.24999955556479897,-0.2000012843279511,2.4668500921862995,-0.10000051239718813,0.11374072512314337,0.030667298835801438,-0.02442684718226562,0.10676983876726776,0.0015961891132401762,0.00039424983084529464,-0.000332169978960295,0.0015106455114229922,0.0009600576229406638,0.0002428730755509621,-0.00020148735288181787,0.0009067117266075102,0.09971327704962352,0.1246490669352747,-0.000713218866734567,-0.0017793592218500187,-1.5708031260850377,2.4668910161182316,-0.3523751113033611,-0.14282147944496648,-0.016756601533617646,0,zero,0,0.0017793592218500187,0.0016477359391293689,0.6747491756454734,1.2749757616988024,1.416189942136874,-0.4505539837728359,0.006319330133787563,0.6747082719862958,1.2805482470039293,1.4134601563766558,-0.4493590204018842,0.0006711570303142074,0.00016074493689244887,-0.0001480485276998467,0.00010951256747977838,0.0007150766079156338,0.4621021446565251,-0.21921489905727914,0.08326229078157608,1.0,-0.009334723465144634,6.799290141135117e-06,1.9011176632943716e-08,0.0,0.0,0.0,0,0.00016375830874172762,-1.468698865822973,-0.0954996291235316,-0.08189989024473261,0.00016375830874172762,-0.42863493569706373,-0.15551046448322434,-0.018162490366819085,-0.0019552612827136765,-0.00014304212218525225,-6.648849621414291e-05,0.014033149060515789,-0.008361905825300369,0.006497092958458426,0.0,0.0,0.0,0.0,0.0,0.0003070660205170216,-9.791325772153153,-0.3183320970784387,-0.2729996341491087,9.800302270593289,-1.0400639301259091,0.06001083535969273,-0.06373739987791352,0.0003070660205170216,-9.791325772153153,-0.3183320970784387,-0.2729996341491087,9.800302270593289,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.2490653411947087,-0.19924004262665243,-0.1029510166453127,-0.00013009740537417436,-1.5708031070266362,0.2499977546569694,-0.20000418068995993,2.466839513941982,-0.10000108986762299,0.15961663708708929,0.05381636314154281,-0.04319680843472007,0.14392812662667176,0.0031867491018483323,0.0009324134622607227,-0.0007641380633074957,0.00294992677768971,0.001698622562346959,0.0005197712037344451,-0.00042155751731502765,0.0015612321302989457,0.1640168950974018,0.20503095663070414,-0.0006255972881632645,-0.003966180986848533,-1.5708031463085643,2.4668839634542663,-0.5337558190127109,-0.03597059975988202,-0.055911337130325575,0,zero,0,0.003966180986848755,0.003836083581474359,0.6747597538800783,1.274978295230565,1.4161876087156504,-0.450552257724268,0.011949669145675251,0.674715349267692,1.285709238846603,1.4113491496490644,-0.4484958570113986,0.0014979496185693426,0.0003587652457313457,-0.0003304282389680327,0.00024442015992603815,0.0006284924243419997,0.5339466019680054,-0.1843776264491817,0.08700615795375247,1.0,-0.021297018975019455,6.819513667544186e-06,3.928192793267726e-08,0.0,0.0,0.0,0,0.0017530316944383028,-1.8049256242306193,0.16396486282617745,-0.12863816539859044,0.0017530316944383028,-0.7666899421708747,-0.041604031961741436,-0.04949137595460543,-0.0029617077195903748,-3.602617019460645e-05,-0.00022185051781885653,0.016134904722522096,-0.008321189977588715,0.006546489860042229,0.0,0.0,0.0,0.0,0.0,0.0032871398733139,-12.032837494870796,0.5465495427539249,-0.4287938846619681,12.052873913779447,-1.0382356820597445,0.2055688947879189,-0.07914678944398501,0.0032871398733139,-12.032837494870796,0.5465495427539249,-0.4287938846619681,12.052873913779447,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.24815105280534897,-0.198511043619986,-0.10448874582323159,-0.000127149487064937,-1.5708031069353983,0.2499942752961467,-0.2000097762686939,2.4668190773058636,-0.10000220551147443,0.1931420059035162,0.09108090285370185,-0.07345945854003999,0.15366135340674492,0.0050766832353326555,0.0018432224907977413,-0.0014987326487078956,0.004486540311757159,0.002397597977926915,0.0009520351639483681,-0.0007694063092918977,0.0020615816844323327,0.25034812718135496,0.3129470154371153,-0.0005132866258146579,-0.007393444561239804,-1.5708031744890374,2.4668780679315967,-0.6511857928385665,0.05014173159870507,-0.09598555927899109,0,zero,0,0.007393444561239804,0.007266295074174867,0.6747801904974348,1.274983189886538,1.4161831006631767,-0.45054892308522493,0.01705317149624754,0.6747212816738474,1.2908010139687762,1.4104861910434803,-0.447694304035455,0.0026415022662912707,0.0006326509235811288,-0.0005826811070684133,0.0004310134322064431,0.000517509759203866,0.4770374462684912,-0.004814860808748267,0.07146078976225873,1.0,-0.03885139524936676,6.847694140610372e-06,6.755363912702705e-08,0.0,0.0,0.0,0,0.006866535347368613,-1.973939416450623,0.12269348877781751,-0.14515290118144542,0.006866535347368613,-1.0973008513860687,0.0413734179055855,-0.08232770367142908,-0.0036133039132106074,5.0219194800357975e-05,-0.0003808609688503925,0.015445058203837446,-0.00687380853364373,0.006464778382137333,0.0,0.0,0.0,0.0,0.0,0.01287555849872232,-13.15959610967082,0.4089782959260584,-0.4838430039381514,13.174843560690523,-0.8766385650645543,0.081320070872232,-0.06282519751001633,0.01287555849872232,-13.15959610967082,0.4089782959260584,-0.4838430039381514,13.174843560690523,0.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.24677540303709786,-0.19741354100791048,-0.10587180730817802,-0.0001223283566809119,-1.57080310678618,0.24998858474903196,-0.20001892734346155,2.466785654504783,-0.10000403007510486,0.22381434455786484,0.13699592211363631,-0.11066536868431787,0.13812369213160036,0.007179372140260997,0.0032131817119341044,-0.0026053863355510742,0.005867777233073163,0.0030324872840117147,0.0015452613248970503,-0.0012484969704645763,0.0022911573233217603,0.35251134553873714,0.44065023275941934,-0.0008845660643996561,-0.012370744892225671,-1.5708032103311131,2.4668707282451705,-0.7161582440817147,-0.03205943983258348,-0.12300060756396268,0,zero,0,0.012370744892225893,0.01224841653554476,0.6748136132678312,1.2749911947808854,1.4161757280339329,-0.450543469498012,0.02046257048728194,0.6747286725165716,1.2947397609782254,1.411888256781442,-0.4473307915770089,0.004093859824626275,0.0009804966787698,-0.0009030523294402904,0.0006679943441659992,0.0008902087784161851,0.33006888091516823,0.23790867334638705,0.003675444897592337,1.0,-0.06250598281621933,6.8835362165842184e-06,1.0354493307218604e-07,0.0,0.0,0.0,0,0.014119909300335121,-1.9503690222818413,-0.2907003529598847,-0.1316548255007399,0.014119909300335121,-1.3663506637405314,-0.05272521827693526,-0.10471247975320398,-0.003973823468320055,-3.2108967975578346e-05,-0.00048805394184176225,0.012619876301250162,0.008174593126750847,0.006024535541023886,0.0,0.0,0.0,0.0,0.0,0.026476484718423253,-13.002460148545609,-0.9690011765329491,-0.4388494183357997,13.04592744924084,-0.5840183585413099,-0.23797513468294945,-0.026942345747535915,0.026476484718423253,-13.002460148545609,-0.9690011765329491,-0.4388494183357997,13.04592744924084,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.2450162745929202,-0.1960127176714716,-0.10691263299069745,-0.00011519427093875656,-1.570803106565362,0.24998016351044142,-0.20003246837641794,2.466736196989772,-0.10000672998001872,0.24785292855317828,0.1750707205587121,-0.14143643693952657,0.10381257776055641,0.009406916886435648,0.004963888917521225,-0.00401975070494634,0.006905903010678727,0.0035861367799112907,0.0021934302386562845,-0.001772104475566508,0.0022156007131380667,0.4384339411709536,0.5480395123933062,-0.002146094980009847,-0.01888305025258541,-1.5708032498385762,2.466854724282754,-0.7472253650415797,-0.2731208157979015,-0.11546319047860841,0,zero,0,0.01888305025258541,0.018767855981646875,0.6748630707374398,1.2750030400532615,1.416164818358211,-0.45053539953191873,0.02214023167858425,0.6747447399766258,1.2969880603777522,1.415467188481816,-0.44801586574573454,0.0058471326191967985,0.0014004129010382988,-0.001289801546342395,0.000954075539107778,0.00215271649993697,0.15552958015293827,0.421284758239575,-0.1250201225941914,1.0,-0.09226000308990479,6.92304367966301e-06,1.4327321418150518e-07,0.0,0.0,0.0,0,0.020837373997567906,-1.7777724758058566,-0.8971130508558831,-0.03446323562724262,0.020837373997567906,-1.538045413591384,-0.3695766867884605,-0.08631943551252805,-0.004146208908805696,-0.00027354275600928235,-0.000458146234939586,0.008922150731802688,0.010103723058778538,-0.0065990773154600115,0.0,0.0,0.0,0.0,0.0,0.03907251827783219,-11.851816505372378,-2.990376836186277,-0.11487745209080874,12.223855021641088,-0.2397270622144727,-0.5275363640674227,0.05185619988528543,0.03907251827783219,-11.851816505372378,-2.990376836186277,-0.11487745209080874,12.223855021641088,0.060000000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.2431547171384222,-0.1945372225764297,-0.1075178719942792,-0.00010531881993425252,-1.5708031062596697,0.24996850506024756,-0.2000512121282566,2.4666677347813075,-0.10001046735861585,0.24528922239901896,0.18498990043041286,-0.14942388468805745,0.06015016249846239,0.011540923315959127,0.006813787921825354,-0.005513989551826914,0.007507404635663351,0.003934473047857866,0.0026907904442430436,-0.00217371499364286,0.0018747501369255886,0.4716711618634948,0.5895458821827877,-0.004411251586653817,-0.026320438812917235,-1.57080328528101,2.466820270835981,-0.7575207661105974,-0.48771575433020187,-0.042265124490565305,0,zero,0,0.026320438812917235,0.026215119992983205,0.6749315328830613,1.2750194370256247,1.4161497164976855,-0.4505242285763844,0.022945071352412964,0.6747792614813963,1.2976447054373583,1.4199579511666485,-0.45030584636402643,0.007893496450101452,0.0018905256615405041,-0.0017412028408528887,0.0012879803437929175,0.004417880445933301,0.012972418826126379,0.4425256637493533,-0.2995105226175401,1.0,-0.12535402178764343,6.958486113539664e-06,1.7902134041847262e-07,0.0,0.0,0.0,0,0.024692040411794958,-1.5413326696259437,-1.3990985735804773,0.16651317033579066,0.024692040411794958,-1.6036122384535645,-0.8032311028501815,-0.027628192263936348,-0.004203336096437654,-0.0004884692190116641,-0.000167703729425291,0.005689749524353955,0.010648844185949465,-0.007984364917434837,0.0,0.0,0.0,0.0,0.0,0.04630046955146251,-10.275551130839625,-4.663661911934924,0.5550439011193022,11.298093243418663,0.06227956882762076,-0.5958674707302958,0.194141362599727,0.04630046955146251,-10.275551130839625,-4.663661911934924,0.5550439011193022,11.298093243418663,0.07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.24160475799099754,-0.19332149186899397,-0.10769737198511889,-9.228483269985155e-05,-1.5708031058561653,0.24995311559823988,-0.20007594976316867,2.466577375814565,-0.1000154000899452,0.19809441072026238,0.15345696854169866,-0.12404683423477836,0.017456725951034424,0.013203426387904713,0.00834835760724234,-0.006754457894174698,0.007681971895173695,0.003863850027715088,0.002811929965923399,-0.0022721008711749386,0.0013637978349528212,0.39747941875454,0.49675214207373364,-0.0073573112874346005,-0.033333758607220654,-1.570803308274592,2.4667589319061705,-0.7267764383891618,-0.5941604246546957,0.1139180831570242,0,zero,0,0.03333375860722043,0.0332414737745208,0.6750218917668699,1.2750410783590524,1.416129784500987,-0.4505094847341634,0.023695785123435283,0.6748406597607551,1.297238805756232,1.4236183950317893,-0.454064621622447,0.010225192591914995,0.00244897671284323,-0.0022555447388693606,0.0016684427684406195,0.007362438280002746,-0.06766635933404153,0.29685368514335414,-0.40701431304694363,1.0,-0.1543053537607193,6.9814796956890746e-06,2.0241842690893463e-07,0.0,0.0,0.0,0,0.0248000981089939,-1.3310207711668272,-1.5275120380987672,0.4553501492279553,0.0248000981089939,-1.571707247202656,-1.1555351693342926,0.09526510876886457,-0.004032741773148368,-0.0005950783340950308,0.0004520154057200995,-0.00610511635621421,0.00955463056841594,-0.009068863003986422,0.0,0.0,0.0,0.0,0.0,0.04650309039751341,-8.873471807778849,-5.091706793662557,1.5178338307598511,10.342628392787352,0.24068647603582893,-0.37197686876447467,0.36008504045909073,0.04650309039751341,-8.873471807778849,-5.091706793662557,1.5178338307598511,10.342628392787352,0.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.24079889481086075,-0.19271297695254783,-0.10754635508524754,-7.568628275111955e-05,-1.570803105342243,0.2499335137593545,-0.20010745094419694,2.466462305284677,-0.10002168183546156,0.10259485199626894,0.07862613412513986,-0.06400160974744107,-0.015729864538771565,0.013954935200974622,0.009134618948493739,-0.007394473991649109,0.007524673249785979,0.003183447475888871,0.0023945561204942725,-0.001937981312158112,0.0008029117331765472,0.16847947701469201,0.2105197827558752,-0.010413104810538996,-0.037707237035025765,-1.5708033142776843,2.4666670664888026,-0.626350111766221,-0.6182146361321392,0.2971737773275146,0,zero,0,0.03770723703502554,0.037631550752274645,0.6751369621911578,1.2750686382105552,1.416104401459272,-0.45049070871449054,0.024260748854461132,0.6749325583043384,1.2963453144469166,1.4253075641545312,-0.45764242170984587,0.012834527793688369,0.003073923488926233,-0.002831130209108832,0.0020942075067281545,0.010414939626292235,-0.09917754633199284,0.08317996023068318,-0.28563415798103864,1.0,-0.16832195222377777,6.987482787934596e-06,2.0893544139255482e-07,0.0,0.0,0.0,0,0.02272255429278196,-1.199925008666593,-1.2412540160739935,0.6614532475488275,0.02272255429278196,-1.497269455574017,-1.2631498078570966,0.26258383091149295,-0.003475495526429351,-0.0006191697065594382,0.001179155422962262,-0.006930074112845377,0.0075810663146344244,-0.008543309684956844,0.0,0.0,0.0,0.0,0.0,0.042607452264732726,-7.999500057777286,-4.137513386913312,2.204844158496092,9.272225803953898,0.297344446907424,0.02189579178310308,0.39886941663733455,0.042607452264732726,-7.999500057777286,-4.137513386913312,2.204844158496092,9.272225803953898,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-1.5707963267948966,nan,0.24102346841655767,-0.19294054606873268,-0.10718952102107429,-5.51281936453929e-05,-1.5708031047056241,0.24990923031161305,-0.20014646392005137,2.4663197849919882,-0.10002946207477828,0.0480027958989683,-0.024885705343835607,0.018855614033042034,-0.03646143034899685,0.013496238759373112,0.008885761895055383,-0.007205917851318688,0.007160058946296011,0.0018653424618515272,0.0014279387600966142,-0.001164222909491688,0.0002916820433533215,-0.18806851466472488,-0.23493613981090852,-0.01316397748799052,-0.037075934569920976,-1.5708033048768264,2.4665460927916074,-0.5064698199314691,-0.4591321780713217,0.40569694463944106,0,zero,0,0.037075934569920754,0.03702080637627558,0.6752794823530803,1.2751027723898891,1.416072963361797,-0.45046745372624664,0.023437784342693398,0.6750535233641531,1.2952630345408036,1.4250963253924473,-0.45830463721906783,0.015713874278948662,0.0037635391051822047,-0.003466276663107752,0.0025640299357908565,0.013161303919883972,-0.11456778500512843,-0.07682060738897713,0.10955147109520603,1.0,-0.15965408086776733,6.978081930064661e-06,2.0017120228033036e-07,0.0,0.0,0.0,0,0.021530299637123537,-1.138223233096797,-0.7586686550627686,0.5224765098279418,0.021530299637123537,-1.4051665503376822,-1.0934643265555262,0.36753246723152433,-0.002810302992490388,-0.00045984148441877533,0.001609764349509197,-0.00726183301844777,-0.0068959388621662975,0.005968415551135857,0.0,0.0,0.0,0.0,0.0,0.04037183505929784,-7.58815488731198,-2.5288955168758953,1.7415883660931393,8.185973799804684,0.26694331724088527,0.3347956714927576,0.15494404259641748,0.04037183505929784,-7.58815488731198,-2.5288955168758953,1.7415883660931393,8.185973799804684,0.09999999999999999
