1,0,-0.60305249,8.6592796e-16,0.28841257,-1.5707963,-1.3089969,3.1415927,-8.4964465e-15,-9.7330528e-29,-1.4822541e-14,8.883602e-31,-3.8735713e-14,3.9725438e-28,3.9331808,0.0088994364,-12.68653,1.1432207e-15,-66.658569,-0.014757316,-2.4775714e-20,-0.15707963,-0.15707963,0.078539816,-3.7507297e-31,-1.3436144e-14,3.9595209e-14,2.4343634e-14,0.027669968,1.0796472,-5.4599433,16.696922,2.0599841e-18,-1.0471976,-0.52359878,0.26179939,-2.0003892e-31,-8.9574293e-14,1.3198403e-13,8.1145448e-14,0.014757316,7.1976481,-18.199811,55.656406
2,0.001,-0.60305052,4.4498286e-09,0.28840623,-1.5707963,-1.3089636,3.1415926,0.0039335035,8.8998724e-06,-0.012686271,-4.9185383e-10,-0.066657123,-1.4758136e-05,3.9341458,0.008900826,-12.68574,-1.4755664e-06,-66.654105,-0.014759909,1.383537e-08,-0.15707909,-0.15708236,0.078548165,2.7671504e-05,0.0010796272,-0.0054599897,0.016696401,0.02767483,1.0828526,-5.4384955,16.706633,7.3788639e-09,-1.047194,-0.52360788,0.26182722,1.4758136e-05,0.0071975147,-0.018199967,0.055654671,0.014759909,7.1972738,-18.200365,55.651014
3,0.002,-0.60304462,1.7800625e-08,0.2883872,-1.5707963,-1.3088636,3.1415926,0.0078689425,1.7802361e-05,-0.025370989,-3.9349036e-09,-0.13330557,-2.9521188e-05,3.9370503,0.0089047446,-12.683413,-5.9024461e-06,-66.641115,-0.014767274,5.5346105e-08,-0.15707747,-0.15709055,0.078573208,5.5352227e-05,0.0021591344,-0.01092026,0.03338968,0.027688639,1.0826788,-5.4388242,16.701991,2.9517923e-08,-1.0471832,-0.52363518,0.26191069,2.9521188e-05,0.014394229,-0.036400869,0.11129893,0.014767274,7.1960781,-18.20177,55.635423
4,0.003,-0.60303479,4.0056328e-08,0.28835549,-1.5707963,-1.308697,3.1415926,0.011808251,2.6710083e-05,-0.038052602,-1.3280708e-08,-0.19993667,-4.4294074e-05,3.9418924,0.0089111153,-12.67956,-1.3281195e-05,-66.619704,-0.014779285,1.2454607e-07,-0.15707477,-0.1571042,0.078614942,8.3051389e-05,0.0032384014,-0.016381093,0.050076712,0.02771116,1.0758345,-5.4829211,16.671561,6.6424571e-08,-1.0471652,-0.52368068,0.26204981,4.4294074e-05,0.021589343,-0.054603643,0.16692237,0.014779285,7.1940241,-18.20393,55.609798
5,0.004,-0.60302101,7.1223498e-08,0.2883111,-1.5707963,-1.3084638,3.1415925,0.01575336,3.562566e-05,-0.050729554,-3.1481549e-08,-0.26654175,-5.9081725e-05,3.9486603,0.0089202698,-12.674127,-2.3612694e-05,-66.589383,-0.014796496,2.2145838e-07,-0.157071,-0.15712332,0.078673358,0.00011077823,0.0043173088,-0.02184277,0.066754372,0.027743429,1.0754158,-5.4839335,16.660632,1.1811114e-07,-1.04714,-0.52374438,0.26224453,5.9081725e-05,0.028782059,-0.072809232,0.22251457,0.014796496,7.1912419,-18.207227,55.573398
6,0.005,-0.60300328,1.1131159e-07,0.28825403,-1.5707963,-1.3081639,3.1415925,0.019706191,4.4551765e-05,-0.063400278,-6.1490922e-08,-0.333112,-7.3889154e-05,3.9573631,0.0089320312,-12.667146,-3.6898275e-05,-66.550495,-0.014818616,3.4611626e-07,-0.15706614,-0.15714789,0.078748446,0.00013854216,0.0053957389,-0.027305589,0.083419489,0.027784904,1.0748878,-5.4852326,16.646615,1.8459534e-07,-1.0471076,-0.5238263,0.26249482,7.3889154e-05,0.035971593,-0.091018628,0.27806496,0.014818616,7.1877244,-18.211537,55.526683
7,0.006,-0.60298159,1.603332e-07,0.2881843,-1.5707963,-1.3077976,3.1415924,0.023668655,5.3491116e-05,-0.076063188,-1.0626414e-07,-0.39963853,-8.8721464e-05,3.9679677,0.0089466115,-12.658573,-5.3139593e-05,-66.502575,-0.014846003,4.9856371e-07,-0.15706021,-0.15717793,0.07884019,0.00016635274,0.0064735761,-0.032769862,0.10006885,0.027836255,1.0807866,-5.4433137,16.652107,2.6590065e-07,-1.047068,-0.52392642,0.26280063,8.8721464e-05,0.043157174,-0.10923287,0.33356283,0.014846003,7.1834376,-18.216956,55.469057
8,0.007,-0.60295594,2.1830206e-07,0.28810191,-1.5707963,-1.3073647,3.1415923,0.027642675,6.2446224e-05,-0.088716764,-1.6875764e-07,-0.46611296,-0.00010358341,3.9804728,0.0089635453,-12.648478,-7.2338653e-05,-66.446286,-0.014877892,6.7884953e-07,-0.15705319,-0.15721343,0.078948574,0.0001942189,0.0075506974,-0.038235845,0.11669944,0.027896047,1.073456,-5.4886522,16.609071,3.6205308e-07,-1.0470213,-0.52404477,0.26316191,0.00010358341,0.050337983,-0.12745282,0.38899813,0.014877892,7.1781802,-18.222926,55.40154
9,0.008,-0.6029263,2.8523527e-07,0.28800687,-1.5707963,-1.3068654,3.1415922,0.031630151,7.1419751e-05,-0.10135944,-2.5193022e-07,-0.53252656,-0.00011848001,3.9948777,0.0089834457,-12.636773,-9.449755e-05,-66.380907,-0.014915307,8.8703399e-07,-0.1570451,-0.1572544,0.079073578,0.00022215002,0.008626986,-0.043703833,0.13330811,0.0279662,1.079121,-5.4473234,16.608264,4.7308479e-07,-1.0469674,-0.52418133,0.26357859,0.00011848001,0.05751324,-0.14567944,0.44436036,0.014915307,7.1723331,-18.230331,55.322909
10,0.009,-0.60289267,3.6115258e-07,0.2878992,-1.5707963,-1.3062997,3.1415921,0.035632971,8.041437e-05,-0.11398965,-3.5874321e-07,-0.59887057,-0.00013341631,4.0111595,0.0090057307,-12.623538,-0.00011961925,-66.307119,-0.014957292,1.1231868e-06,-0.15703594,-0.15730084,0.079215178,0.00025015558,0.0097023256,-0.049174132,0.14989169,0.028044922,1.0715582,-5.4932752,16.558905,5.9903295e-07,-1.0469063,-0.52433613,0.26405059,0.00013341631,0.064682171,-0.16391377,0.49963897,0.014957292,7.1655291,-18.238327,55.234322
