1,0,-2.4775714e-20,-2.5146291e-20,-4.2351647e-22,-4.2351647e-22,1.8905775e-18,-1.3362792e-17,1.0262061e-51,7.1828394e-19,-2.6217364e-19,0.86,2.0304256e-30,3.1415927,-7.0473141e-19,3.1415927,-6.3250732,-2.6860107e-18,-2.4353876e-15,-1.3529796e-14,-10.053096,8.3775804,4.8968532e-14,-65.095524,-127.17314,-1.3529796e-14,-10.053096,8.3775804,18.849556,1.2566371,1.2566371,1.2566371,10.053096,8.3775804,4.1887902,4.1887902
2,0.001,0.018849432,0.0012566288,0.0012566288,0.0012566288,0.01005303,0.0083775253,0.0041887626,0.0041887626,-0.0063245957,0.85996745,-6.3583495e-05,-3.1415084,0.010052678,-3.1332147,-6.323642,-0.06509253,-0.12716086,-0.084217004,-10.0529,8.3769932,2.8356018,-65.086828,-127.13685,-0.084217004,-10.0529,8.3769932,18.849187,1.2566125,1.2566125,1.2566125,10.0529,8.3774165,4.1887083,4.1887083
3,0.002,0.03769812,0.002513208,0.002513208,0.002513208,0.020105664,0.01675472,0.0083773599,0.0083773599,-0.012646327,0.85986982,-0.00025429707,-3.1412558,0.020102841,-3.1248345,-6.319348,-0.13016707,-0.25424799,-0.16841226,-10.052308,8.3752301,5.6777017,-65.060542,-127.02763,-0.16841226,-10.052308,8.3752301,18.848077,1.2565385,1.2565385,1.2565385,10.052308,8.3769232,4.1884616,4.1884616
4,0.003,0.056545319,0.0037696879,0.0037696879,0.0037696879,0.030157504,0.025131253,0.012565626,0.012565626,-0.018962332,0.85970713,-0.00057203002,-3.1408346,0.030147978,-3.11645,-6.3121925,-0.19520556,-0.38118756,-0.25256391,-10.051317,8.372289,8.5294029,-65.016204,-126.84464,-0.25256391,-10.051317,8.372289,18.84622,1.2564146,1.2564146,1.2564146,10.051317,8.3760976,4.1880488,4.1880488
5,0.004,0.075390286,0.0050260191,0.0050260191,0.0050260191,0.040208153,0.033506794,0.016753397,0.016753397,-0.025269752,0.85947943,-0.001016598,-3.1402449,0.040185572,-3.1080588,-6.3021868,-0.26019021,-0.50790638,-0.33665045,-10.049937,8.3681788,11.350604,-64.955098,-126.59053,-0.33665045,-10.049937,8.3681788,18.843632,1.2562422,1.2562422,1.2562422,10.049937,8.3749478,4.1874739,4.1874739
6,0.005,0.094232277,0.0062821518,0.0062821518,0.0062821518,0.050257215,0.041881012,0.020940506,0.020940506,-0.031565737,0.85918678,-0.001587743,-3.1394867,0.050213108,-3.0996588,-6.2893542,-0.325104,-0.63433293,-0.42065139,-10.048194,8.3629221,14.115494,-64.879561,-126.27002,-0.42065139,-10.048194,8.3629221,18.840363,1.2560242,1.2560242,1.2560242,10.048194,8.3734948,4.1867474,4.1867474
7,0.006,0.11307055,0.0075380365,0.0075380365,0.0075380365,0.060304292,0.050253577,0.025126788,0.025126788,-0.037847442,0.85882925,-0.0022851339,-3.1385598,0.060228069,-3.0912477,-6.2737061,-0.38992975,-0.76039554,-0.50454599,-10.046089,8.3565234,16.860042,-64.788811,-125.88182,-0.50454599,-10.046089,8.3565234,18.836418,1.2557612,1.2557612,1.2557612,10.046089,8.3717411,4.1858706,4.1858706
8,0.007,0.13190435,0.0087936237,0.0087936237,0.0087936237,0.070348989,0.058624158,0.029312079,0.029312079,-0.044112037,0.85840696,-0.0031083667,-3.1374641,0.070227937,-3.0828235,-6.2551809,-0.45464491,-0.88601241,-0.58830659,-10.043507,8.348887,19.684773,-64.674214,-125.40936,-0.58830659,-10.043507,8.348887,18.831575,1.2554383,1.2554383,1.2554383,10.043507,8.3695889,4.1847945,4.1847945
9,0.008,0.15073295,0.010048864,0.010048864,0.010048864,0.080390909,0.066992424,0.033496212,0.033496212,-0.050356702,0.85792002,-0.0040569645,-3.1361995,0.080210192,-3.0743838,-6.2338458,-0.51923448,-1.0111167,-0.67191525,-10.040531,8.3400868,22.490089,-64.542124,-124.86539,-0.67191525,-10.040531,8.3400868,18.825996,1.2550664,1.2550664,1.2550664,10.040531,8.3671093,4.1835546,4.1835546
10,0.009,0.1695556,0.011303707,0.011303707,0.011303707,0.090429655,0.075358046,0.037679023,0.037679023,-0.056578633,0.85736855,-0.0051303785,-3.134766,0.09017231,-3.0659266,-6.2097146,-0.58368053,-1.1356361,-0.75535024,-10.037159,8.330123,25.278447,-64.392273,-124.24975,-0.75535024,-10.037159,8.330123,18.819674,1.2546449,1.2546449,1.2546449,10.037159,8.3642994,4.1821497,4.1821497
11,0.01,0.18837156,0.012558104,0.012558104,0.012558104,0.10046483,0.083720693,0.041860346,0.041860346,-0.062775042,0.85675273,-0.0063279882,-3.1331633,0.10011177,-3.0574497,-6.1828054,-0.64796534,-1.2594995,-0.83859011,-10.033391,8.3189994,28.047775,-64.224737,-123.56303,-0.83859011,-10.033391,8.3189994,18.812608,1.2541739,1.2541739,1.2541739,10.033391,8.3611592,4.1805796,4.1805796
12,0.011,0.20718008,0.013812005,0.013812005,0.013812005,0.11049604,0.092080034,0.046040017,0.046040017,-0.068943161,0.8560727,-0.007649102,-3.1313913,0.11002604,-3.0489508,-6.1531384,-0.71207126,-1.382636,-0.92161349,-10.029227,8.3067198,30.79602,-64.039597,-122.80586,-0.92161349,-10.029227,8.3067198,18.8048,1.2536534,1.2536534,1.2536534,10.029227,8.357689,4.1788445,4.1788445
13,0.012,0.22598042,0.015065361,0.015065361,0.015065361,0.12052289,0.10043574,0.05021787,0.05021787,-0.075080245,0.85532867,-0.0090929581,-3.1294499,0.11991259,-3.040428,-6.1207359,-0.77598076,-1.5049755,-1.0043991,-10.024667,8.2932889,33.521153,-63.836943,-121.97895,-1.0043991,-10.024667,8.2932889,18.79625,1.2530833,1.2530833,1.2530833,10.024667,8.3538888,4.1769444,4.1769444
14,0.013,0.24477183,0.016318122,0.016318122,0.016318122,0.13054498,0.10878748,0.054393741,0.054393741,-0.081183568,0.85452083,-0.010658725,-3.1273389,0.12976888,-3.031879,-6.0856219,-0.83967636,-1.6264488,-1.0869257,-10.019711,8.2787116,36.221171,-63.616873,-121.08307,-1.0869257,-10.019711,8.2787116,18.786957,1.2524638,1.2524638,1.2524638,10.019711,8.3497589,4.1748794,4.1748794
15,0.014,0.26355359,0.017570239,0.017570239,0.017570239,0.14056191,0.11713493,0.058567464,0.058567464,-0.087250433,0.85364941,-0.012345501,-3.125058,0.13959239,-3.0233018,-6.0478227,-0.90314073,-1.7469873,-1.1691723,-10.014359,8.2629932,38.894098,-63.379496,-120.11905,-1.1691723,-10.014359,8.2629932,18.776923,1.2517949,1.2517949,1.2517949,10.014359,8.3452993,4.1726496,4.1726496
