#{"t_start": 1778647044.649436, "env_id": "None"}
r,l,t
-332.6998,500,25.648279
-652.238816,500,26.651001
-174.631984,500,30.492411
-351.124829,500,34.354539
-656.038117,500,38.311949
-99.082467,500,41.898501
-166.439875,500,45.710514
-562.356171,500,49.819044
-743.981664,500,53.550613
-178.183494,500,57.271216
-712.090495,500,85.269497
-140.40744,500,88.914996
-174.09307,500,92.69499
-519.49207,500,96.636092
-156.536016,500,100.560373
-338.056452,500,104.561284
-960.489543,500,108.527534
-104.996658,500,112.519483
-503.970046,500,116.320598
-192.760115,500,120.047048
-675.574616,463,147.896857
-149.958906,500,151.690843
-112.632271,500,155.53244
-636.695811,500,159.377918
-217.680749,500,163.243369
-364.041821,500,166.956124
-160.773173,500,170.950655
-204.911024,500,174.749343
-290.089035,500,178.711992
-111.546075,500,182.41149
-186.285316,500,210.55159
-211.812917,500,214.280228
-217.989639,500,218.060654
-188.673553,500,221.99746
-89.466477,70,222.664482
-588.250001,500,226.611307
-493.485515,500,230.567435
-146.962899,500,234.339097
-859.487231,500,238.113674
-795.913696,483,241.76048
-84.127672,500,269.797597
-270.668005,500,274.041989
-193.923221,500,277.953191
-555.799512,500,281.710743
-309.241587,500,285.524727
-231.526465,500,289.269201
-203.815775,500,293.020096
-352.024851,500,296.783555
-101.803762,500,300.622817
-325.112971,500,304.48674
-164.033601,500,332.623049
-59.291798,59,333.136506
-197.283524,500,337.136853
-244.677931,500,341.078521
-104.977407,500,344.857257
-249.990256,500,348.772168
-556.225716,500,352.77277
-947.457923,453,356.400417
-577.659138,500,360.407289
-118.799661,500,364.152338
-43.167898,56,364.689997
-295.349645,500,368.538101
