target,target_xyz,rms_error,final_error,convergence_time,final_q,final_ee_xyz,max_tau,joint_limit_margin_min,sv_min_over_time
A_first,"[0.25, -0.2, -0.1]",0.018246299308273033,0.018839028378621135,0.0,"[0.6155274981610466, 1.2747301638797226, 1.416972734912321, -0.45226010807276046]","[0.26096485228559974, -0.18454703471493894, -0.0999996756870336]",6.992958034699366,0.15382333260625325,0.18222612513535882
B_middle,"[0.0, -0.35, -0.15]",0.2891608626262697,0.28910492489327894,-1.0,"[0.6156445888828698, 1.5714496190590403, 1.1468902197202093, -0.8705477697287004]","[0.20136638982519128, -0.14243553447248128, -0.15214554085794996]",20.0,-0.012401327570988663,0.1822326396329636
C_final,"[-0.25, -0.2, -0.1]",0.42027685605540754,0.41804562658921457,-1.0,"[0.6173911106761105, 1.050802797938961, 1.582320086286888, -1.5855416612711757]","[0.1248351737585083, -0.08863127815560236, 0.04806928430739586]",20.0,-0.12222098588261576,0.1527075371794973
