t,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,ee_ax,ee_ay,ee_az,ee_awx,ee_awy,ee_awz,q_act_1,q_act_2,q_act_3,q_act_4,dq_act_1,dq_act_2,dq_act_3,dq_act_4,ddq_act_1,ddq_act_2,ddq_act_3,ddq_act_4,q_1,q_2,q_3,q_4,dq_1,dq_2,dq_3,dq_4,ddq_1,ddq_2,ddq_3,ddq_4,des_x,des_y,des_z,err_x,err_y,err_z,following_error,des_q_1,des_q_2,des_q_3,des_q_4,err_q_1,err_q_2,err_q_3,err_q_4,following_error_q,des_roll,des_pitch,des_yaw,err_roll,err_pitch,err_yaw,following_error_ori
0.01,-0.349993,0.149972,1.70661e-11,-1.5708,2.53104e-11,-0.404831,0.00230532,-0.00991126,3.32088e-08,-5.04805e-16,-1.17267e-15,0.0215408,0,0,0,0,0,0,-5.13143,0.163192,0.352511,-0.263584,-0.0403891,-0.00327718,0.0140947,0.00754037,0,0,0,0,-2.73676,1.08794,1.17504,-0.878613,-0.0215408,-0.0218479,0.0469824,0.0251346,0,0,0,0,-0.349992,0.149967,0,1.22181e-06,-5.25464e-06,-1.70661e-11,5.39481e-06,-2.73676,1.08794,1.17504,-0.878613,0,0,0,0,0,-1.5708,0,nan,0,-2.53104e-11,nan,2.53104e-11
0.011,-0.349991,0.149962,2.68247e-11,-1.5708,1.01239e-11,-0.40481,0.00277817,-0.0119437,4.92479e-08,-6.26235e-16,-1.45023e-15,0.0259588,0,0,0,0,0,0,-5.13147,0.163188,0.352524,-0.263576,-0.0486727,-0.003949,0.0169842,0.00908621,0,0,0,0,-2.73678,1.08792,1.17508,-0.878588,-0.0259588,-0.0263267,0.056614,0.0302874,0,0,0,0,-0.34999,0.149956,0,1.50362e-06,-6.46689e-06,-2.68247e-11,6.63939e-06,-2.73678,1.08792,1.17508,-0.878588,0,0,0,0,0,-1.5708,0,nan,0,-1.01239e-11,nan,1.01239e-11
0.012,-0.349988,0.14995,3.98265e-11,-1.5708,4.04916e-12,-0.404784,0.00329287,-0.0141559,7.04039e-08,-7.11237e-16,-1.6584e-15,0.0307678,0,0,0,0,0,0,-5.13152,0.163185,0.352541,-0.263567,-0.0576897,-0.00468011,0.0201287,0.0107685,0,0,0,0,-2.73681,1.0879,1.17514,-0.878558,-0.0307678,-0.0312008,0.0670958,0.0358951,0,0,0,0,-0.349987,0.149943,0,1.81369e-06,-7.80083e-06,-3.98265e-11,8.0089e-06,-2.73681,1.0879,1.17514,-0.878558,0,0,0,0,0,-1.5708,0,nan,0,-4.04921e-12,nan,4.04921e-12
0.013,-0.349985,0.149937,5.68809e-11,-1.5708,1.6196e-12,-0.404754,0.0038489,-0.0165455,9.7617e-08,-8.01442e-16,-1.85962e-15,0.035963,0,0,0,0,0,0,-5.13157,0.16318,0.352561,-0.263557,-0.0674306,-0.00546969,0.0235248,0.0125854,0,0,0,0,-2.73684,1.08787,1.1752,-0.878523,-0.035963,-0.0364646,0.078416,0.0419514,0,0,0,0,-0.349983,0.149927,0,2.15165e-06,-9.25489e-06,-5.68809e-11,9.50171e-06,-2.73684,1.08787,1.1752,-0.878523,0,0,0,0,0,-1.5708,0,nan,0,-1.61959e-12,nan,1.61959e-12
0.014,-0.349981,0.14992,7.87945e-11,-1.5708,6.47876e-13,-0.404719,0.00444571,-0.0191101,1.31891e-07,-9.78384e-16,-2.26208e-15,0.0415393,0,0,0,0,0,0,-5.13164,0.163175,0.352584,-0.263545,-0.0778862,-0.00631691,0.0271688,0.014535,0,0,0,0,-2.73687,1.08783,1.17528,-0.878482,-0.0415393,-0.0421127,0.0905627,0.04845,0,0,0,0,-0.349979,0.14991,0,2.51712e-06,-1.08275e-05,-7.87945e-11,1.11162e-05,-2.73687,1.08783,1.17528,-0.878482,0,0,0,0,0,-1.5708,0,nan,0,-6.47926e-13,nan,6.47926e-13
0.015,-0.349977,0.149902,1.06404e-10,-1.5708,2.5891e-13,-0.404678,0.00508277,-0.0218473,1.74287e-07,-1.10675e-15,-2.56739e-15,0.0474918,0,0,0,0,0,0,-5.13172,0.163168,0.352611,-0.26353,-0.0890472,-0.00722092,0.0310572,0.0166153,0,0,0,0,-2.73691,1.08779,1.17537,-0.878434,-0.0474918,-0.0481394,0.103524,0.0553844,0,0,0,0,-0.349974,0.149889,0,2.90972e-06,-1.2517e-05,-1.06404e-10,1.28508e-05,-2.73691,1.08779,1.17537,-0.878434,0,0,0,0,0,-1.5708,0,nan,0,-2.58904e-13,nan,2.58904e-13
0.016,-0.349972,0.14988,1.40585e-10,-1.5708,1.03479e-13,-0.404631,0.00575955,-0.024755,2.25924e-07,-1.32533e-15,-3.07393e-15,0.0538158,0,0,0,0,0,0,-5.1318,0.163161,0.352641,-0.263514,-0.100905,-0.00818087,0.0351863,0.0188245,0,0,0,0,-2.73696,1.08774,1.17547,-0.87838,-0.0538158,-0.0545391,0.117288,0.0627484,0,0,0,0,-0.349969,0.149866,0,3.32909e-06,-1.4322e-05,-1.40585e-10,1.47038e-05,-2.73696,1.08774,1.17547,-0.87838,0,0,0,0,0,-1.5708,0,nan,0,-1.03473e-13,nan,1.03473e-13
0.017,-0.349966,0.149856,1.82259e-10,-1.5708,4.15836e-14,-0.404578,0.00647552,-0.0278306,2.87971e-07,-1.31145e-15,-3.05311e-15,0.0605063,0,0,0,0,0,0,-5.1319,0.163153,0.352676,-0.263495,-0.113449,-0.00919592,0.0395525,0.0211606,0,0,0,0,-2.73701,1.08769,1.17559,-0.878318,-0.0605063,-0.0613061,0.131842,0.0705354,0,0,0,0,-0.349963,0.149839,0,3.77485e-06,-1.62408e-05,-1.82259e-10,1.66737e-05,-2.73701,1.08769,1.17559,-0.878318,0,0,0,0,0,-1.5708,0,nan,0,-4.17444e-14,nan,4.17444e-14
0.018,-0.34996,0.149828,2.32387e-10,-1.5708,1.6437e-14,-0.404519,0.00723016,-0.0310719,3.61645e-07,-1.55778e-15,-3.60822e-15,0.0675587,0,0,0,0,0,0,-5.13201,0.163144,0.352715,-0.263475,-0.126673,-0.0102652,0.0441521,0.0236217,0,0,0,0,-2.73707,1.08763,1.17572,-0.878249,-0.0675587,-0.0684347,0.147174,0.078739,0,0,0,0,-0.349956,0.14981,0,4.24664e-06,-1.8272e-05,-2.32387e-10,1.87589e-05,-2.73707,1.08763,1.17572,-0.878249,0,0,0,0,0,-1.5708,0,nan,0,-1.64313e-14,nan,1.64313e-14
0.019,-0.349953,0.149798,2.91972e-10,-1.5708,6.72257e-15,-0.404452,0.00802295,-0.0344767,4.48209e-07,-1.72778e-15,-4.01068e-15,0.0749683,0,0,0,0,0,0,-5.13214,0.163134,0.352758,-0.263451,-0.140566,-0.0113879,0.0489815,0.0262058,0,0,0,0,-2.73714,1.08756,1.17586,-0.878171,-0.0749683,-0.0759191,0.163272,0.0873526,0,0,0,0,-0.349948,0.149777,0,4.74407e-06,-2.04138e-05,-2.91972e-10,2.09578e-05,-2.73714,1.08756,1.17586,-0.878171,0,0,0,0,0,-1.5708,0,nan,0,-6.66134e-15,nan,6.66134e-15
