t,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,ee_ax,ee_ay,ee_az,ee_awx,ee_awy,ee_awz,q_act_1,q_act_2,q_act_3,q_act_4,dq_act_1,dq_act_2,dq_act_3,dq_act_4,ddq_act_1,ddq_act_2,ddq_act_3,ddq_act_4,q_1,q_2,q_3,q_4,dq_1,dq_2,dq_3,dq_4,ddq_1,ddq_2,ddq_3,ddq_4,des_x,des_y,des_z,err_x,err_y,err_z,following_error,des_q_1,des_q_2,des_q_3,des_q_4,err_q_1,err_q_2,err_q_3,err_q_4,following_error_q,des_roll,des_pitch,des_yaw,err_roll,err_pitch,err_yaw,following_error_ori
0.178,-0.325565,0.0449325,1.5156e-08,-1.5708,-1.05301e-16,-0.137147,0.316027,-1.35578,2.8004e-05,-9.57567e-15,-6.81677e-14,3.95509,0,0,0,0,0,0,-5.63333,0.138679,0.460428,-0.204691,-7.4158,-0.205122,0.929568,0.519324,0,0,0,0,-3.00445,0.92453,1.53476,-0.682302,-3.95509,-1.36748,3.09856,1.73108,0,0,0,0,-0.325544,0.0448399,0,2.1153e-05,-9.2627e-05,-1.5156e-08,9.50116e-05,-3.00445,0.92453,1.53476,-0.682302,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.179,-0.325249,0.0435735,1.50088e-08,-1.5708,-1.05301e-16,-0.133177,0.317608,-1.36256,2.77212e-05,-9.46465e-15,-6.90559e-14,3.98689,0,0,0,0,0,0,-5.64078,0.138475,0.461353,-0.204174,-7.47542,-0.203556,0.923039,0.515927,0,0,0,0,-3.00842,0.92317,1.53784,-0.680579,-3.98689,-1.35704,3.0768,1.71976,0,0,0,0,-0.325228,0.0434804,0,2.12586e-05,-9.30947e-05,-1.50088e-08,9.54911e-05,-3.00842,0.92317,1.53784,-0.680579,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.18,-0.324932,0.0422077,1.48546e-08,-1.5708,5.72119e-18,-0.129174,0.319171,-1.36925,2.74254e-05,-8.99281e-15,-6.75016e-14,4.01857,0,0,0,0,0,0,-5.64829,0.138273,0.462271,-0.20366,-7.53481,-0.201947,0.916304,0.512409,0,0,0,0,-3.01242,0.92182,1.5409,-0.678868,-4.01857,-1.34631,3.05435,1.70803,0,0,0,0,-0.32491,0.0421142,0,2.13629e-05,-9.35572e-05,-1.48546e-08,9.59652e-05,-3.01242,0.92182,1.5409,-0.678868,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.181,-0.324612,0.0408353,1.46935e-08,-1.5708,1.16743e-16,-0.12514,0.320715,-1.37587,2.71169e-05,-9.15934e-15,-7.10543e-14,4.05011,0,0,0,0,0,0,-5.65585,0.138072,0.463183,-0.203151,-7.59396,-0.200295,0.909362,0.508773,0,0,0,0,-3.01645,0.920481,1.54394,-0.677168,-4.05011,-1.3353,3.03121,1.69591,0,0,0,0,-0.324591,0.0407413,0,2.14661e-05,-9.40142e-05,-1.46935e-08,9.64337e-05,-3.01645,0.920481,1.54394,-0.677168,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.182,-0.324292,0.0394563,1.45256e-08,-1.5708,-4.979e-17,-0.121074,0.322241,-1.3824,2.67958e-05,-8.21565e-15,-6.59472e-14,4.08152,0,0,0,0,0,0,-5.66347,0.137873,0.464087,-0.202644,-7.65284,-0.198599,0.902216,0.505017,0,0,0,0,-3.02052,0.919154,1.54696,-0.675481,-4.08152,-1.324,3.00739,1.68339,0,0,0,0,-0.32427,0.0393618,0,2.1568e-05,-9.44657e-05,-1.45256e-08,9.68966e-05,-3.02052,0.919154,1.54696,-0.675481,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.183,-0.32397,0.0380708,1.4351e-08,-1.5708,-1.60812e-16,-0.116977,0.323748,-1.38886,2.64624e-05,-7.93809e-15,-6.57252e-14,4.11277,0,0,0,0,0,0,-5.67115,0.137676,0.464984,-0.202142,-7.71145,-0.196861,0.894865,0.501142,0,0,0,0,-3.02462,0.917838,1.54995,-0.673807,-4.11277,-1.31241,2.98288,1.67047,0,0,0,0,-0.323948,0.0379758,0,2.16687e-05,-9.49117e-05,-1.4351e-08,9.73538e-05,-3.02462,0.917838,1.54995,-0.673807,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.184,-0.323646,0.0366788,1.41699e-08,-1.5708,5.72119e-18,-0.112849,0.325236,-1.39523,2.61169e-05,-8.07687e-15,-6.92779e-14,4.14388,0,0,0,0,0,0,-5.6789,0.13748,0.465874,-0.201644,-7.76977,-0.195081,0.887312,0.49715,0,0,0,0,-3.02874,0.916534,1.55291,-0.672146,-4.14388,-1.30054,2.95771,1.65717,0,0,0,0,-0.323624,0.0365835,0,2.17682e-05,-9.53522e-05,-1.41699e-08,9.78054e-05,-3.02874,0.916534,1.55291,-0.672146,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.185,-0.323321,0.0352805,1.39823e-08,-1.5708,-4.979e-17,-0.108689,0.326705,-1.40153,2.57595e-05,-6.55032e-15,-5.79536e-14,4.17482,0,0,0,0,0,0,-5.68669,0.137286,0.466756,-0.201149,-7.82778,-0.193259,0.879558,0.49304,0,0,0,0,-3.0329,0.915241,1.55585,-0.670498,-4.17482,-1.28839,2.93186,1.64347,0,0,0,0,-0.323299,0.0351847,0,2.18664e-05,-9.5787e-05,-1.39823e-08,9.82512e-05,-3.0329,0.915241,1.55585,-0.670498,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.186,-0.322994,0.033876,1.37884e-08,-1.5708,-4.979e-17,-0.104499,0.328155,-1.40774,2.53906e-05,-6.7446e-15,-6.23945e-14,4.20558,0,0,0,0,0,0,-5.69455,0.137094,0.46763,-0.200659,-7.88547,-0.191395,0.871603,0.488812,0,0,0,0,-3.03709,0.913962,1.55877,-0.668864,-4.20558,-1.27597,2.90534,1.62937,0,0,0,0,-0.322972,0.0337798,0,2.19633e-05,-9.62163e-05,-1.37884e-08,9.86912e-05,-3.03709,0.913962,1.55877,-0.668864,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.187,-0.322666,0.0324653,1.35884e-08,-1.5708,-1.05301e-16,-0.100278,0.329585,-1.41387,2.50104e-05,-6.55032e-15,-6.32827e-14,4.23617,0,0,0,0,0,0,-5.70246,0.136904,0.468496,-0.200173,-7.94281,-0.189491,0.863449,0.484468,0,0,0,0,-3.04131,0.912694,1.56165,-0.667245,-4.23617,-1.26327,2.87816,1.61489,0,0,0,0,-0.322644,0.0323686,0,2.20589e-05,-9.66398e-05,-1.35884e-08,9.91254e-05,-3.04131,0.912694,1.56165,-0.667245,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.188,-0.322336,0.0310485,1.33824e-08,-1.5708,-2.71835e-16,-0.0960269,0.330996,-1.41991,2.46193e-05,-6.52256e-15,-6.57252e-14,4.26656,0,0,0,0,0,0,-5.71044,0.136716,0.469354,-0.199692,-7.9998,-0.187545,0.855097,0.480007,0,0,0,0,-3.04557,0.91144,1.56451,-0.66564,-4.26656,-1.2503,2.85032,1.60002,0,0,0,0,-0.322314,0.0309514,0,2.21532e-05,-9.70575e-05,-1.33824e-08,9.95536e-05,-3.04557,0.91144,1.56451,-0.66564,0,0,0,0,0,-1.5708,0,nan,0,4.44089e-16,nan,4.44089e-16
0.189,-0.322006,0.0296256,1.31706e-08,-1.5708,-4.979e-17,-0.0917452,0.332388,-1.42587,2.42176e-05,-5.77316e-15,-6.03961e-14,4.29676,0,0,0,0,0,0,-5.71846,0.13653,0.470203,-0.199215,-8.05642,-0.18556,0.84655,0.475431,0,0,0,0,-3.04985,0.910198,1.56734,-0.66405,-4.29676,-1.23706,2.82183,1.58477,0,0,0,0,-0.321983,0.0295282,0,2.22462e-05,-9.74695e-05,-1.31706e-08,9.9976e-05,-3.04985,0.910198,1.56734,-0.66405,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.19,-0.32166,0.0281382,5.37338e-09,-1.5708,6.12323e-17,-0.0872559,0.33333,-1.43195,9.48711e-06,-5.91194e-15,-6.50591e-14,4.32799,0,0,0,0,0,0,-5.72688,0.136338,0.471078,-0.198724,-8.11498,-0.183248,0.836551,0.470056,0,0,0,0,-3.05434,0.908921,1.57026,-0.662413,-4.32799,-1.22165,2.7885,1.56685,0,0,0,0,-0.321651,0.028099,0,8.92932e-06,-3.9153e-05,-5.37338e-09,4.01584e-05,-3.05434,0.908921,1.57026,-0.662413,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.191,-0.321339,0.0267585,1.1354e-08,-1.5708,-1.60812e-16,-0.0830803,0.335084,-1.43755,2.25022e-05,-5.10703e-15,-5.90639e-14,4.35659,0,0,0,0,0,0,-5.73471,0.136163,0.471878,-0.198274,-8.16861,-0.18145,0.82879,0.46589,0,0,0,0,-3.05851,0.907752,1.57293,-0.660914,-4.35659,-1.20967,2.76263,1.55297,0,0,0,0,-0.321317,0.026664,0,2.15972e-05,-9.45048e-05,-1.1354e-08,9.69412e-05,-3.05851,0.907752,1.57293,-0.660914,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.192,-0.320991,0.0252626,5.12764e-09,-1.5708,-1.05301e-16,-0.0785401,0.336008,-1.44345,9.12409e-06,-5.09315e-15,-6.26166e-14,4.3873,0,0,0,0,0,0,-5.74322,0.135976,0.472732,-0.197794,-8.22619,-0.179075,0.818467,0.460318,0,0,0,0,-3.06305,0.906507,1.57577,-0.659313,-4.3873,-1.19383,2.72822,1.53439,0,0,0,0,-0.320982,0.0252233,0,8.98048e-06,-3.9374e-05,-5.12764e-09,4.03852e-05,-3.06305,0.906507,1.57577,-0.659313,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.193,-0.320668,0.0238721,1.0937e-08,-1.5708,6.12323e-17,-0.074308,0.337727,-1.44888,2.16621e-05,-4.96825e-15,-6.41709e-14,4.41544,0,0,0,0,0,0,-5.75116,0.135805,0.473514,-0.197354,-8.27894,-0.177203,0.810344,0.455937,0,0,0,0,-3.06728,0.905366,1.57838,-0.657846,-4.41544,-1.18136,2.70115,1.51979,0,0,0,0,-0.320646,0.0237769,0,2.17661e-05,-9.52507e-05,-1.0937e-08,9.7706e-05,-3.06728,0.905366,1.57838,-0.657846,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.194,-0.320317,0.0223646,4.93392e-09,-1.5708,-1.05301e-16,-0.0697069,0.338605,-1.4546,8.7688e-06,-4.10783e-15,-5.61773e-14,4.44566,0,0,0,0,0,0,-5.75979,0.135622,0.474349,-0.196884,-8.33561,-0.174748,0.799624,0.450129,0,0,0,0,-3.07189,0.904149,1.58116,-0.65628,-4.44566,-1.16499,2.66541,1.50043,0,0,0,0,-0.320308,0.0223249,0,9.04985e-06,-3.96814e-05,-4.93392e-09,4.07003e-05,-3.07189,0.904149,1.58116,-0.65628,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.195,-0.319991,0.0209634,1.05079e-08,-1.5708,5.72119e-18,-0.0654189,0.340288,-1.45985,2.07899e-05,-4.03844e-15,-5.90639e-14,4.4733,0,0,0,0,0,0,-5.76783,0.135455,0.475113,-0.196454,-8.38743,-0.172804,0.791144,0.445536,0,0,0,0,-3.07617,0.903036,1.58371,-0.654846,-4.4733,-1.15203,2.63715,1.48512,0,0,0,0,-0.319969,0.0208674,0,2.19311e-05,-9.59797e-05,-1.05079e-08,9.84535e-05,-3.07617,0.903036,1.58371,-0.654846,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.196,-0.319638,0.0194445,4.73285e-09,-1.5708,5.72119e-18,-0.060758,0.341121,-1.46541,8.40041e-06,-3.69149e-15,-5.79536e-14,4.50299,0,0,0,0,0,0,-5.77656,0.135278,0.475927,-0.195995,-8.44311,-0.170271,0.780036,0.439495,0,0,0,0,-3.08083,0.901851,1.58642,-0.653317,-4.50299,-1.13514,2.60012,1.46498,0,0,0,0,-0.319629,0.0194045,0,9.11708e-06,-3.99793e-05,-4.73285e-09,4.10057e-05,-3.08083,0.901851,1.58642,-0.653317,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.197,-0.31931,0.018033,1.00634e-08,-1.5708,-2.16323e-16,-0.0564151,0.342768,-1.47048,1.98876e-05,-3.67761e-15,-6.26166e-14,4.5301,0,0,0,0,0,0,-5.78471,0.135115,0.476673,-0.195575,-8.49394,-0.168256,0.771205,0.434693,0,0,0,0,-3.08518,0.900767,1.58891,-0.651917,-4.5301,-1.12171,2.57068,1.44898,0,0,0,0,-0.319288,0.0179363,0,2.20909e-05,-9.66854e-05,-1.00634e-08,9.9177e-05,-3.08518,0.900767,1.58891,-0.651917,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.198,-0.318954,0.0165032,4.52503e-09,-1.5708,-2.71835e-16,-0.0516955,0.343554,-1.47585,8.02034e-06,-3.17801e-15,-5.77316e-14,4.55922,0,0,0,0,0,0,-5.79356,0.134942,0.477466,-0.195128,-8.54854,-0.165647,0.759716,0.428423,0,0,0,0,-3.0899,0.899613,1.59155,-0.650426,-4.55922,-1.10431,2.53239,1.42808,0,0,0,0,-0.318945,0.0164629,0,9.18212e-06,-4.02675e-05,-4.52503e-09,4.13011e-05,-3.0899,0.899613,1.59155,-0.650426,0,0,0,0,0,-1.5708,0,nan,0,4.44089e-16,nan,4.44089e-16
0.199,-0.318623,0.0150818,9.60518e-09,-1.5708,5.72119e-18,-0.0472988,0.345164,-1.48074,1.89587e-05,-2.94209e-15,-5.88418e-14,4.58576,0,0,0,0,0,0,-5.8018,0.134784,0.478192,-0.194719,-8.59831,-0.163563,0.750543,0.423416,0,0,0,0,-3.09429,0.898559,1.59397,-0.649062,-4.58576,-1.09042,2.50181,1.41139,0,0,0,0,-0.318601,0.0149844,0,2.22453e-05,-9.73674e-05,-9.60518e-09,9.98763e-05,-3.09429,0.898559,1.59397,-0.649062,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.2,-0.318265,0.0135413,4.31131e-09,-1.5708,-3.82857e-16,-0.0425217,0.345903,-1.48594,7.63015e-06,-2.40086e-15,-5.26246e-14,4.61428,0,0,0,0,0,0,-5.81076,0.134616,0.478963,-0.194283,-8.65177,-0.16088,0.738681,0.41692,0,0,0,0,-3.09907,0.897438,1.59654,-0.64761,-4.61428,-1.07253,2.46227,1.38973,0,0,0,0,-0.318256,0.0135008,0,9.24495e-06,-4.05458e-05,-4.31131e-09,4.15864e-05,-3.09907,0.897438,1.59654,-0.64761,0,0,0,0,0,-1.5708,0,nan,0,4.44089e-16,nan,4.44089e-16
0.201,-0.317919,0.0120515,3.79342e-09,-1.5708,-1.60812e-16,-0.0378892,0.347035,-1.49085,7.17002e-06,-2.16493e-15,-5.28466e-14,4.64136,0,0,0,0,0,0,-5.81944,0.134456,0.479697,-0.193869,-8.70256,-0.158438,0.727867,0.410992,0,0,0,0,-3.1037,0.896373,1.59899,-0.64623,-4.64136,-1.05625,2.42622,1.36997,0,0,0,0,-0.31791,0.0120123,0,8.95195e-06,-3.92129e-05,-3.79342e-09,4.02217e-05,-3.1037,0.896373,1.59899,-0.64623,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.202,-0.317571,0.0105582,3.67696e-09,-1.5708,-1.05301e-16,-0.0332343,0.348157,-1.49567,6.97058e-06,-1.9984e-15,-5.52891e-14,4.6681,0,0,0,0,0,0,-5.82817,0.134299,0.480419,-0.193461,-8.75269,-0.155968,0.716912,0.404977,0,0,0,0,-3.10836,0.895326,1.6014,-0.644871,-4.6681,-1.03979,2.38971,1.34992,0,0,0,0,-0.317563,0.0105189,0,8.97291e-06,-3.93032e-05,-3.67696e-09,4.03144e-05,-3.10836,0.895326,1.6014,-0.644871,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.203,-0.317223,0.00906011,3.57654e-09,-1.5708,-1.05301e-16,-0.0285529,0.349257,-1.50039,6.77586e-06,-1.61676e-15,-5.12923e-14,4.6945,0,0,0,0,0,0,-5.83695,0.134144,0.481129,-0.19306,-8.80219,-0.153465,0.705788,0.398859,0,0,0,0,-3.11304,0.894296,1.60376,-0.643532,-4.6945,-1.0231,2.35263,1.32953,0,0,0,0,-0.317214,0.00902068,0,9.0011e-06,-3.94276e-05,-3.57654e-09,4.0442e-05,-3.11304,0.894296,1.60376,-0.643532,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.204,-0.316874,0.00755738,3.47592e-09,-1.5708,5.72119e-18,-0.0238453,0.350336,-1.50503,6.57988e-06,-1.42247e-15,-5.35127e-14,4.72056,0,0,0,0,0,0,-5.84578,0.133992,0.481829,-0.192664,-8.85105,-0.150929,0.694496,0.392638,0,0,0,0,-3.11775,0.893282,1.6061,-0.642214,-4.72056,-1.00619,2.31499,1.30879,0,0,0,0,-0.316865,0.00751783,0,9.02892e-06,-3.95506e-05,-3.47592e-09,4.05681e-05,-3.11775,0.893282,1.6061,-0.642214,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.205,-0.316523,0.00605006,3.37461e-09,-1.5708,-1.05301e-16,-0.0191118,0.351393,-1.50957,6.3827e-06,-1.09635e-15,-4.996e-14,4.74626,0,0,0,0,0,0,-5.85465,0.133843,0.482517,-0.192275,-8.89924,-0.14836,0.683038,0.386317,0,0,0,0,-3.12248,0.892285,1.60839,-0.640917,-4.74626,-0.989069,2.27679,1.28772,0,0,0,0,-0.316514,0.00601038,0,9.0562e-06,-3.96711e-05,-3.37461e-09,4.06917e-05,-3.12248,0.892285,1.60839,-0.640917,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.206,-0.316172,0.00453824,3.27273e-09,-1.5708,5.72119e-18,-0.0143527,0.352429,-1.51401,6.18456e-06,-9.02056e-16,-5.37348e-14,4.7716,0,0,0,0,0,0,-5.86357,0.133696,0.483194,-0.191892,-8.94676,-0.14576,0.671416,0.379897,0,0,0,0,-3.12724,0.891306,1.61065,-0.639641,-4.7716,-0.971733,2.23805,1.26632,0,0,0,0,-0.316162,0.00449845,0,9.08293e-06,-3.97892e-05,-3.27273e-09,4.08127e-05,-3.12724,0.891306,1.61065,-0.639641,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.207,-0.315819,0.00302202,3.17038e-09,-1.5708,-2.71835e-16,-0.00956855,0.353442,-1.51837,5.98566e-06,-5.93275e-16,-4.88498e-14,4.79657,0,0,0,0,0,0,-5.87255,0.133552,0.483859,-0.191516,-8.99357,-0.143128,0.659634,0.373378,0,0,0,0,-3.13202,0.890343,1.61286,-0.638387,-4.79657,-0.954189,2.19878,1.24459,0,0,0,0,-0.31581,0.00298212,0,9.10909e-06,-3.99048e-05,-3.17038e-09,4.09313e-05,-3.13202,0.890343,1.61286,-0.638387,0,0,0,0,0,-1.5708,0,nan,0,4.44089e-16,nan,4.44089e-16
0.208,-0.315465,0.00150149,3.06769e-09,-1.5708,-2.71835e-16,-0.00475958,0.354434,-1.52263,5.78626e-06,-3.5822e-16,-4.92939e-14,4.82115,0,0,0,0,0,0,-5.88156,0.13341,0.484512,-0.191146,-9.03966,-0.140466,0.647694,0.366762,0,0,0,0,-3.13683,0.889399,1.61504,-0.637154,-4.82115,-0.93644,2.15898,1.22254,0,0,0,0,-0.315456,0.00146148,0,9.1347e-06,-4.00179e-05,-3.06769e-09,4.10472e-05,-3.13683,0.889399,1.61504,-0.637154,0,0,0,0,0,-1.5708,0,nan,0,4.44089e-16,nan,4.44089e-16
0.209,-0.315111,-2.32476e-05,2.96476e-09,-1.5708,6.12323e-17,7.37761e-05,0.355404,-1.52679,5.58657e-06,-1.14885e-16,-4.50751e-14,4.84534,0,0,0,0,0,0,-5.89062,0.133271,0.485153,-0.190783,-9.08501,-0.137773,0.635597,0.36005,0,0,0,0,-3.14167,0.888472,1.61718,-0.635944,-4.84534,-0.91849,2.11866,1.20017,0,0,0,0,-0.315102,-6.33761e-05,0,9.15974e-06,-4.01285e-05,-2.96476e-09,4.11606e-05,-3.14167,0.888472,1.61718,-0.635944,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.21,-0.314755,-0.00155211,2.86172e-09,-1.5708,-1.60812e-16,0.00493112,0.356352,-1.53086,5.38684e-06,1.06685e-16,-4.4631e-14,4.86913,0,0,0,0,0,0,-5.89973,0.133135,0.485782,-0.190427,-9.12961,-0.135051,0.623348,0.353245,0,0,0,0,-3.14652,0.887564,1.61927,-0.634756,-4.86913,-0.900343,2.07783,1.17748,0,0,0,0,-0.314746,-0.00159235,0,9.18421e-06,-4.02366e-05,-2.86172e-09,4.12714e-05,-3.14652,0.887564,1.61927,-0.634756,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.211,-0.314399,-0.003085,2.7587e-09,-1.5708,6.12323e-17,0.00981205,0.357278,-1.53484,5.18731e-06,3.66027e-16,-4.79616e-14,4.8925,0,0,0,0,0,0,-5.90888,0.133001,0.486398,-0.190077,-9.17344,-0.1323,0.610948,0.346347,0,0,0,0,-3.1514,0.886673,1.62133,-0.633591,-4.8925,-0.882003,2.03649,1.15449,0,0,0,0,-0.314389,-0.00312534,0,9.20812e-06,-4.03421e-05,-2.7587e-09,4.13797e-05,-3.1514,0.886673,1.62133,-0.633591,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.212,-0.314041,-0.00462181,2.65582e-09,-1.5708,-1.05301e-16,0.0147161,0.358181,-1.53872,4.98822e-06,5.34295e-16,-4.35207e-14,4.91545,0,0,0,0,0,0,-5.91808,0.13287,0.487002,-0.189735,-9.21647,-0.129521,0.5984,0.339358,0,0,0,0,-3.15631,0.885802,1.62334,-0.63245,-4.91545,-0.863475,1.99467,1.13119,0,0,0,0,-0.314032,-0.00466226,0,9.23145e-06,-4.04451e-05,-2.65582e-09,4.14853e-05,-3.15631,0.885802,1.62334,-0.63245,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.213,-0.313683,-0.00616246,2.55319e-09,-1.5708,-4.979e-17,0.019643,0.359062,-1.5425,4.78981e-06,7.45931e-16,-4.28546e-14,4.93797,0,0,0,0,0,0,-5.92732,0.132742,0.487594,-0.189399,-9.25869,-0.126714,0.585708,0.332279,0,0,0,0,-3.16124,0.884948,1.62531,-0.631331,-4.93797,-0.844762,1.95236,1.1076,0,0,0,0,-0.313674,-0.00620301,0,9.25421e-06,-4.05456e-05,-2.55319e-09,4.15883e-05,-3.16124,0.884948,1.62531,-0.631331,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.214,-0.313324,-0.00770685,2.45096e-09,-1.5708,5.72119e-18,0.0245921,0.359921,-1.54619,4.59232e-06,9.81853e-16,-4.37428e-14,4.96005,0,0,0,0,0,0,-5.9366,0.132617,0.488173,-0.189071,-9.30008,-0.12388,0.572873,0.325113,0,0,0,0,-3.16618,0.884114,1.62724,-0.630237,-4.96005,-0.825869,1.90958,1.08371,0,0,0,0,-0.313315,-0.00774749,0,9.27639e-06,-4.06435e-05,-2.45096e-09,4.16887e-05,-3.16618,0.884114,1.62724,-0.630237,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.215,-0.312964,-0.00925487,2.34924e-09,-1.5708,6.12323e-17,0.0295631,0.360757,-1.54978,4.39602e-06,1.01308e-15,-3.70814e-14,4.98167,0,0,0,0,0,0,-5.94592,0.132495,0.488738,-0.18875,-9.34063,-0.12102,0.5599,0.31786,0,0,0,0,-3.17116,0.883298,1.62913,-0.629166,-4.98167,-0.806799,1.86633,1.05953,0,0,0,0,-0.312955,-0.00929561,0,9.29799e-06,-4.07389e-05,-2.34924e-09,4.17865e-05,-3.17116,0.883298,1.62913,-0.629166,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.216,-0.312603,-0.0108064,2.24815e-09,-1.5708,6.12323e-17,0.0345555,0.36157,-1.55327,4.20113e-06,1.3739e-15,-4.19664e-14,5.00284,0,0,0,0,0,0,-5.95528,0.132375,0.489291,-0.188436,-9.38032,-0.118134,0.54679,0.310523,0,0,0,0,-3.17615,0.882502,1.63097,-0.62812,-5.00284,-0.787557,1.82263,1.03508,0,0,0,0,-0.312594,-0.0108473,0,9.31902e-06,-4.08317e-05,-2.24815e-09,4.18816e-05,-3.17615,0.882502,1.63097,-0.62812,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.217,-0.312241,-0.0123615,2.14783e-09,-1.5708,1.16743e-16,0.0395688,0.362361,-1.55667,4.00791e-06,1.49186e-15,-3.90799e-14,5.02353,0,0,0,0,0,0,-5.96468,0.132259,0.489831,-0.188129,-9.41912,-0.115222,0.533548,0.303103,0,0,0,0,-3.18116,0.881725,1.63277,-0.627098,-5.02353,-0.768148,1.77849,1.01034,0,0,0,0,-0.312232,-0.0124024,0,9.33946e-06,-4.09219e-05,-2.14783e-09,4.19741e-05,-3.18116,0.881725,1.63277,-0.627098,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.218,-0.311879,-0.0139198,2.04841e-09,-1.5708,-1.05301e-16,0.0446026,0.363129,-1.55996,3.81661e-06,1.70003e-15,-3.9635e-14,5.04375,0,0,0,0,0,0,-5.97412,0.132145,0.490357,-0.18783,-9.45703,-0.112286,0.520175,0.295603,0,0,0,0,-3.1862,0.880968,1.63452,-0.626102,-5.04375,-0.748575,1.73392,0.985342,0,0,0,0,-0.31187,-0.0139608,0,9.35931e-06,-4.10095e-05,-2.04841e-09,4.20639e-05,-3.1862,0.880968,1.63452,-0.626102,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.219,-0.311516,-0.0154814,1.95001e-09,-1.5708,1.16743e-16,0.0496563,0.363874,-1.56316,3.62748e-06,1.8735e-15,-3.88578e-14,5.06348,0,0,0,0,0,0,-5.98359,0.132034,0.49087,-0.187539,-9.49402,-0.109327,0.506676,0.288023,0,0,0,0,-3.19125,0.88023,1.63623,-0.62513,-5.06348,-0.728844,1.68892,0.960076,0,0,0,0,-0.311506,-0.0155225,0,9.37858e-06,-4.10945e-05,-1.95001e-09,4.21511e-05,-3.19125,0.88023,1.63623,-0.62513,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.22,-0.311152,-0.0170462,1.85275e-09,-1.5708,-1.05301e-16,0.0547295,0.364597,-1.56627,3.44075e-06,1.85962e-15,-3.475e-14,5.08271,0,0,0,0,0,0,-5.9931,0.131927,0.491369,-0.187255,-9.53008,-0.106344,0.493054,0.280366,0,0,0,0,-3.19632,0.879512,1.6379,-0.624184,-5.08271,-0.708958,1.64351,0.934554,0,0,0,0,-0.311142,-0.0170874,0,9.39726e-06,-4.11769e-05,-1.85275e-09,4.22356e-05,-3.19632,0.879512,1.6379,-0.624184,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
0.221,-0.310787,-0.018614,1.75677e-09,-1.5708,-1.05301e-16,0.0598217,0.365296,-1.56927,3.25668e-06,2.14412e-15,-3.65263e-14,5.10143,0,0,0,0,0,0,-6.00265,0.131822,0.491855,-0.186979,-9.56519,-0.103338,0.479311,0.272634,0,0,0,0,-3.20141,0.878814,1.63952,-0.623263,-5.10143,-0.688922,1.5977,0.90878,0,0,0,0,-0.310778,-0.0186553,0,9.41535e-06,-4.12567e-05,-1.75677e-09,4.23174e-05,-3.20141,0.878814,1.63952,-0.623263,0,0,0,0,0,-1.5708,0,nan,0,0,nan,0
