residual_gain,residual_filter_tau,final_fade_duration,max_delta_force_per_step,mean_delta_ee_rms,mean_delta_final_ee,mean_delta_max_ee,mean_delta_rms_ee_error_velocity,mean_delta_rms_highfreq,mean_delta_p2p_error_norm,mean_delta_saturation_frac,mean_delta_limit_frac,mean_delta_reward,improvement_ratio,ncon_max,selection_score
0.5,0.03,0.0,none,-0.0001875071898595029,0.0003542644320645027,1.8833357167453295e-05,0.009499873260929066,0.00029435664725071734,3.6151896662686815e-05,0.012303548779359526,-0.0031538919597977676,6.862344326618283,0.7,0,0.0015515208230988484
0.5,0.03,0.0,0.2,-0.0005885853875907632,0.0014786139992277487,-0.00029507258832071046,-0.0021870223642478813,2.011577789174113e-05,-0.00027198530795835113,-0.003136608094087099,-0.0026594476943066696,21.458599394458968,0.7,0,0.000900086500582856
0.5,0.03,0.0,0.3,-0.00017806970024925243,0.0007662750825577249,0.0008871931827237251,0.009703507334501295,0.0003297529209167998,0.0009041347102664979,0.011087621152354402,-0.0021468771786132008,0.17011328934459016,0.6666666666666666,0,0.0020426709000556124
0.5,0.03,0.3,none,-0.00019343093126406667,-1.9795875276560197e-05,-1.0845043006135758e-07,0.00950190822347887,0.0002946379432010483,1.1512305620488389e-05,0.012303548779359526,-0.0031538919597977676,6.963296896696557,0.7,0,0.0011865453793965077
0.5,0.03,0.3,0.2,-0.0005942107460369399,0.001267405470208637,-0.0004819540532744833,-0.002193384037326583,1.9673889526808057e-05,-0.0004588667729121239,-0.003136608094087099,-0.002592781027640003,21.211572887337145,0.7,0,0.0006830316689351013
0.5,0.03,0.3,0.3,-0.00018398359945417456,0.0006360466092333462,0.0007079359824289782,0.00969454638444973,0.0003290666289088492,0.0007248775099717509,0.011087621152354402,-0.002080210511946534,-0.07293863446684554,0.6666666666666666,0,0.0018703339414633865
0.5,0.03,0.5,none,-0.0001962492333247073,-9.434724842365937e-06,-5.76958437757467e-05,0.009487365989778592,0.00029401647792618623,-4.607508772519695e-05,0.01223688211269286,-0.0031538919597977676,7.005727844603825,0.7,0,0.0011744472169076718
0.5,0.03,0.5,0.2,-0.0005975070603915243,0.0011778762677908275,-0.0005284986619280595,-0.0021901010868362564,1.954947783036519e-05,-0.0005054113815657001,-0.003203274760753766,-0.002592781027640003,21.254616075839536,0.7,0,0.0005901439463144858
0.5,0.03,0.5,0.3,-0.00018795204835465838,0.000648203303981371,0.00062764094607641,0.009700266495481617,0.00032934041990767283,0.0006445824736191827,0.011020954485687736,-0.002080210511946534,-0.026567575347144157,0.6666666666666666,0,0.0018559334088731592
0.5,0.03,0.8,none,-0.00018910886731948536,-2.2848830035372576e-05,-0.00011775390349747575,0.009483802329969008,0.0002941627816953406,-0.00010677903156171205,0.012170215446026193,-0.002820558626464435,5.267032512692579,0.7,0,0.0011749940681308043
0.5,0.03,0.8,0.2,-0.0006044974778896643,0.001173272396447576,-0.0005551323717892969,-0.002218212095764325,1.7342963589355582e-05,-0.000532471783146125,-0.0031656679231469253,-0.002187083021941998,17.891042861924507,0.7,0,0.0005774464003525895
0.5,0.03,0.8,0.3,-0.0001813536146867563,0.0005275026646840369,0.00058208950958444,0.009694527046929195,0.00032945861571635445,0.0006024633347156306,0.011220954485687737,-0.002080210511946534,-0.1136383057377922,0.6666666666666666,0,0.0017534664733673574
0.5,0.05,0.0,none,-0.0007283637545368896,0.0020630665018467258,-0.0012450103917345738,-0.011579725533062022,-0.00017322425012859119,-0.001214034389244499,-0.014758147310568157,-0.0023651459733728536,32.69850955593866,0.7,0,0.001334702747309836
0.5,0.05,0.0,0.2,-0.0006477258957997895,0.00251429379815762,-0.0006319310622769981,-0.0010800530101707617,1.693167278710757e-05,-0.0006229265119335984,-0.0013749342017357151,-0.002511814340936743,21.839774821981944,0.7666666666666667,0,0.0018750337387513846
0.5,0.05,0.0,0.3,-0.0009208144039940619,0.001068276152630846,-0.0015869514059319945,-0.012402667498522783,-0.00015667815175712845,-0.0015686022702080151,-0.014707236092190984,-0.002599360040503947,38.95868037888625,0.7,0,0.00014746174863678417
