step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
10,0.10999999999999999,sac,0.249800847985664,-0.20011949120860162,-0.10003983040286721,0.2497091286683366,-0.19970302550282512,-0.1000810272866621,0.0004284312085893441,0.00020279605522106783,-1.570803106772076,-1.57080311231441,-5.264885037714606e-06,-0.001666846803580535,0.00011690815855625372,0,0,0,0,0.1430361182694108,-6.958036735241784,-1.3939174937869536,0.04500576639143942,-0.1981280746492085,-0.24818242312455002,-0.12608621183649393,-0.011128042522315524,-0.00767456043351452
11,0.11999999999999998,sac,0.249743044354048,-0.20015417338757122,-0.10005139112919041,0.2496233173738985,-0.19970121073147787,-0.10010289022105018,0.00047134050754549044,0.0005290639787234464,-1.570803106772076,-1.5708031127314346,-5.264885037714606e-06,-0.0018503260490700946,0.00010871444663775666,0,0,0,0,0.12032369722787942,-6.969641055873373,-1.412431101568827,0.05451191557750391,-0.18923824607137793,-0.26982554439725054,-0.12185275766131677,-0.010019894638625064,-0.006318270355227126
12,0.12999999999999998,sac,0.249675328253952,-0.20019480304762882,-0.1000649343492096,0.2495172612992585,-0.19970788800386963,-0.1001194354034303,0.0005148220924904681,0.0006346115140692677,-1.570803106772076,-1.5708031128702966,-5.264885037714606e-06,-0.0020834804832270404,0.0001050392212941691,0,0,0,0,0.13598794074423612,-6.963274212158899,-1.4166556020733103,0.05862754139192421,-0.20134253945362718,-0.2879232954786252,-0.09123588481729872,-0.00987626976349649,-0.004563828590730659
13,0.13999999999999999,sac,0.249597013262336,-0.2002417920425984,-0.1000805973475328,0.24940071286310084,-0.19973526299088132,-0.10013943273279696,0.0005464129661093965,0.0006373810663857424,-1.570803106772076,-1.5708031128252482,-5.264885037714606e-06,-0.002267338788208617,9.635686824122773e-05,0,0,0,0,0.13791857312522537,-6.993112540205474,-1.4348547839112515,0.06559938450408817,-0.22379543403263372,-0.293569560397834,-0.04144730495010811,-0.010754129763283962,-0.0030401594800357375
14,0.15,sac,0.2495074336,-0.20029553984,-0.10009851328000001,0.24928806990838784,-0.19978878639351827,-0.10016577747104774,0.0005562768700172064,0.0011012749836953532,-1.570803106772076,-1.5708031126075401,-5.264885037714606e-06,-0.0023363198474330993,7.635323331962125e-05,0,0,0,0,0.15161006325171658,-6.9637283972727,-1.4082738804330526,0.054651297505791764,-0.24816950272280933,-0.3044505935531958,-0.039431809730794486,-0.010849574406609209,-0.0010264027394126874
15,0.16,sac,0.249405943947264,-0.2003564336316416,-0.1001188112105472,0.24917855446977538,-0.19987328133737467,-0.10020033743173656,0.0005401746371955698,0.0005713249957189806,-1.570803106772076,-1.5708031122261876,-5.264885037714606e-06,-0.002265926064795032,5.077700417218258e-05,0,0,0,0,0.17393617888790794,-6.971080830265751,-1.4251357175764137,0.06505997996243727,-0.27105763004532624,-0.31758458371125775,-0.07022012579162537,-0.011469390173444215,0.001424037684336031
16,0.17,sac,0.249291919259648,-0.2004248484442112,-0.1001416161480704,0.24907928473192253,-0.19999020042997456,-0.10024416576471898,0.0004946198161574836,0.000623417744797037,-1.570803106772076,-1.5708031118077277,-5.264885037714606e-06,-0.0020060477896655105,3.9958426121834e-05,0,0,0,0,0.1412627687631883,-6.993777168031669,-1.41633656313903,0.055823827538408706,-0.2638430769638893,-0.30183854804046995,-0.09313570323060119,-0.010986520541998534,0.003589579612035592
17,0.18000000000000002,sac,0.249164754583552,-0.2005011472498688,-0.1001670490832896,0.24898786810007925,-0.20013739183326004,-0.10029165384466637,0.0004232412759943613,0.00046926903700756186,-1.570803106772076,-1.5708031113048464,-5.264885037714606e-06,-0.0015751605722671425,7.071273231592964e-05,0,0,0,0,0.13949279164742368,-6.96425495055615,-1.4128871862698473,0.05900877207113529,-0.2629206136484409,-0.3041812685351523,-0.1389272250814636,-0.010818749678247783,0.004346181768304947
18,0.19000000000000003,sac,0.249023864871936,-0.2005856810768384,-0.1001952270256128,0.24887903029701908,-0.20030398779180308,-0.10033780643452933,0.0003473572350942893,0.0011034612967763511,-1.570803106772076,-1.5708031103145632,-5.264885037714606e-06,-0.0011717657195831066,0.00010542612068283307,0,0,0,0,0.15674167157467292,-6.900804369418749,-1.3640454368299415,0.04066717864270487,-0.2762278484174235,-0.319907953507764,-0.1962250313040232,-0.010387258207186978,0.003996671523758392
19,0.20000000000000004,sac,0.2488686848,-0.20067878912,-0.10022626304,0.2487341963871881,-0.2004716993991066,-0.10037531132522748,0.0002884244736661847,0.0008425799936411408,-1.570803106772076,-1.570803108443893,-5.264885037714606e-06,-0.0010132053337332803,0.00011932689469413474,0,0,0,0,0.19802327729832214,-6.885283155105435,-1.362868655622249,0.04181185520483045,-0.2829204281740456,-0.3511136350972144,-0.2604426828920224,-0.009435767652357634,0.002921825320067126
20,0.21000000000000005,sac,0.248698668580864,-0.20078079885148162,-0.10026026628382721,0.24855827104045114,-0.20064947887167212,-0.10040618533749404,0.0002413478333736888,0.0009280564131915672,-1.570803106772076,-1.5708031055862035,-5.264885037714606e-06,-0.0010596175323429602,0.0001275647398806315,0,0,0,0,0.1938303189158584,-6.870441434478525,-1.3344304973338947,0.02481135288196693,-0.3146354630350574,-0.38116493250941985,-0.3200726400550725,-0.009499677822848954,0.0014969654584482486
21,0.22000000000000006,sac,0.248513289781248,-0.2008920261312512,-0.1002973420437504,0.24836017984058945,-0.2008472783335506,-0.10043834616934438,0.0002129018148397202,0.0009870650977187516,-1.570803106772076,-1.570803102068446,-5.264885037714606e-06,-0.0011787953887765212,0.00014158643356786832,0,0,0,0,0.21159147011019672,-6.878987211923237,-1.353330006440126,0.03548748469698003,-0.3639155211854648,-0.41146637260506796,-0.37445539734596606,-0.00996676879890148,0.0012664591810314769
22,0.23000000000000007,sac,0.248312041137152,-0.2010127753177088,-0.10033759177256961,0.24813965356458914,-0.20106270153645708,-0.1004739426790359,0.0002253922629257522,0.0008197838376290927,-1.570803106772076,-1.5708030982481223,-5.264885037714606e-06,-0.001316691813231019,0.00015762267477814414,0,0,0,0,0.2284489871968495,-6.860690709906596,-1.3353065827810915,0.029089228373287722,-0.39557448706427606,-0.4324320012691728,-0.37740741906993047,-0.01070592492445616,0.00015123627962987428
23,0.24000000000000007,sac,0.248094434369536,-0.2011433393782784,-0.10038111312609281,0.24789719090303183,-0.20129810209637589,-0.1005159497420223,0.00028467068164250687,0.0008984151898488604,-1.570803106772076,-1.5708030942390159,-5.264885037714606e-06,-0.001440009620469196,0.00017609570225871234,0,0,0,0,0.21587140911291247,-6.834256707680826,-1.3461046885942545,0.04174156494469798,-0.3883437434596903,-0.44555530481670386,-0.3618422530629238,-0.01040521939959426,-0.001192917395165739
24,0.25000000000000006,sac,0.24786,-0.20128400000000002,-0.100428,0.247624056076342,-0.20154672182191033,-0.1005654123756102,0.0003789121953564488,0.00017904272295474893,-1.570803106772076,-1.5708030900096148,-5.264885037714606e-06,-0.0016165937496777083,0.00019257674603808146,0,0,0,0,0.21848421251051658,-6.862177041626471,-1.3442194067474227,0.03544030615189467,-0.3946648840999508,-0.434045449499893,-0.37547712160214236,-0.010548589313685495,-0.0013448799355964746
25,0.26000000000000006,sac,0.247608287166464,-0.20143502770012162,-0.10047834256670721,0.24731550906574418,-0.2018069161362046,-0.10062679965851806,0.0004960438823957925,0.0006794193429518093,-1.570803106772076,-1.5708030855832527,-5.264885037714606e-06,-0.001869502638746523,0.00020856768541807635,0,0,0,0,0.17375545520827576,-6.83051455029818,-1.3273688243596267,0.03176300277938447,-0.375445425707396,-0.42611995800262326,-0.3608622641415313,-0.00970827125678723,-0.0017630107246119973
