step,time,policy,x_des,y_des,z_des,x_act,y_act,z_act,ee_err_norm_true,ee_err_norm_measured,roll_des,roll_act,pitch_des,pitch_act,ee_hf_norm,saturation_step,joint_limit_flag,actuator_limit_flag,ncon,tau_j1,tau_j2,tau_j3,tau_j4,W_Fx,W_Fy,W_Fz,W_Mroll,W_Mpitch
10,0.10999999999999999,zero,0.249800847985664,-0.20011949120860162,-0.10003983040286721,0.24987295224777842,-0.19968855698145718,-0.10003134460625443,0.00043700725564204583,0.0002271959894689319,-1.570803106772076,-1.5708031118852974,-5.264885037714606e-06,-0.0013319864063408016,0.00012920004681495786,0,0,0,0,0.045431708355355344,-6.99018897845023,-1.399372680571956,0.04180762003291394,0.0,0.0,0.0,0.0,0.0
11,0.11999999999999998,zero,0.249743044354048,-0.20015417338757122,-0.10005139112919041,0.2498538468932923,-0.19965211906114066,-0.10004159071667348,0.0005142293238197495,0.0005680255889116672,-1.570803106772076,-1.5708031127299185,-5.264885037714606e-06,-0.0014376453744826545,0.00013803028148168188,0,0,0,0,0.022733204397365314,-6.991057774087656,-1.4069007983762927,0.046202776816806145,0.0,0.0,0.0,0.0,0.0
12,0.12999999999999998,zero,0.249675328253952,-0.20019480304762882,-0.1000649343492096,0.24982396436255727,-0.1996132006820976,-0.1000470531573926,0.0006005611887173845,0.0006382123914659442,-1.570803106772076,-1.5708031134851876,-5.264885037714606e-06,-0.0015948650108983387,0.00015013344514306447,0,0,0,0,0.035966606658979994,-6.971383600193448,-1.4047177461426057,0.048581978754827976,0.0,0.0,0.0,0.0,0.0
13,0.13999999999999999,zero,0.249597013262336,-0.2002417920425984,-0.1000805973475328,0.2497910008566919,-0.19958230020123843,-0.10005642515588864,0.0006878553412115308,0.0008150456769297096,-1.570803106772076,-1.5708031142757344,-5.264885037714606e-06,-0.0017137445762078762,0.0001594378220559537,0,0,0,0,0.03732677562117319,-6.986900965552618,-1.4208185783498006,0.05670779019038737,0.0,0.0,0.0,0.0,0.0
14,0.15,zero,0.2495074336,-0.20029553984,-0.10009851328000001,0.24976761246222154,-0.1995634099496653,-0.10007312519160508,0.0007774006506948499,0.001280986067337897,-1.570803106772076,-1.5708031151407131,-5.264885037714606e-06,-0.0017369757834591049,0.00016941426629502195,0,0,0,0,0.04932920308725935,-6.958285446238398,-1.3965477378500495,0.04672112793569227,0.0,0.0,0.0,0.0,0.0
15,0.16,zero,0.249405943947264,-0.2003564336316416,-0.1001188112105472,0.2497503644065416,-0.19955912189085614,-0.10009771110639332,0.0008687788436412524,0.0007649681337101137,-1.570803106772076,-1.5708031160864393,-5.264885037714606e-06,-0.0016582008559844486,0.00018057051677473042,0,0,0,0,0.0703654644712911,-6.9763212515226165,-1.4181739682288255,0.05765447425332051,0.0,0.0,0.0,0.0,0.0
16,0.17,zero,0.249291919259648,-0.2004248484442112,-0.1001416161480704,0.24974596647976194,-0.19957213039574495,-0.10013109380457161,0.000966125078851601,0.0008664579213916669,-1.570803106772076,-1.5708031172334684,-5.264885037714606e-06,-0.0014223159820163644,0.00019775736908800954,0,0,0,0,0.05041634356421711,-7.006433772249922,-1.4124324148805951,0.04862189818196113,0.0,0.0,0.0,0.0,0.0
17,0.18000000000000002,zero,0.249164754583552,-0.2005011472498688,-0.1001670490832896,0.24975159579855333,-0.19960200800804442,-0.10016731488016303,0.0010737011029428745,0.001128467754321588,-1.570803106772076,-1.5708031185087925,-5.264885037714606e-06,-0.0010436639255231306,0.00022147689607431955,0,0,0,0,0.056280022195553864,-6.990252235697898,-1.4126630830858347,0.05140971328352946,0.0,0.0,0.0,0.0,0.0
18,0.19000000000000003,zero,0.249023864871936,-0.2005856810768384,-0.1001952270256128,0.24974212403168902,-0.19963905819564737,-0.10020059413639182,0.0011882844380204838,0.0018744706832009603,-1.570803106772076,-1.5708031194851524,-5.264885037714606e-06,-0.0007176174873024799,0.0002391461996046001,0,0,0,0,0.07537946472723107,-6.945255326055634,-1.3704126171529813,0.03359894630869827,0.0,0.0,0.0,0.0,0.0
19,0.20000000000000004,zero,0.2488686848,-0.20067878912,-0.10022626304,0.24969954276329048,-0.19966585197397063,-0.10022241655368258,0.0013101074049200513,0.0017746836217480278,-1.570803106772076,-1.5708031197441763,-5.264885037714606e-06,-0.0006586448961016789,0.00024586032389142386,0,0,0,0,0.11645989024354261,-6.94586807498578,-1.3711239049823207,0.032863401168616455,0.0,0.0,0.0,0.0,0.0
