mode_label,orientation_soft_mode,sac_corr_ee_norm_abs_pitch_err,sac_corr_ee_norm_abs_roll_err,sac_corr_hf_norm_abs_pitch_err,sac_corr_hf_norm_abs_roll_err,sac_final_ee_error,sac_limit_violation_fraction,sac_max_abs_pitch_error,sac_max_abs_roll_error,sac_max_ee_error,sac_max_residual_force,sac_max_residual_force_norm,sac_max_residual_tau,sac_max_residual_torque_norm,sac_max_tau_total_rate,sac_mean_residual_force_norm,sac_mean_residual_torque_norm,sac_mean_reward,sac_ncon_max,sac_p2p_error_norm,sac_p2p_error_x,sac_p2p_error_y,sac_p2p_error_z,sac_rms_ee_error,sac_rms_ee_error_acceleration,sac_rms_ee_error_highfreq,sac_rms_ee_error_velocity,sac_rms_pitch_error,sac_rms_residual_force,sac_rms_residual_force_jerk,sac_rms_residual_force_rate,sac_rms_residual_tau,sac_rms_residual_tau_rate,sac_rms_roll_error,sac_rms_tau_total_rate,sac_saturation_fraction,sac_smooth_tracking_score,sac_tv_ee_error,sac_tv_ee_error_norm,seed,vsd_corr_ee_norm_abs_pitch_err,vsd_corr_ee_norm_abs_roll_err,vsd_corr_hf_norm_abs_pitch_err,vsd_corr_hf_norm_abs_roll_err,vsd_final_ee_error,vsd_limit_violation_fraction,vsd_max_abs_pitch_error,vsd_max_abs_roll_error,vsd_max_ee_error,vsd_max_residual_force,vsd_max_residual_force_norm,vsd_max_residual_tau,vsd_max_residual_torque_norm,vsd_max_tau_total_rate,vsd_mean_residual_force_norm,vsd_mean_residual_torque_norm,vsd_mean_reward,vsd_ncon_max,vsd_p2p_error_norm,vsd_p2p_error_x,vsd_p2p_error_y,vsd_p2p_error_z,vsd_rms_ee_error,vsd_rms_ee_error_acceleration,vsd_rms_ee_error_highfreq,vsd_rms_ee_error_velocity,vsd_rms_pitch_error,vsd_rms_residual_force,vsd_rms_residual_force_jerk,vsd_rms_residual_force_rate,vsd_rms_residual_tau,vsd_rms_residual_tau_rate,vsd_rms_roll_error,vsd_rms_tau_total_rate,vsd_saturation_fraction,vsd_smooth_tracking_score,vsd_tv_ee_error,vsd_tv_ee_error_norm
A_xyz_only,none,0.21559548871997533,-0.3752505579311331,0.6698297544264976,-0.24060941015499446,0.041826529852910764,0.028,0.2649057527579366,7.338456472716359e-06,0.048514110602898015,4.633087805964393,4.633087805964393,1.877629801501737,1.877629801501737,6749.524997071222,2.61769807784006,0.8951268705472428,-0.681292105808905,0,0.04808247202517323,0.06476050514181583,0.055099367824008955,0.02060116270544196,0.029991188159263833,51.84398456883939,0.01089213484408224,0.7629959205606277,0.12514838323767913,2.8159971079393555,105683.33006913579,696.8524268791838,1.0230420551550485,3.8701939928838254,4.000806427698217e-06,3355.5687850645672,0.85,3.4448408768751997,3.51512426264476,2.926313270744147,10000,0.3591572736823516,-0.5494248088731699,0.6739199457152852,-0.23941368659215798,0.04097593793929768,0.032,0.2642849369725062,7.393776827235854e-06,0.05716414598749677,0.0,0.0,0.0,0.0,6813.454312039658,0.0,0.0,-0.7581121042800077,0,0.05673279992872155,0.06708723406197994,0.06038869631435334,0.022482071484366206,0.036077584480052854,51.71213188673251,0.010892630071598308,0.761486027828483,0.12487824716810637,0.0,0.0,0.0,0.0,0.0,4.040606285018789e-06,3361.2535362006497,0.846,3.4561112436432073,3.5033389200611302,2.888024564136825
A_xyz_only,none,0.7900344408777206,-0.3053029181478728,0.19075394339528276,-0.16551063445262135,0.007336374602436316,0.0,0.39450373484659895,7.337833323184384e-06,0.048199591851158054,6.179189802066911,6.179189802066911,2.8046739235162153,2.8046739235162153,6800.284890586084,3.656744292056251,1.1581493820745499,-0.4049293017881646,0,0.047735074211195654,0.056879423117619676,0.06976905793796837,0.03373652886928788,0.02473857273862582,86.16301646014277,0.016445782704299954,1.2242165230603408,0.17734602558741025,3.976787144141257,95613.13897481763,624.6216027861759,1.4036750902430069,4.659485995741704,3.891967379762948e-06,3159.2531766356633,0.822,3.2491996784826105,5.387458514884173,3.4400779685114804,10001,0.4417746820492439,-0.16742024283736356,0.21649351226838465,-0.17155185006692844,0.013022374520504842,0.0,0.33462972430127147,7.3603318484494196e-06,0.05126249751644707,0.0,0.0,0.0,0.0,6855.759308368145,0.0,0.0,-0.3722213899835842,0,0.05079811419514348,0.06038530502776093,0.05915224584794204,0.02737185087290911,0.021881869285476602,86.19016128974928,0.01633516164209105,1.2244878828793195,0.16513234651113026,0.0,0.0,0.0,0.0,0.0,3.953293944225863e-06,3146.207953048274,0.812,3.236152106970811,5.3873483036646475,3.817060420249834
A_xyz_only,none,0.5641917290935647,-0.20387138193784432,0.2979152216208142,-0.1775617663159259,0.03545990428218736,0.02,0.4104651902778014,7.485654109906648e-06,0.05343449865947931,6.017384459457698,6.017384459457698,2.686958073267402,2.686958073267402,7835.75104151674,3.814125624520449,1.282461312721457,-0.6720457924618968,0,0.05297498306468528,0.06823174027785159,0.06585156917030816,0.035768051630518105,0.020457798929503355,60.85810154713925,0.014544071264237561,0.9093986246559475,0.18590155633799127,4.094769717566031,87718.08195032651,588.472629679687,1.4803361839147102,6.426306243485387,3.949189968170742e-06,3147.7401768445875,0.75,3.231688740573267,4.014129896802169,2.862126987117714,10002,0.36235113682460135,-0.09933587338816281,0.3675624872338669,-0.21408559214579814,0.015460534654766633,0.014,0.37703468092799364,7.535445414319497e-06,0.0611592557951233,0.0,0.0,0.0,0.0,8197.546057350011,0.0,0.0,-0.6240316183664473,0,0.06069990709860033,0.06705725791908485,0.06092371297595656,0.022021696539795604,0.019581793296320652,63.06698074302469,0.015038925510331102,0.9428115942719526,0.1873270264745634,0.0,0.0,0.0,0.0,0.0,4.025902800641305e-06,3400.547108110519,0.832,3.475300526958027,4.188069163756155,3.26092842453895
A_xyz_only,none,0.725156460584415,-0.30767247900737305,0.3121825029141767,-0.2517881619130717,0.015022207546133877,0.0,0.3565044621766673,7.12439319272562e-06,0.03835406556291676,5.724073245772273,5.724073245772273,2.3053192949746495,2.3053192949746495,7633.667697342155,3.94718165356816,1.0762930847574483,-0.3635573340658957,0,0.03791316082445468,0.04358472046205547,0.05035934552963589,0.02493413126757102,0.016243565469210353,59.12605450138273,0.011117788745142331,0.824533231866776,0.16313610029674075,4.179719011729492,91110.83378653372,611.3689173812696,1.2810383384170863,5.465652968197192,3.926934135644377e-06,3267.563174635502,0.774,3.332766861246021,3.5845077558954586,2.4441491921662784,10003,0.13331795562340384,-0.30493977683114215,0.33904615558874546,-0.2559881590740454,0.01196790462360927,0.0,0.3146232446070383,7.0709606228014366e-06,0.030404047284170586,0.0,0.0,0.0,0.0,7585.515465317751,0.0,0.0,-0.34007292283924473,0,0.029963379263218366,0.0357960416002876,0.04355310728621381,0.015933887980218026,0.015259780256351385,59.17416594444468,0.010974118318583736,0.8249541994915851,0.1520514886199926,0.0,0.0,0.0,0.0,0.0,3.949401938399829e-06,3278.602218661028,0.778,3.3413131435701353,3.5908398054071347,2.6379674505589534
A_xyz_only,none,0.5821905721108805,-0.303642266725818,0.4199349067336357,-0.14432198595110404,0.00983279050037672,0.0,0.3592104235204481,7.270715732143884e-06,0.02746999815632048,5.44579230069013,5.44579230069013,2.3891551131442537,2.3891551131442537,7265.020939918316,2.9560895652268453,1.0434006875530004,-0.3551761343449398,0,0.027009806736284055,0.03322148196275038,0.04079130410560444,0.027260271386766566,0.014026085685849439,49.91931636779163,0.009072936980664095,0.6887191683249186,0.1636439031538335,3.266429370284161,102160.66050311521,672.1899176022317,1.2109730064136388,6.009479413927246,3.957119914621324e-06,3332.490736764954,0.8,3.386050634856851,3.151286638259373,1.9954260743717158,10004,-0.15605819096119938,-0.10745730445540382,0.5399502545046619,-0.1509826031349308,0.008246993011236456,0.0,0.31905473805559303,7.353746407368078e-06,0.032685023420103425,0.0,0.0,0.0,0.0,7297.5587642755045,0.0,0.0,-0.3402895503163454,0,0.032225025014958594,0.040009120345282506,0.03244647680408547,0.0174518206975863,0.013630987630119723,49.92881522052116,0.00904623994572339,0.6888036445998835,0.15041383325181204,0.0,0.0,0.0,0.0,0.0,3.9802549315148376e-06,3332.665227731798,0.802,3.385040818896445,3.1475386629498248,2.28663480613843
B_xyz_plus_roll_soft,xyz_plus_roll_soft,0.21559548442707432,-0.3752505550484515,0.6698297564388977,-0.24060940985868484,0.04182653009556023,0.028,0.26490575319850773,7.338456472716359e-06,0.04851411109987855,4.633087805964393,4.633087805964393,1.8776298849860018,1.8776298849860018,6749.525005787028,2.6176981006674005,0.8951268817069477,-0.6812921053618702,0,0.048082472522153766,0.06476050519866985,0.05509936767600679,0.020601162705209702,0.02999118805283504,51.84398457992184,0.010892134849989035,0.7629959207886682,0.12514838316089558,2.8159971335988994,105683.33019426232,696.8524271039819,1.023042069674688,3.8701940050566703,4.0008064282048624e-06,3355.568785391534,0.85,3.444840877228583,3.5151242638257907,2.926313271630404,10000,0.3591572736734512,-0.5494248088665147,0.6739199457206105,-0.23941368660674014,0.04097593793803756,0.032,0.26428493696289035,7.393776827235854e-06,0.05716414598675667,0.0,0.0,0.0,0.0,6813.4543120523485,0.0,0.0,-0.7581121042800077,0,0.05673279992798145,0.06708723406138262,0.060388696313837975,0.02248207148398365,0.036077584479566924,51.7121318867189,0.010892630071603081,0.7614860278284472,0.12487824716774282,0.0,0.0,0.0,0.0,0.0,4.040606285011017e-06,3361.2535362010412,0.846,3.4561112436424817,3.5033389200604175,2.88802456414429
B_xyz_plus_roll_soft,xyz_plus_roll_soft,0.7905278936656028,-0.3031477731812095,0.1913358779231474,-0.16456296625352745,0.009163384946392798,0.0,0.3945038296107306,7.337833322740295e-06,0.048199568845057376,6.179190128653228,6.179190128653228,2.8046740740719986,2.8046740740719986,6813.427556886718,3.656218793870469,1.158576553903161,-0.4054749177890553,0,0.047735051205094976,0.0578022495894,0.0697690263233558,0.03373653533022747,0.0247610433523954,86.19051519944166,0.0164686489645752,1.2246307304544364,0.17750647500733271,3.9765151513657973,95630.80249424562,624.5798402047205,1.4037545900626653,4.658117256164277,3.892694432213976e-06,3159.5997881086673,0.822,3.2505034334362723,5.388614748098531,3.442334644501589,10001,0.4418927915828757,-0.1670573782610231,0.21684314997773502,-0.1713166688191859,0.011550636281961705,0.0,0.33462972743166564,7.3603318484494196e-06,0.051262497517067754,0.0,0.0,0.0,0.0,6862.72873420749,0.0,0.0,-0.3725616557791727,0,0.05079811419576417,0.059899092656210934,0.059152273312516435,0.02737185087351751,0.021886612966782203,86.1902397037038,0.016340743744103034,1.2244575426660531,0.1651733298313679,0.0,0.0,0.0,0.0,0.0,3.9537831994954295e-06,3146.034558611081,0.814,3.235246181727029,5.387149824662757,3.8186581696539132
B_xyz_plus_roll_soft,xyz_plus_roll_soft,0.5648145956182754,-0.207649717612423,0.2986423646265579,-0.17763760205656734,0.03472644749843578,0.018,0.41046527939872623,7.485654109906648e-06,0.053434498659781636,6.017378589097245,6.017378589097245,2.686957839714421,2.686957839714421,7835.75107696421,3.8137515236783304,1.2826376258784045,-0.6518142829849967,0,0.05297498306498761,0.06683124075947633,0.0658517254528318,0.03576805669587793,0.020414953469865917,60.85459305017777,0.014541898977265481,0.9093875192859768,0.18587613820468732,4.094438693903909,87659.21900365877,588.2177418037112,1.4803827042360063,6.426257754001286,3.9497342312166785e-06,3148.634934455402,0.748,3.23217332561833,4.014495898677694,2.861490251849072,10002,0.36235132412366927,-0.09933577418107703,0.36756244536711247,-0.21408559333181262,0.015460534112408914,0.014,0.37703474126368297,7.535445414319497e-06,0.061159255795101675,0.0,0.0,0.0,0.0,8197.546020603135,0.0,0.0,-0.624031614283529,0,0.0606999070985787,0.06705725734342644,0.06092371509110231,0.02202170120879801,0.019581792255879825,63.06698079999727,0.015038925522101287,0.9428115948086552,0.18732703688280564,0.0,0.0,0.0,0.0,0.0,4.025902799943581e-06,3400.5471118396185,0.832,3.4753005294025776,4.188069166268232,3.2609281620181463
B_xyz_plus_roll_soft,xyz_plus_roll_soft,0.7251467717648569,-0.30767415500661227,0.31220537856473923,-0.2517850267672605,0.01504424960582381,0.0,0.35650448295601844,7.1243931918374415e-06,0.038354065565338234,5.724073134558961,5.724073134558961,2.305319192983689,2.305319192983689,7633.667697351171,3.947172458610921,1.076298747994414,-0.363557025522452,0,0.03791316082687615,0.04360590409848772,0.05035934844790432,0.024934130228328355,0.01624358467135633,59.126101603563306,0.01111789088794146,0.8245313154664606,0.16313602248757078,4.179712713270757,91111.68205952576,611.371068708894,1.281040118994211,5.4656759412497395,3.926931108629877e-06,3267.567182686132,0.774,3.332781815751482,3.5845123242028505,2.444086669265675,10003,0.13331559259214062,-0.30494313811936924,0.3390448716143716,-0.2559893638709256,0.011969904813813019,0.0,0.31462324365301697,7.070960622357347e-06,0.03040405063397367,0.0,0.0,0.0,0.0,7585.5062409234015,0.0,0.0,-0.3400726462140883,0,0.02996338261302145,0.03579647605482711,0.04355311047511912,0.01593388798012621,0.015259756989349251,59.1741705993106,0.010974104225512638,0.8249540614419371,0.15205138734249182,0.0,0.0,0.0,0.0,0.0,3.94940158748273e-06,3278.6031186322894,0.778,3.3413150131851523,3.590839254827879,2.637963613878245
B_xyz_plus_roll_soft,xyz_plus_roll_soft,0.5821907120813622,-0.303642501213394,0.4199349842289969,-0.14432190864312813,0.009832888235265798,0.0,0.35921042832922456,7.270715732143884e-06,0.027469998297031707,5.445792270483831,5.445792270483831,2.389155080246345,2.389155080246345,7265.020939883367,2.956089655269604,1.0434007270125514,-0.35517614645958384,0,0.027009806876995283,0.033221346406557994,0.040791304768514336,0.02726027122354474,0.014026084823346373,49.91931715100404,0.009072938025817273,0.6887191842476106,0.16364390599321252,3.2664294325885432,102160.64312001113,672.1898262909585,1.2109730211051386,6.009479317339955,3.95711993053121e-06,3332.490802777117,0.8,3.3860507496909933,3.1512867071400246,1.995425757217827,10004,-0.1560581427616444,-0.10745712010518253,0.5399502087034916,-0.15098265926166923,0.008247030296608174,0.0,0.319054737343448,7.353746407368078e-06,0.03268502341962307,0.0,0.0,0.0,0.0,7297.556682576165,0.0,0.0,-0.34028954592050287,0,0.03222502501447824,0.04000920637345276,0.03244648080746032,0.01745182069122267,0.01363098926288664,49.92881234052773,0.009046239034556775,0.6888036102868343,0.15041383253938806,0.0,0.0,0.0,0.0,0.0,3.980254939189148e-06,3332.6651260337662,0.802,3.38504073573999,3.147538500376597,2.2866342886149438
