episode,seed,zero_rms_ee,sac_rms_ee,delta_rms_ee,zero_final_ee,sac_final_ee,delta_final_ee,zero_rms_hf,sac_rms_hf,delta_rms_hf,zero_smooth,sac_smooth,delta_smooth,zero_saturation,sac_saturation,zero_limit,sac_limit,zero_ncon,sac_ncon
10,10010,0.007011029730625646,0.003929459000682821,-0.0030815707299428254,0.0012645199424186865,0.0005080007399304746,-0.0007565192024882118,0.0006407119926139983,0.0005447515799656924,-9.59604126483059e-05,0.015625917327586974,0.011203690614174446,-0.004422226713412528,0.0,0.0,0.0,0.0,0.0,0.0
11,10011,0.006886278151761151,0.0038316029712733173,-0.003054675180487834,0.0013246710651308013,0.00038928678372737073,-0.0009353842814034305,0.0006447009846749588,0.0005718053828791178,-7.289560179584093e-05,0.01549411950259234,0.010953828236830106,-0.0045402912657622335,0.0,0.0,0.0,0.0,0.0,0.0
12,10012,0.00646165844835551,0.0034248433205845614,-0.0030368151277709488,0.0011727386771338837,0.0006854028399949632,-0.00048733583713892045,0.0006242114284185628,0.0005103905274211696,-0.00011382090099739328,0.01454988288844537,0.010327705470750296,-0.0042221774176950735,0.0,0.0,0.0,0.0,0.0,0.0
13,10013,0.006328336981780394,0.003246433648577265,-0.003081903333203129,0.0012161809268863117,0.00040742834550125086,-0.0008087525813850608,0.0006046912111052159,0.000527232984952638,-7.745822615257787e-05,0.014432161635525416,0.009780726692314223,-0.004651434943211193,0.0,0.0,0.0,0.0,0.0,0.0
14,10014,0.007048165546112809,0.00402960291445604,-0.0030185626316567692,0.0013360450209669171,0.000808177463518288,-0.0005278675574486291,0.0006576889192257709,0.0005480161996929793,-0.00010967271953279164,0.0158447859263843,0.011759278962344882,-0.004085506964039417,0.0,0.0,0.0,0.0,0.0,0.0
15,10015,0.006631271193752337,0.0035980545640743556,-0.0030332166296779817,0.0011423083496748454,0.0006938881584948333,-0.0004484201911800121,0.0006329164635252434,0.0004844347865111876,-0.00014848167701405582,0.014821674484428584,0.010638819402318858,-0.004182855082109726,0.0,0.0,0.0,0.0,0.0,0.0
16,10016,0.006550929201462205,0.0034868937005235905,-0.0030640355009386145,0.0011362905585545837,0.0005609023804308401,-0.0005753881781237436,0.0006278769223086618,0.0004994446665960534,-0.00012843225571260847,0.014767700829309258,0.01034060722132116,-0.004427093607988099,0.0,0.0,0.0,0.0,0.0,0.0
17,10017,0.006472525032018655,0.0034429131056228695,-0.0030296119263957854,0.0012586598607081249,0.0005415586278841961,-0.0007171012328239288,0.0006196914452458105,0.0005372848834127982,-8.240656183301233e-05,0.01488767009595704,0.010406264061088938,-0.004481406034868102,0.0,0.0,0.0,0.0,0.0,0.0
18,10018,0.006579742105476837,0.0035978279612716058,-0.002981914144205231,0.0013109227679638745,0.0008898809827990684,-0.00042104178516480615,0.0006255896619248834,0.000550192044966927,-7.539761695795635e-05,0.015065686744812321,0.010974979495907944,-0.004090707248904377,0.0,0.0,0.0,0.0,0.0,0.0
19,10019,0.0070824051108925555,0.004232143554820408,-0.0028502615560721473,0.0013332872541101607,0.0007480044506591775,-0.0005852828034509832,0.0006677209004822245,0.0005283691923864913,-0.0001393517080957332,0.01588957646355077,0.01170245311133523,-0.004187123352215539,0.0,0.0,0.0,0.0,0.0,0.0
20,10020,0.006518791870219287,0.0034815630962727793,-0.0030372287739465075,0.0012680106760230676,0.00032127501336106984,-0.0009467356626619977,0.0006234623007227233,0.000497147472549287,-0.00012631482817343628,0.01482019901109354,0.010175036282792246,-0.004645162728301294,0.0,0.0,0.0,0.0,0.0,0.0
21,10021,0.006720905938942298,0.003680618953397398,-0.0030402869855449,0.0011369101008183817,0.00046117954132838136,-0.0006757305594900004,0.0006327358866635006,0.00056903758176713,-6.369830489637057e-05,0.015051517852860123,0.010679738273175844,-0.004371779579684279,0.0,0.0,0.0,0.0,0.0,0.0
22,10022,0.006703745193437961,0.0035749584301950086,-0.003128786763242952,0.0013123983076916857,0.0006126437263753566,-0.0006997545813163291,0.00063111885174907,0.0005151226414001973,-0.0001159962103488727,0.015042288920664424,0.010575887350675314,-0.00446640156998911,0.0,0.0,0.0,0.0,0.0,0.0
23,10023,0.007408043802766943,0.004508472446328848,-0.0028995713564380944,0.001590322753762164,0.0005265687329245784,-0.0010637540208375857,0.0006765510400282376,0.0005636133842400375,-0.00011293765578820013,0.016743698973933633,0.012241420603726731,-0.004502278370206902,0.0,0.0,0.0,0.0,0.0,0.0
24,10024,0.006703200761783066,0.003866667410954654,-0.002836533350828412,0.0012281420719908638,0.0006020837136993012,-0.0006260583582915626,0.0006416156721304815,0.0005131453661426337,-0.0001284703059878478,0.01535714920564856,0.011111719169495014,-0.004245430036153545,0.0,0.0,0.0,0.0,0.0,0.0
25,10025,0.006545363162877147,0.0035287578553308244,-0.0030166053075463225,0.0011727024962639417,0.0006196374152672673,-0.0005530650809966744,0.0006246839372273041,0.0005566131969592207,-6.807074026808342e-05,0.01484918106369433,0.010546956414315006,-0.004302224649379325,0.0,0.0,0.0,0.0,0.0,0.0
26,10026,0.007083452295229202,0.004243618287024029,-0.002839834008205173,0.0013348034598757077,0.0009077636758175279,-0.00042703978405817975,0.0006680218435799912,0.0005389771546415618,-0.00012904468893842945,0.015971716178448222,0.011915607159128871,-0.00405610901931935,0.0,0.0,0.0,0.0,0.0,0.0
27,10027,0.006904666997015093,0.003929287659850898,-0.0029753793371641952,0.0012471190520741088,0.0007687128704869525,-0.00047840618158715624,0.000659406560144914,0.0005247089265510577,-0.00013469763359385634,0.015673261490139402,0.011499357781174406,-0.004173903708964996,0.0,0.0,0.0,0.0,0.0,0.0
28,10028,0.006605020300387179,0.003566025302133122,-0.0030389949982540573,0.0012028979365851084,0.0004638130844632591,-0.0007390848521218493,0.0006276978164776522,0.0005409373234748305,-8.676049300282169e-05,0.014936700659714551,0.010515750461628028,-0.004420950198086523,0.0,0.0,0.0,0.0,0.0,0.0
29,10029,0.007123236284625314,0.004345174974063595,-0.0027780613105617188,0.0011549016304273248,0.0008326294838904687,-0.0003222721465368561,0.0006673007847593793,0.0005428113157563783,-0.00012448946900300102,0.015801182910928652,0.011909619389800608,-0.003891563521128044,0.0,0.0,0.0,0.0,0.0,0.0
30,10030,0.006572810101950853,0.003418878885212402,-0.0031539312167384514,0.0012610180547667816,0.0005732730711323838,-0.0006877449836343978,0.0006183526088572125,0.0005098346312212445,-0.00010851797763596809,0.014878196505592854,0.010189105757739566,-0.004689090747853288,0.0,0.0,0.0,0.0,0.0,0.0
31,10031,0.006710020886211329,0.003706230064708304,-0.003003790821503025,0.0011422361101249615,0.0005994858097803856,-0.0005427503003445759,0.0006348955750531567,0.0005231038962810162,-0.00011179167877214046,0.015060555773711622,0.010744922618375584,-0.0043156331553360384,0.0,0.0,0.0,0.0,0.0,0.0
32,10032,0.0069500941919166895,0.0038367201440459475,-0.003113374047870742,0.001540115844766332,0.0007454218688071111,-0.000794693975959221,0.0006385816913854673,0.0005586714431442473,-7.991024824121999e-05,0.0156654909065392,0.011247129329085337,-0.004418361577453862,0.0,0.0,0.0,0.0,0.0,0.0
33,10033,0.007370077152741649,0.004406406326671305,-0.002963670826070344,0.0018686744249622582,0.0006564078458683275,-0.0012122665790939306,0.0006748458553489298,0.0005851734943745446,-8.967236097438521e-05,0.01710144652758019,0.012416251721510393,-0.004685194806069798,0.0,0.0,0.0,0.0,0.0,0.0
34,10034,0.006749325001141108,0.003594414216347837,-0.0031549107847932707,0.0014974580434525004,0.0006081805504211903,-0.0008892774930313101,0.0006295259198558723,0.0005272486152837582,-0.00010227730457211407,0.01535508353869496,0.010674257970750113,-0.004680825567944847,0.0,0.0,0.0,0.0,0.0,0.0
35,10035,0.006928442669193056,0.003940507476219237,-0.002987935192973819,0.0012014668074536456,0.0005226030058559327,-0.0006788638015977129,0.0006562334276170954,0.0005205459369798836,-0.00013568749063721174,0.015524411272598349,0.011185990031374476,-0.004338421241223873,0.0,0.0,0.0,0.0,0.0,0.0
36,10036,0.007211383329136168,0.004197208108361004,-0.003014175220775164,0.0013860702338785958,0.0003929554986693758,-0.0009931147352092201,0.0006590576305060419,0.0005364795414468706,-0.0001225780890591713,0.016157451868594054,0.011593840763505923,-0.004563611105088131,0.0,0.0,0.0,0.0,0.0,0.0
37,10037,0.00744989900742448,0.004500756214692343,-0.002949142792732137,0.0017331928242345094,0.000548388501267125,-0.0011848043229673844,0.000668454403059548,0.0005584513706171754,-0.00011000303244237269,0.016945627424936622,0.012350177967502454,-0.004595449457434168,0.0,0.0,0.0,0.0,0.0,0.0
38,10038,0.00679137699590921,0.0037428183252402754,-0.0030485586706689347,0.0011503010916673853,0.0005152185083853698,-0.0006350825832820155,0.0006408670557347976,0.000577992696716288,-6.287435901850956e-05,0.015175795512336908,0.010897914534004226,-0.004277880978332682,0.0,0.0,0.0,0.0,0.0,0.0
39,10039,0.006747794715586021,0.0038030025630296405,-0.00294479215255638,0.001196755013794226,0.0008464495312074114,-0.00035030548258681467,0.0006466051472180445,0.0005736059825330143,-7.299916468503018e-05,0.015343060002672212,0.011354716590159606,-0.003988343412512606,0.0,0.0,0.0,0.0,0.0,0.0
40,10040,0.006836945060529552,0.003760023070349294,-0.0030769219901802584,0.0014503438427294526,0.00044685647486331217,-0.0010034873678661405,0.0006411357960839591,0.0005057534612060009,-0.00013538233487795823,0.015613082932768517,0.010857457825806695,-0.0047556251069618225,0.0,0.0,0.0,0.0,0.0,0.0
41,10041,0.006538912655407821,0.0034236543640904526,-0.0031152582913173683,0.0011644893323060187,0.0005235421398956424,-0.0006409471924103764,0.000622883200007012,0.000539330680407434,-8.355251959957797e-05,0.014712733277669426,0.010257663091425622,-0.004455070186243804,0.0,0.0,0.0,0.0,0.0,0.0
42,10042,0.006560687921250887,0.0036208337956557925,-0.0029398541255950946,0.0013133432828090353,0.0009282940731656895,-0.0003850492096433458,0.0006388951327920677,0.0006055914232135555,-3.33037095785122e-05,0.015129045806004587,0.011215504582137792,-0.0039135412238667944,0.0,0.0,0.0,0.0,0.0,0.0
43,10043,0.006865968937778536,0.0037586074386694495,-0.003107361499109087,0.0014556661844040775,0.0007104189014146199,-0.0007452472829894576,0.0006301109696081275,0.0005477965878122799,-8.231438179584765e-05,0.015387642955930994,0.011024911080887701,-0.004362731875043293,0.0,0.0,0.0,0.0,0.0,0.0
44,10044,0.0066397007933351685,0.003606903364608005,-0.0030327974287271634,0.0011423757291669048,0.0005715377995481229,-0.0005708379296187818,0.0006337878839289462,0.0005521920538050468,-8.159583012389948e-05,0.014826107633655957,0.010574675327964874,-0.004251432305691083,0.0,0.0,0.0,0.0,0.0,0.0
45,10045,0.0068339328972813074,0.0036996467133212545,-0.003134286183960053,0.00128759907057915,0.0006624629575139249,-0.000625136113065225,0.0006358577315068885,0.0004931475575796163,-0.0001427101739272722,0.01514726516571854,0.010708849008948154,-0.0044384161567703855,0.0,0.0,0.0,0.0,0.0,0.0
46,10046,0.006780476545624261,0.003961457503751811,-0.00281901904187245,0.0011749040569951064,0.0007719042345891681,-0.0004029998224059383,0.0006532367344549584,0.000534108547665958,-0.00011912818678900042,0.015368198200847547,0.011324836269211186,-0.004043361931636361,0.0,0.0,0.0,0.0,0.0,0.0
47,10047,0.006561414034696627,0.003491911939684939,-0.003069502095011688,0.0015132146766130771,0.0005472050725440202,-0.0009660096040690569,0.0006298885777920092,0.0005351857875456909,-9.470279024631836e-05,0.015236207444724648,0.01055158724264322,-0.004684620202081428,0.0,0.0,0.0,0.0,0.0,0.0
48,10048,0.006588442869203126,0.003482621812881323,-0.003105821056321803,0.0012178335375525135,0.0004379949953863299,-0.0007798385421661836,0.0006243434617128703,0.00051657926802944,-0.00010776419368343029,0.01488178707906692,0.010260859187696264,-0.0046209278913706565,0.0,0.0,0.0,0.0,0.0,0.0
49,10049,0.006936308499627342,0.003992226627178633,-0.002944081872448709,0.0013821561991506867,0.0002822874050104323,-0.0010998687941402544,0.0006502820326137925,0.0005662560605805494,-8.402597203324312e-05,0.015855140611578025,0.011201372053029682,-0.004653768558548342,0.0,0.0,0.0,0.0,0.0,0.0
