seed,ee_rms_zero,ee_rms_sac,delta_ee_rms,final_ee_zero,final_ee_sac,delta_final_ee,max_ee_zero,max_ee_sac,delta_max_ee,reward_zero,reward_sac,delta_reward,saturation_frac_zero,saturation_frac_sac,delta_saturation_frac,limit_frac_zero,limit_frac_sac,delta_limit_frac,ncon_zero,ncon_sac,mean_action_norm_sac,mean_residual_force_norm_sac,mean_residual_tau_norm_sac,rms_ee_error_velocity_zero,rms_ee_error_velocity_sac,delta_rms_ee_error_velocity,rms_ee_error_highfreq_zero,rms_ee_error_highfreq_sac,delta_rms_ee_error_highfreq,p2p_error_norm_zero,p2p_error_norm_sac,delta_p2p_error_norm,rms_residual_force_rate_zero,rms_residual_force_rate_sac,delta_rms_residual_force_rate,rms_tau_total_rate_zero,rms_tau_total_rate_sac,delta_rms_tau_total_rate,smooth_tracking_score_zero,smooth_tracking_score_sac,delta_smooth_tracking_score
10000,0.01495714571679967,0.01513519674605793,0.000178051029258261,0.015925013431666756,0.01600611127700268,8.109784533592498e-05,0.024724701244479765,0.025161091756485735,0.00043639051200597065,-14976.027974726632,-14988.50008093752,-12.472106210887432,0.706,0.706,0.0,0.0,0.0,0.0,0,0,0.293220534265521,0.22128722732113013,0.05803410537586235,0.45257890307639,0.4527771177803527,0.0001982147039626958,0.005159380085242962,0.0051667134521389815,7.333366896019634e-06,0.02429322258464531,0.024729666232373545,0.0004364436477282338,0.0,27.020837888797406,27.020837888797406,3518.7268568720096,3518.714760696358,-0.012096175651549856,3.5643786420601673,3.564595203238978,0.00021656117881052594
10001,0.023743227624670765,0.023628565483915016,-0.00011466214075574882,0.007424954239045107,0.0069973497905699115,-0.0004276044484751952,0.06165461415405609,0.0620883266990853,0.000433712545029212,-35388.02628158964,-35395.40822071768,-7.381939128041267,0.8,0.784,-0.016000000000000014,0.07,0.07,0.0,0,0,0.31008516713181294,0.20667292150316763,0.06616241654239738,0.9192573160603117,0.9195745119760264,0.0003171959157146631,0.01719409549053863,0.017212422173128253,1.8326682589622778e-05,0.061210313829735026,0.06164406279603191,0.0004337489662968874,0.0,28.119281136554267,28.119281136554267,2979.046165321312,2976.687756830607,-2.3584084907047327,3.052808617778332,3.050137971252071,-0.0026706465262607004
10002,0.016382664324737225,0.01712287974279912,0.0007402154180618965,0.02097985499622456,0.021961300754339046,0.0009814457581144853,0.036278197862009934,0.03619176655593997,-8.643130606996591e-05,-27298.64067428466,-27465.971785421483,-167.3311111368239,0.7,0.706,0.006000000000000005,0.0,0.0,0.0,0,0,0.2878222302856848,0.22205514090647632,0.056927956736908966,0.6046264786386734,0.6060847146666368,0.0014582360279634665,0.00779552132459077,0.007671808272629286,-0.00012371305196148385,0.03583472847620557,0.03574833889474413,-8.638958146144071e-05,0.0,25.38539422371722,25.38539422371722,3572.975422714756,3571.06577982167,-1.9096428930861293,3.630235248896031,3.6296269818404228,-0.000608267055608458
10003,0.026056029499327966,0.02645962911084721,0.0004035996115192425,0.01063673132398589,0.004947086880435115,-0.005689644443550775,0.04588232866171161,0.04628465309971948,0.0004023244380078686,-29081.095135682728,-29232.34772824729,-151.25259256456047,0.796,0.79,-0.006000000000000005,0.03,0.028,-0.0019999999999999983,0,0,0.3171680532323795,0.2228671208136799,0.07378129189708772,0.7480489253660852,0.7512515394766308,0.0032026141105455652,0.01052913195311374,0.010591855539575385,6.272358646164551e-05,0.045456699339914586,0.045859078820385694,0.00040237948047110866,0.0,29.766282166127244,29.766282166127244,3311.5107411856657,3305.612477680411,-5.898263505254818,3.3804981652543535,3.3723200643160984,-0.008178100938255106
10004,0.014382770484249954,0.014550763218048374,0.00016799273379842009,0.021131808602412948,0.02106158767373048,-7.022092868246704e-05,0.027283574010414664,0.028596589705773782,0.0013130156953591182,-31530.388874953613,-31533.289080261253,-2.9002053076401353,0.762,0.762,0.0,0.0,0.0,0.0,0,0,0.3109647231802602,0.2276368174772059,0.07458426173945486,0.6477971913599536,0.6478378806470183,4.0689287064687996e-05,0.006745338794411067,0.006753712353156654,8.373558745587012e-06,0.026916493506910277,0.0282296114554543,0.0013131179485440236,0.0,29.536005216043975,29.536005216043975,3655.343175012159,3654.5517450346997,-0.7914299774593019,3.7128166161415015,3.7121602703690275,-0.0006563457724739763
10005,0.021801452017622343,0.02201199958450836,0.00021054756688601572,0.010916994916067466,0.010934476153104708,1.7481237037242012e-05,0.041967010922019876,0.04261122046015913,0.0006442095381392551,-54867.68842972722,-54933.77925613616,-66.09082640893757,0.856,0.856,0.0,0.0,0.0,0.0,0,0,0.3473301617278048,0.2652475880677746,0.07237730735633639,0.9927513011286118,0.9933198102402543,0.0005685091116425234,0.011874641675749698,0.011877414016924083,2.772341174385462e-06,0.04151693730167082,0.04216118790410953,0.000644250602438716,0.0,29.38000138836304,29.38000138836304,3400.57266323666,3398.883498201916,-1.6891650347438372,3.477707670602262,3.476266274655328,-0.00144139594693371
10006,0.01140625882889742,0.029125468023712176,0.017719209194814754,0.00954194278483138,0.004963755666649788,-0.004578187118181592,0.03088453239878625,0.05377017927884356,0.02288564688005731,-1372.0246008606628,-33643.11493426096,-32271.090333400294,0.32727272727272727,0.7737373737373737,0.44646464646464645,0.03636363636363636,0.0707070707070707,0.03434343434343434,0,0,0.281898617505334,0.18940284284432904,0.056719866606276224,0.5375269668273164,0.8471240572706636,0.30959709044334727,0.008932406245040323,0.014086580772066924,0.0051541745270266,0.03042995579194308,0.05331563313140317,0.02288567733946009,0.0,28.143960732076888,28.143960732076888,2020.4012115279293,3134.8099923596424,1114.408780831713,2.063633438215509,3.2090552726956543,1.1454218344801452
10007,0.0374487847497959,0.03742906353225926,-1.972121753663486e-05,0.03085940963933193,0.030990285279493247,0.00013087564016131883,0.06483201376405122,0.06506761999531428,0.00023560623126306357,-67335.25714231841,-67333.00533139147,2.2518109269440174,0.86,0.854,-0.006000000000000005,0.026,0.026,0.0,0,0,0.2787976267936474,0.18577144727900946,0.048607665946162726,1.2356309914187562,1.2355915040507113,-3.948736804493258e-05,0.019829069410575193,0.019825314502167457,-3.754908407736096e-06,0.06437350149617528,0.06460913376726887,0.00023563227109359153,0.0,26.368650802479813,26.368650802479813,3318.7091132297114,3318.7199668680314,0.010853638319986203,3.4337657337583227,3.4338202545326166,5.452077429390911e-05
10008,0.01330769287269397,0.015816565629166942,0.0025088727564729716,0.010152044121861287,0.010266281055795965,0.00011423693393467806,0.027565211935575026,0.029255592934735234,0.0016903809991602077,-69900.24052453041,-74186.37196473964,-4286.131440209225,0.688,0.76,0.07200000000000006,0.0,0.0,0.0,0,0,0.2872930175631641,0.22410546870152012,0.07555388773887747,0.9187896021133983,0.9661382144351099,0.047348612321711614,0.010007138148288795,0.009958685231258976,-4.845291702981931e-05,0.02712299211196917,0.02881341900921978,0.0016904268972506124,0.0,23.906840041911043,23.906840041911043,3477.931036990367,3612.9729471050564,135.04191011468947,3.5424543747926274,3.682428737688502,0.13997436289587473
10009,0.01431231379708142,0.014474630441607962,0.0001623166445265424,0.00944859547290212,0.009551427835220951,0.00010283236231883007,0.03776104784131205,0.03778862559009616,2.7577748784111955e-05,-1319.781341935508,-1319.7358141727746,0.04552776273339987,0.41935483870967744,0.41935483870967744,0.0,0.11290322580645161,0.11290322580645161,0.0,0,0,0.32282068171388906,0.21422412577639985,0.0623977237951457,0.4933244850703139,0.4932649504275938,-5.9534642720127096e-05,0.00866943227820529,0.008676435007863229,7.00272965793898e-06,0.03730141370020707,0.037329018276182874,2.7604575975802292e-05,0.0,27.553063885711087,27.553063885711087,2257.021029985828,2258.779027589401,1.7579976035726759,2.30089725441844,2.3028661481701564,0.001968893751716383
