seed,ee_rms_zero,ee_rms_sac,delta_ee_rms,final_ee_zero,final_ee_sac,delta_final_ee,max_ee_zero,max_ee_sac,delta_max_ee,reward_zero,reward_sac,delta_reward,saturation_frac_zero,saturation_frac_sac,delta_saturation_frac,limit_frac_zero,limit_frac_sac,delta_limit_frac,ncon_zero,ncon_sac,mean_action_norm_sac,mean_residual_force_norm_sac,mean_residual_tau_norm_sac
10000,0.01495714571679967,0.012201131907369536,-0.002756013809430134,0.015925013431666756,0.016733738490192107,0.000808725058525351,0.024724701244479765,0.02846451438411671,0.003739813139636946,-128.22052638116293,-116.9458564450033,11.274669936159626,0.706,0.704,-0.0020000000000000018,0.0,0.0,0.0,0,0,1.210338076827874,2.420676153655748,0.8413927893520363
10001,0.023743227624670765,0.02072363845086138,-0.0030195891738093866,0.007424954239045107,0.018372806726653555,0.010947852487608448,0.06165461415405609,0.04759550883787632,-0.014059105316179772,-655.4037939379923,-511.476221091114,143.92757284687832,0.8,0.806,0.006000000000000005,0.07,0.046,-0.024000000000000007,0,0,1.299085307704348,2.598170615408696,0.9152942278565174
10002,0.016382664324737225,0.014231220880627195,-0.0021514434441100294,0.02097985499622456,0.02593010406919083,0.004950249072966269,0.036278197862009934,0.04012032788386674,0.003842130021856807,-143.6115597980097,-136.83802651520818,6.773533282801509,0.7,0.702,0.0020000000000000018,0.0,0.0,0.0,0,0,1.2265504256024915,2.453100851204983,0.8370476605760491
10003,0.026056029499327966,0.022245985483374996,-0.00381004401595297,0.01063673132398589,0.01519669753077222,0.00455996620678633,0.04588232866171161,0.04078151666765937,-0.00510081199405224,-448.445949846413,-357.3409020747058,91.10504777170718,0.796,0.794,-0.0020000000000000018,0.03,0.02,-0.009999999999999998,0,0,1.280893255761573,2.561786511523146,0.9076485138239907
10004,0.014382770484249954,0.012785994716996076,-0.0015967757672538784,0.021131808602412948,0.024583976869076752,0.003452168266663804,0.027283574010414664,0.02616600575483899,-0.0011175682555756745,-120.03758389025461,-120.58618368534371,-0.5485997950891033,0.762,0.762,0.0,0.0,0.0,0.0,0,0,1.210491819076672,2.420983638153344,0.7890041870275304
10005,0.021801452017622343,0.01900135626297886,-0.002800095754643482,0.010916994916067466,0.010456275584637013,-0.0004607193314304526,0.041967010922019876,0.039841364979933534,-0.002125645942086342,-210.1977525257971,-191.54567638784647,18.652076137950644,0.856,0.856,0.0,0.0,0.0,0.0,0,0,1.2612370086249574,2.5224740172499147,0.8383753641505801
10006,0.01140625882889742,0.01472816770117259,0.0033219088722751706,0.00954194278483138,0.006281308864020696,-0.0032606339208106835,0.03088453239878625,0.043739854343855036,0.012855321945068787,-29.18477294757031,-68.71855497034267,-39.53378202277236,0.32727272727272727,0.40298507462686567,0.0757123473541384,0.03636363636363636,0.07462686567164178,0.03826322930800542,0,0,1.2229579650718208,2.4459159301436415,0.6320980133907047
10007,0.0374487847497959,0.03411160129042356,-0.0033371834593723393,0.03085940963933193,0.06423939202746441,0.03337998238813249,0.06483201376405122,0.06592096758900484,0.001088953824953623,-657.5862492057495,-593.3481896980666,64.23805950768292,0.86,0.856,-0.0040000000000000036,0.026,0.024,-0.0019999999999999983,0,0,1.260415423163027,2.520830846326054,0.9091895122598378
10008,0.01330769287269397,0.015960468750398835,0.002652775877704865,0.010152044121861287,0.004914886373763598,-0.00523715774809769,0.027565211935575026,0.030444471386251813,0.002879259450676786,-109.55011914577335,-162.36016333149746,-52.81004418572411,0.688,0.776,0.08800000000000008,0.0,0.0,0.0,0,0,1.2200125838378773,2.4400251676757545,0.7427616426073685
10009,0.01431231379708142,0.013076506465881635,-0.0012358073311997848,0.00944859547290212,0.012625600781719792,0.003177005308817671,0.03776104784131205,0.03759517535651919,-0.0001658724847928561,-85.09166586422361,-65.33048757025972,19.761178293963894,0.41935483870967744,0.41935483870967744,0.0,0.11290322580645161,0.08064516129032258,-0.03225806451612903,0,0,1.2232314522046082,2.4464629044092163,0.6250309078661891
10010,0.014527804789084137,0.01668705313342053,0.0021592483443363918,0.013381310175983801,0.015054304603656051,0.0016729944276722506,0.03129751450702856,0.03681600399687793,0.005518489489849364,-140.54395734658465,-175.8422460835427,-35.29828873695806,0.724,0.718,-0.006000000000000005,0.0,0.0,0.0,0,0,1.2038434435162595,2.407686887032519,0.7727722779713271
10011,0.013742654415321572,0.01449812544670549,0.0007554710313839169,0.006765687498632904,0.00900890303214285,0.002243215533509945,0.03338368895112078,0.037445644153923895,0.004061955202803114,-111.80349285248667,-132.9030352095142,-21.09954235702753,0.828,0.82,-0.008000000000000007,0.0,0.0,0.0,0,0,1.1864314857386433,2.3728629714772866,0.7674271716385629
10012,0.014370471429070834,0.01172288933558192,-0.0026475820934889135,0.00875862753608578,0.009231241963357213,0.0004726144272714332,0.02621346683252933,0.02557609465818612,-0.0006373721743432106,-120.87706434424035,-112.76065939385444,8.116404950385913,0.73,0.726,-0.0040000000000000036,0.0,0.0,0.0,0,0,1.2289509390031417,2.4579018780062833,0.8437763518255115
10013,0.014749359770561434,0.01353258308207816,-0.0012167766884832749,0.017677849621086046,0.020822144476045423,0.0031442948549593765,0.030499491789793692,0.029772762896066975,-0.000726728893726717,-127.03671861952171,-129.88017872255296,-2.843460103031248,0.716,0.704,-0.01200000000000001,0.0,0.0,0.0,0,0,1.217073625415554,2.434147250831108,0.832326906778746
10014,0.0206216359912572,0.020877291409681184,0.0002556554184239834,0.02303258643836986,0.006462366551780253,-0.016570219886589604,0.039410707214411506,0.04943712845728273,0.010026421242871224,-208.634098875802,-212.50771564710885,-3.8736167713068426,0.82,0.738,-0.08199999999999996,0.0,0.0,0.0,0,0,1.200248108130776,2.400496216261552,0.775984021169837
10015,0.03127769323634025,0.028288905202599628,-0.0029887880337406206,0.0016041257380966197,0.007062179508015447,0.005458053769918827,0.05894954417400682,0.05378626380823252,-0.005163280365774299,-742.9798919348978,-684.3888169676065,58.591074967291206,0.8016701461377871,0.808,0.006329853862212964,0.0709812108559499,0.06,-0.0109812108559499,0,0,1.3428463217038584,2.685692643407717,0.9554239673341308
10016,0.019561494342521912,0.019408635760147702,-0.00015285858237421013,0.031087179539995992,0.03095067330573188,-0.0001365062342641131,0.05403293107525507,0.05047735802551684,-0.0035555730497382337,-380.11246829805896,-383.9010862563737,-3.788617958314717,0.854,0.862,0.008000000000000007,0.03,0.028,-0.0019999999999999983,0,0,1.266291131240031,2.532582262480062,0.8688306335314709
