t,des_x,des_y,des_z,act_x,act_y,act_z,q_jnt_des_1,q_jnt_des_2,q_jnt_des_3,q_jnt_des_4,q_jnt_act_1,q_jnt_act_2,q_jnt_act_3,q_jnt_act_4,qdot_jnt_des_1,qdot_jnt_des_2,qdot_jnt_des_3,qdot_jnt_des_4,qdot_jnt_act_1,qdot_jnt_act_2,qdot_jnt_act_3,qdot_jnt_act_4,tau_bias_1,tau_bias_2,tau_bias_3,tau_bias_4,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_total_1,tau_total_2,tau_total_3,tau_total_4,joint_margin_min,act_margin_min,q_act_equiv_1,q_act_equiv_2,q_act_equiv_3,q_act_equiv_4,pos_err_norm
0.0,0.25,-0.2,-0.1,0.250083098558326,-0.19995822828874402,-0.0999910804031226,0.6747446831943159,1.27497468573782,1.416190933113277,-0.4505547168052535,0.6744811819741464,1.2749676194443569,1.4161218125092072,-0.4505018981604386,0.0005124092688491011,-0.0005579786434006806,0.0006598976399763146,-0.0005237073948116677,-0.1087926919267511,-0.001090527821563993,0.0032567546037173957,0.0031659197806805776,-3.95534180131989e-05,-6.981297836338742,-1.3974463990969623,0.03894240700469509,0.01787402504558333,-0.0029982578012566208,0.027969415102924167,-0.003024565684317526,0.017834471627570132,-6.9842960941399985,-1.3694769839940382,0.035917841320377564,0.15477818749079275,0.5155939583026425,1.2647312619053936,8.499784129629047,4.720406041697357,-1.5016729938681288,9.343342798789549e-05
0.002,0.249999840958464,-0.20000009542492161,-0.1000000318083072,0.25015970492327544,-0.19985886982311785,-0.09999094293345048,0.6747457080128536,1.2749735697805331,1.4161922529085569,-0.4505557642200431,0.6740894119498311,1.2749650873042642,1.4161285400013894,-0.4505041103370915,0.0011927498001218506,-0.00016455987894570256,0.000491481827680218,-0.0003408288037076712,-0.19588501215769402,-0.0012660700463757667,0.0033637460911301923,-0.0011060883264383194,7.713544742066463e-06,-6.980542037055482,-1.3961762338789148,0.038715890993980207,0.959241345427141,0.009192844393815416,-0.0009900624033966042,-0.015104315529643026,0.9592490589718831,-6.971349192661666,-1.3971662962823113,0.023611575464337183,0.15477145999861053,0.5155715333287016,1.263996647196383,8.499767248695095,4.720428466671298,-1.501680367790305,0.00021350354914199775
0.004,0.249998735310848,-0.20000075881349122,-0.10000025293783041,0.2502645121406346,-0.19972397761341087,-0.09999093195070605,0.6747494541935164,1.2749740274983041,1.4161928990405876,-0.4505560801204683,0.673555957819785,1.2749623211107746,1.416137281405345,-0.45050283479137193,0.003461632403112258,0.0004505269758925401,0.0005731579917345186,-0.0002718916781718761,-0.26672706502305404,-0.0013830967447751102,0.004370701977774917,0.0006377728597634544,7.788303651787764e-05,-6.978860374828716,-1.3933380695320534,0.03820181919899146,1.7927858295920467,0.016414834390135535,-0.0030169930357011703,0.0022973909255288045,1.7928637126285645,-6.96244554043858,-1.3963550625677545,0.04049921012452026,0.15476271859465496,0.5155423953155163,1.2629963581844834,8.499748807405163,4.7204576046844835,-1.5016761159712397,0.00038383855560678324
0.006,0.249995757386752,-0.2000025455679488,-0.10000084852264961,0.25039216925643304,-0.19955920578502562,-0.09999100382607506,0.6747595545424661,1.2749753718884367,1.4161945455405238,-0.4505568517867558,0.6729050414314169,1.274959981896944,1.4161454868807393,-0.4505056460506412,0.007411060280709814,0.0009859939231748882,0.0012065587589038529,-0.0005664880313865917,-0.32545819418398253,-0.0011696069152864845,0.004102737697130991,-0.0014056296346319215,0.0001556834788002696,-6.9767837523495,-1.3898323342087326,0.037568761758846936,2.554184019234444,0.02286795864223473,-0.008133905197324341,-0.005897383472277714,2.554339702713244,-6.9539157937072655,-1.397966239406057,0.03167137828656922,0.1547545131192607,0.5155150437308684,1.2617758136722612,8.499733212646293,4.720484956269131,-1.5016854868354708,0.0005948020272300993
0.008,0.249990004187136,-0.2000059974877184,-0.10000199916257281,0.25053946368370705,-0.19936933775942176,-0.09999125584519661,0.6747790984346392,1.2749779714739968,1.4161977252756233,-0.4505583460725939,0.6721545930570885,1.2749579395732957,1.416154543964642,-0.4505068024197082,0.01288481411398923,0.0017129185179154405,0.002094558639531563,-0.0009867371403154968,-0.37522418716424233,-0.0010211618240638745,0.004528541951364187,-0.0005781845335031707,0.00021438716733161375,-6.974580237893894,-1.38611127830009,0.036894830947733714,3.268961167350463,0.02845707658148585,-0.0003939139955964413,0.0006215695382121283,3.2691755545177945,-6.946123161312409,-1.3865051922956864,0.037516400485945844,0.15474545603535805,0.5154848534511931,1.2603686350217298,8.499719597155305,4.720515146548807,-1.5016893413990273,0.0008410450444982992
0.01,0.2499805952,-0.20001164288,-0.10000388096,0.2507034015624454,-0.19915737134976813,-0.09999168014304805,0.674811093798922,1.2749822235625083,1.416202923775082,-0.45056079873531707,0.6713177560900592,1.2749564611960833,1.4161635199072966,-0.4505101003349859,0.019843612090258977,0.002636557158930408,0.0032212007144427623,-0.0015240155764456587,-0.418418483514656,-0.000739188606236064,0.004487971327361325,-0.0016489576388477075,0.00028222686925207744,-6.972368626525386,-1.3823775767687412,0.03621944098361962,3.957492616586074,0.03654694862773862,0.004055213236639314,-0.004863250483947411,3.957774843455326,-6.935821677897647,-1.3783223635321018,0.03135619049967221,0.15473648009270335,0.515454933642344,1.2587994676355883,8.499709741307223,4.720545066357656,-1.501700334449953,0.001119096843392294
0.012,0.249966672216064,-0.2000199966703616,-0.10000666555678721,0.25088214654255764,-0.1989257339855207,-0.09999234534401832,0.6748584728830003,1.2749885177026326,1.416210610078481,-0.45056444213489966,0.6704040272177719,1.2749554623892514,1.4161733697452326,-0.45051286581128974,0.02824985920837908,0.003752823131419891,0.004578317475190108,-0.002176967504374794,-0.45686443614360966,-0.0004994034159394113,0.00492491896795339,-0.0013827381519209792,0.00034764972578111425,-6.970192175769059,-1.3787038120408044,0.035553883328096614,4.635561779666611,0.0455530458660225,0.014849820537958476,-0.003198875460383538,4.635909429392393,-6.924639129903036,-1.3638539915028458,0.03235500786771307,0.1547266302547674,0.5154221008492241,1.2570861189157545,8.49970308259501,4.720577899150776,-1.5017095527042992,0.0014267827915972287
0.014,0.249947399144448,-0.2000315605133312,-0.10001052017111041,0.2510740655785355,-0.19867587702300477,-0.09999327706823746,0.6749240932357555,1.274997234855034,1.4162212370449827,-0.45056950660533457,0.6694201194522927,1.2749550697357583,1.416183944526386,-0.45051693033923307,0.03806789649543618,0.005051099146446969,0.00617809665337532,-0.002911564950025536,-0.49195388273959145,-0.00019632674656600658,0.005287390576721306,-0.002032263971652983,0.00043472128353255236,-6.968051809839331,-1.3750927141330889,0.034899951259476314,5.315478466507448,0.05693576023388009,0.024385611408419952,-0.007248123073314758,5.315913187790981,-6.91111604960545,-1.3507071027246689,0.027651828186161555,0.154716055473614,0.5153868515787128,1.255241176546583,8.499700464905056,4.720613148421287,-1.501723101130777,0.0017628250917887027
0.016,0.249921961828352,-0.2000468229029888,-0.10001560763432961,0.25127814637616225,-0.19840887487895137,-0.09999454299240762,0.675010744468982,1.2750087220992183,1.4162353224650945,-0.45057608839469976,0.6683706156488913,1.2749552696904844,1.4161959634977261,-0.4505211177816994,0.0492591366842432,0.006529780231412374,0.008004344643375294,-0.0037398617612482976,-0.5247519017007298,9.997736309844189e-05,0.006009485670034122,-0.00209372123316455,0.0005400301103017594,-6.9659298846822795,-1.371514478813461,0.034251378552417,6.006891660397461,0.06990456486182689,0.03714901414580424,-0.008013552267715066,6.0074316905077625,-6.896025319820453,-1.3343654646676568,0.026237826284701934,0.15470403650227382,0.5153467883409126,1.253273233918791,8.499701797936563,4.720653211659087,-1.5017370592723314,0.00212662972242625
0.018000000000000002,0.249889567860736,-0.20006625928355842,-0.1000220864278528,0.2514935244964072,-0.19812525247528026,-0.09999619572304358,0.6751211297824925,1.2750233539759597,1.4162532544235562,-0.45058446605237956,0.6672584628064882,1.2749561817127901,1.4162095703416915,-0.45052650724908666,0.06178692167777,0.008189946825554184,0.01003247923225814,-0.004686333725842373,-0.5560764212016072,0.0004560111527874113,0.006803421982700418,-0.002694733693628691,0.0006799792351625533,-6.96379902461732,-1.3679236955440819,0.033600534333844356,6.7174648271083495,0.08514504134221279,0.049371226246812214,-0.011637415384314564,6.718144806343512,-6.878653983275107,-1.3185524692972697,0.021963118949529792,0.15469042965830848,0.5153014321943612,1.2511878170007278,8.499707878085268,4.720698567805639,-1.5017550241636222,0.0025181053686236915
