t,task_mode,des_x,des_y,des_z,sol_x,sol_y,sol_z,residual_norm,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,q_act_1,q_act_2,q_act_3,q_act_4,joint_margin_1,joint_margin_2,joint_margin_3,joint_margin_4,act_margin_1,act_margin_2,act_margin_3,act_margin_4,joint_margin_min,act_margin_min,active_limit_joint,active_limit_actuator,success
0.0,xyz,0.25,-0.2,-0.1,0.25000032037865044,-0.20000005427222964,-0.10000026715232341,4.206641397447178e-07,0.6747446831943159,1.27497468573782,1.416190933113277,-0.4505547168052535,1.2652253575741907,8.499831238252133,4.720636443710923,-1.5018490560175117,2.466855316805684,0.29592531426218005,0.15470906688672303,1.1203452831947465,4.6256746424258095,1.9721687617478665,0.5153635562890768,3.7341509439824883,0.15470906688672303,0.5153635562890768,jnt3,q3_act,True
0.01,xyz,0.2499805952,-0.20001164288,-0.10000388096,0.24998076615751905,-0.2000114876390772,-0.10000389164686807,2.311718550923428e-07,0.6748107257410993,1.274982292028595,1.4162028088652803,-0.4505608036678815,1.2653491950892544,8.4998819468573,4.720676029550934,-1.501869345559605,2.4667892742589004,0.29591770797140504,0.1546971911347197,1.1203391963321185,4.625550804910746,1.9721180531426992,0.5153239704490655,3.7341306544403947,0.1546971911347197,0.5153239704490655,jnt3,q3_act,True
0.02,xyz,0.2498494464,-0.20009033216000002,-0.10003011072000001,0.24985056079776985,-0.20008927041937233,-0.10003011305424844,1.5392144095741396e-06,0.6752545951270754,1.2750415851276047,1.4162751350439422,-0.450594539256446,1.2661815022071543,8.500277234184031,4.7209171168131405,-1.5019817975214866,2.4663454048729245,0.2958584148723953,0.15462486495605776,1.120305460743554,4.624718497792846,1.9717227658159686,0.5150828831868592,3.734018202478513,0.15462486495605776,0.5150828831868592,jnt3,q3_act,True
0.03,xyz,0.2495074336,-0.20029553984,-0.10009851328000001,0.24951034947618808,-0.20029276171837093,-0.10009851531069525,4.027443091331928e-06,0.6764156866244736,1.27519659210972,1.4164631325047277,-0.4506820509586808,1.2683586848386905,8.5013106140648,4.721543775015759,-1.5022735031956027,2.4651843133755262,0.29570340789028005,0.1544368674952723,1.120217949041319,4.6225413151613095,1.9706893859352004,0.514456224984241,3.733726496804397,0.1544368674952723,0.514456224984241,jnt3,q3_act,True
0.04,xyz,0.2488686848,-0.20067878912,-0.10022626304,0.2488741490774186,-0.2006735833602611,-0.10022624994911275,7.547081127037406e-06,0.6785903370238959,1.275487398364478,1.4168113851853334,-0.4508434322082513,1.2724364091953795,8.503249322429854,4.722704617284445,-1.502811440694171,2.463009662976104,0.29541260163552185,0.1540886148146665,1.1200565677917487,4.6184635908046205,1.9687506775701458,0.5132953827155546,3.7331885593058285,0.1540886148146665,0.5132953827155546,jnt3,q3_act,True
0.05,xyz,0.24786,-0.20128400000000002,-0.100428,0.2478686616732628,-0.201275746204538,-0.10042793083439416,1.1964719266297814e-05,0.6820350936519604,1.2759503073985667,1.4173531218756086,-0.45109239348681285,1.2788957315806495,8.506335382657111,4.724510406252029,-1.5036413116227096,2.4595649063480396,0.2949496926014332,0.15354687812439138,1.119807606513187,4.6120042684193505,1.9656646173428882,0.5114895937479709,3.73235868837729,0.15354687812439138,0.5114895937479709,jnt3,q3_act,True
0.06,xyz,0.2464202752,-0.20214783488000002,-0.10071594496000001,0.24643269511761717,-0.20213599270733482,-0.10071574034357036,1.7161971767043086e-05,0.6869703390585253,1.2766189622110515,1.4181084480349624,-0.45143494325618233,1.288149895103179,8.51079308140701,4.727028160116541,-1.5047831441872745,2.4546296609414746,0.29428103778894843,0.15279155196503758,1.1194650567438176,4.602750104896821,1.961206918592989,0.5089718398834586,3.7312168558127254,0.15279155196503758,0.5089718398834586,jnt3,q3_act,True
0.07,xyz,0.2444999264,-0.20330004416,-0.10110001472,0.24451658906723428,-0.20328414585601173,-0.10109955417461011,2.3035030955468934e-05,0.6935836739532417,1.2775253488761282,1.4190828231939476,-0.45186795002474694,1.3005506730793956,8.51683565917419,4.730276077313159,-1.50622650008249,2.4480163260467585,0.29337465112387173,0.15181717680605233,1.119032049975253,4.590349326920604,1.9551643408258101,0.5057239226868404,3.72977349991751,0.15181717680605233,0.5057239226868404,jnt3,q3_act,True
0.08,xyz,0.2420603136,-0.20476381184,-0.10158793728000001,0.24208163319717324,-0.2047434509380247,-0.10158703429232285,2.94941848441737e-05,0.7020328243789132,1.2787005048022773,1.4202656625558656,-0.45237866310945385,1.3163938203242327,8.524670032015182,4.734218875186219,-1.507928877031513,2.439567175621087,0.2921994951977227,0.15063433744413435,1.118521336890546,4.574506179675767,1.9473299679848175,0.5017811248137809,3.728071122968487,0.15063433744413435,0.5017811248137809,jnt3,q3_act,True
0.09,xyz,0.2390731648,-0.20655610112,-0.10218536704,0.23909949757682497,-0.20653093151142082,-0.10218377645615373,3.6461682466878293e-05,0.7124479117597385,1.2801749548490446,1.4216297298539673,-0.45294383034915936,1.3359233297576196,8.534499698993631,4.738765766179891,-1.5098127678305313,2.4291520882402615,0.2907250451509553,0.14927027014603267,1.1179561696508407,4.554976670242381,1.9375003010063683,0.4972342338201088,3.7261872321694685,0.14927027014603267,0.4972342338201088,jnt3,q3_act,True
0.1,xyz,0.23552,-0.208688,-0.102896,0.23555165237956366,-0.20865773487156594,-0.10289341400727736,4.386956222181598e-05,0.7249329507169316,1.2819786415580785,1.4231310551728036,-0.45352977629659413,1.3593342409843083,8.546524277053857,4.743770183909345,-1.5117659209886471,2.416667049283068,0.28892135844192146,0.14776894482719638,1.1173702237034058,4.531565759015692,1.9254757229461426,0.49222981609065464,3.7242340790113526,0.14776894482719638,0.49222981609065464,jnt3,q3_act,True
0.11,xyz,0.2313915552,-0.21116506688,-0.10372168896,0.2314287909924533,-0.21112948222546962,-0.10371774027798664,5.1656209378118265e-05,0.7395665156383341,1.2841405228082068,1.4247095102120069,-0.4540928608035781,1.3867738901900133,8.560936818721379,4.74903170070669,-1.5136428693452604,2.4020334843616657,0.2867594771917932,0.1461904897879931,1.1168071391964218,4.504126109809987,1.911063181278621,0.4869682992933102,3.722357130654739,0.1461904897879931,0.4869682992933102,jnt3,q3_act,True
0.12,xyz,0.2266872064,-0.21398767616,-0.10466255872,0.22673025155933715,-0.2139466179411187,-0.10465682794504996,5.9762068752630326e-05,0.7564015593614599,1.286687816148416,1.426290056878858,-0.45458044857835644,1.4183415701508717,8.577918774322775,4.754300189596194,-1.515268161927855,2.38519844063854,0.28421218385158387,0.14460994312114206,1.1163195514216435,4.472558429849128,1.8940812256772244,0.48169981040380616,3.720731838072145,0.14460994312114206,0.48169981040380616,jnt3,q3_act,True
0.13,xyz,0.22141439359999998,-0.21715136384,-0.10571712128,0.2214634373786398,-0.21710475807682372,-0.10570914785353405,6.812462780905802e-05,0.7754644309327161,1.289644990882328,1.4277846294823928,-0.45493235023345047,1.4540866884168688,8.597633272548853,4.759282098274643,-1.516441167444835,2.366135569067284,0.281255009117672,0.14311537051760714,1.1159676497665494,4.436813311583132,1.8743667274511466,0.47671790172535644,3.7195588325551645,0.14311537051760714,0.47671790172535644,jnt3,q3_act,True
0.14,xyz,0.2155880448,-0.22064717312,-0.10688239104000001,0.21564323622904807,-0.22059503775321337,-0.1068716871904268,7.667308984273945e-05,0.7967532058940484,1.2930326286768998,1.4290945930369787,-0.4550826767979745,1.494005636403616,8.620217524512666,4.763648643456596,-1.5169422559932484,2.3448467941059516,0.27786737132310013,0.14180540696302124,1.1158173232020254,4.396894363596385,1.851782475487333,0.47235135654340343,3.7190577440067516,0.14180540696302124,0.47235135654340343,jnt3,q3_act,True
0.15,xyz,0.20923000000000003,-0.224462,-0.108154,0.20929143897186253,-0.22440445680676752,-0.10814006682422575,8.532350050289848e-05,0.8202355166920915,1.2968662915485267,1.430113700301027,-0.45496202883006215,1.5380377211552438,8.645775276990179,4.76704566767009,-1.5165400961002071,2.3213644833079083,0.27403370845147323,0.14078629969897305,1.1159379711699378,4.352862278844756,1.8262247230098207,0.46895433232990946,3.719459903899793,0.14078629969897305,0.46895433232990946,jnt3,q3_act,True
0.16,xyz,0.20236843519999997,-0.22857893888000003,-0.10952631296000001,0.20243615792567912,-0.22851622339002634,-0.1095086577185001,9.397503822012214e-05,0.8458461509715852,1.3011555401968802,1.4307314519720518,-0.45449992720130944,1.5860606618630888,8.674370267979201,4.76910483990684,-1.514999757337698,2.2957538490284146,0.2697444598031198,0.1401685480279482,1.1164000727986905,4.304839338136912,1.7976297320207983,0.4668951600931601,3.721000242662302,0.1401685480279482,0.4668951600931601,jnt3,q3_act,True
0.17,xyz,0.1950372864,-0.23297762816,-0.11099254272,0.19511124599964932,-0.23291009512749355,-0.11097069636836521,0.00010250851642451665,0.8734847619924674,1.3059032311806325,1.430836751957702,-0.4536273791336557,1.6378862966294157,8.706021541204217,4.769455839859007,-1.5120912637788524,2.2681152380075327,0.2649967688193675,0.14006324804229786,1.1172726208663444,4.253013703370584,1.7659784587957823,0.46654416014099276,3.7239087362211474,0.14006324804229786,0.46654416014099276,jnt3,q3_act,True
0.18,xyz,0.1872756736,-0.23763459584000002,-0.11254486528,0.18735571753432795,-0.23756271795647027,-0.11251839933951155,0.000110787668850606,0.9030140999868695,1.3111051896126626,1.4303217370316599,-0.45227946786786916,1.6932572660545089,8.740701264084418,4.767739123438867,-1.5075982262262306,2.2385859000131303,0.2597948103873373,0.14057826296834008,1.1186205321321308,4.197642733945491,1.7312987359155816,0.4682608765611329,3.7284017737737694,0.14057826296834008,0.4682608765611329,jnt3,q3_act,True
