controller,rms_pos,max_pos,final_pos_err,max_tau,joint_limit_steps,torque_saturation_steps
pure_task_space_jtf_vsd,0.2941558428419837,0.46256134657107545,0.4621798839880553,10.0,0,302
ik_joint_space_vsd,0.3220107906481326,0.5127638821512834,0.5125490745920956,10.0,0,487
dls_resolved_rate_joint_torque,0.2951939617310745,0.4512279679184462,0.4507626026668362,10.0,0,475
