run_name,seed,profile,eval_type,global_step,utc_iso,logger_keys_concat
sac_tf_baseline_relative_rs1_30k_s6,6,medium_train,callback_followup_periodic_eval,1,2026-05-13T07:44:12+00:00,
sac_tf_baseline_relative_rs1_30k_s6,6,medium_train,callback_followup_periodic_eval,5000,2026-05-13T07:45:57+00:00,train/actor_loss=-23.6708;train/critic_loss=0.0867125;train/ent_coef=0.740887;train/ent_coef_loss=-1.51569;train/learning_rate=0.0001;train/n_updates=2999
sac_tf_baseline_relative_rs1_30k_s6,6,medium_train,callback_followup_periodic_eval,10000,2026-05-13T07:47:53+00:00,train/actor_loss=-40.4538;train/critic_loss=0.15998;train/ent_coef=0.449506;train/ent_coef_loss=-4.01449;train/learning_rate=0.0001;train/n_updates=7999
sac_tf_baseline_relative_rs1_30k_s6,6,medium_train,callback_followup_periodic_eval,15000,2026-05-13T07:49:49+00:00,train/actor_loss=-43.6814;train/critic_loss=0.290332;train/ent_coef=0.272799;train/ent_coef_loss=-6.46516;train/learning_rate=0.0001;train/n_updates=12999
sac_tf_baseline_relative_rs1_30k_s6,6,medium_train,callback_followup_periodic_eval,20000,2026-05-13T07:51:47+00:00,train/actor_loss=-40.4868;train/critic_loss=0.0705003;train/ent_coef=0.165638;train/ent_coef_loss=-8.89429;train/learning_rate=0.0001;train/n_updates=17999
sac_tf_baseline_relative_rs1_30k_s6,6,medium_train,callback_followup_periodic_eval,25000,2026-05-13T07:53:44+00:00,train/actor_loss=-34.5151;train/critic_loss=0.055744;train/ent_coef=0.100595;train/ent_coef_loss=-11.0493;train/learning_rate=0.0001;train/n_updates=22999
sac_tf_baseline_relative_rs1_30k_s6,6,medium_train,callback_followup_periodic_eval,30000,2026-05-13T07:55:42+00:00,train/actor_loss=-28.2626;train/critic_loss=0.0203669;train/ent_coef=0.0610361;train/ent_coef_loss=-13.5401;train/learning_rate=0.0001;train/n_updates=27999
