seed,ee_rms_zero,ee_rms_sac,delta_ee_rms,final_ee_zero,final_ee_sac,delta_final_ee,max_ee_zero,max_ee_sac,delta_max_ee,reward_zero,reward_sac,delta_reward,saturation_frac_zero,saturation_frac_sac,delta_saturation_frac,limit_frac_zero,limit_frac_sac,delta_limit_frac,ncon_zero,ncon_sac,mean_action_norm_sac,mean_residual_force_norm_sac,mean_residual_tau_norm_sac,rms_ee_error_velocity_zero,rms_ee_error_velocity_sac,delta_rms_ee_error_velocity,rms_ee_error_highfreq_zero,rms_ee_error_highfreq_sac,delta_rms_ee_error_highfreq,p2p_error_norm_zero,p2p_error_norm_sac,delta_p2p_error_norm,rms_residual_force_rate_zero,rms_residual_force_rate_sac,delta_rms_residual_force_rate,rms_tau_total_rate_zero,rms_tau_total_rate_sac,delta_rms_tau_total_rate,smooth_tracking_score_zero,smooth_tracking_score_sac,delta_smooth_tracking_score
10000,0.014957145716799567,0.014889871013617398,-6.727470318216959e-05,0.01592501343166702,0.01634964589133198,0.00042463245966496005,0.024724701244478516,0.025212295453052147,0.0004875942085736315,-1235.6675852224762,-1234.4709731242656,1.1966120982106077,0.706,0.708,0.0020000000000000018,0.0,0.0,0.0,0,0,0.156546202368051,0.13898370003980767,0.049877213066579086,0.45257890307638976,0.4526787187469916,9.981567060185492e-05,0.005159380085242978,0.005160747633531814,1.3675482888357224e-06,0.024293222584644062,0.02478086577707762,0.0004876431924335581,0.0,8.199069729026178,8.199069729026178,3518.726856872016,3518.78594073232,0.059083860303871916,3.5643786420601735,3.5645877855816233,0.00020914352144973947
10001,0.0237432276246788,0.02331455302134255,-0.00042867460333624943,0.007424954238474752,0.008405543770453683,0.000980589531978931,0.06165461415405625,0.06234123092507389,0.0006866167710176396,-885.6966638707362,-872.7464650188215,12.950198851914706,0.8,0.784,-0.016000000000000014,0.07,0.07,0.0,0,0,0.16141454950329293,0.13458884449185549,0.04627313503447227,0.9192573160604647,0.9201042598416003,0.0008469437811355895,0.017194095490545062,0.017224300452828186,3.0204962283123665e-05,0.061210313829735186,0.06189696501228187,0.0006866511825466826,0.0,7.941765192948471,7.941765192948471,2979.0461653218213,2973.6827265937704,-5.363438728050824,3.0528086177785716,3.0475497505014766,-0.005258867277095014
10002,0.01616761123942841,0.01712741495831553,0.0009598037188871221,0.008702658918057972,0.023497775305189737,0.014795116387131765,0.03627819865262734,0.0364471152288721,0.00016891657624475837,-1268.9597843861557,-1298.90780085566,-29.94801646950441,0.702,0.7,-0.0020000000000000018,0.0,0.0,0.0,0,0,0.14619051196860613,0.12763409307165208,0.046962754224340646,0.6045527122433789,0.605375051342395,0.0008223390990160784,0.007802169008539455,0.007716048836318631,-8.612017222082383e-05,0.035834729266822976,0.036003684233067684,0.00016895496624470818,0.0,8.106699262111807,8.106699262111807,3573.7733992908757,3573.510982526953,-0.262416763922829,3.6246760189816727,3.6328103586817093,0.00813433970003663
10003,0.026056029487792277,0.026540953957282745,0.0004849244694904685,0.010636730872127437,0.011490663747944942,0.0008539328758175053,0.04588232866163785,0.04616923757222305,0.0002869089105851999,-1094.4171135322845,-1121.4897702919388,-27.072656759654365,0.796,0.794,-0.0020000000000000018,0.03,0.03,0.0,0,0,0.15335201409280738,0.13091971336504987,0.04425828245867441,0.7480489252942726,0.7479523000145029,-9.662527976972424e-05,0.010529131951503562,0.010517576496007638,-1.1555455495923864e-05,0.045456699339840825,0.045743659962606646,0.00028696062276582085,0.0,8.211937252506061,8.211937252506061,3311.510741378175,3309.8939300372913,-1.6168113408839417,3.380498165205775,3.3797881823991918,-0.000709982806583298
10004,0.014382770484360546,0.01428671429570701,-9.605618865353611e-05,0.02113180860106043,0.02159449315452226,0.00046268455346182985,0.027283574010428864,0.02682121291285729,-0.00046236109757157376,-1333.4810653655286,-1332.3133428067097,1.167722558818923,0.762,0.762,0.0,0.0,0.0,0.0,0,0,0.1569132010419176,0.13977710101908275,0.054331623611199746,0.64779719135718,0.6481109409113901,0.00031374955421015205,0.006745338794384717,0.006748628478572855,3.289684188138506e-06,0.026916493506924478,0.026454228416552154,-0.0004622650903723241,0.0,8.47252554811094,8.47252554811094,3655.3431750153695,3655.338461027092,-0.004713988277671888,3.712816616144007,3.712962941515201,0.00014632537119396716
10005,0.02180145201762248,0.02172890624876199,-7.254576886048941e-05,0.010916994916067744,0.011331881009981887,0.00041488609391414355,0.0419670109220206,0.041455151500623934,-0.000511859421396664,-1154.076666588744,-1152.66829334211,1.408373246634028,0.856,0.856,0.0,0.0,0.0,0.0,0,0,0.16846531749836044,0.1388891564788687,0.04777069298084763,0.992751301128611,0.9929504394259874,0.00019913829737638888,0.011874641675749689,0.01187800522887155,3.3635531218618314e-06,0.04151693730167154,0.04100511485732542,-0.0005118224443461175,0.0,9.346921943272987,9.346921943272987,3400.5726632366586,3400.3584235128906,-0.21423972376805978,3.477707670602261,3.4776383523425203,-6.93182597406583e-05
10006,0.011406258828897245,0.011355736008527836,-5.052282036940858e-05,0.009541942784831222,0.009589524277695848,4.758149286462551e-05,0.03088453239878543,0.03076546619905235,-0.00011906619973308177,-44.80139289054932,-44.81453878768298,-0.013145897133654216,0.32727272727272727,0.32727272727272727,0.0,0.03636363636363636,0.03636363636363636,0.0,0,0,0.1625593764252581,0.1149239891854398,0.030055990135649444,0.5375269668273125,0.5367487501567537,-0.0007782166705587734,0.008932406245040228,0.008920940370594686,-1.1465874445542451e-05,0.03042995579194226,0.03031091797627138,-0.00011903781567088045,0.0,7.94603257097383,7.94603257097383,2020.4012115279234,2020.751281483916,0.3500699559926943,2.0636334382155024,2.063917635946541,0.0002841977310388266
10007,0.037448784749795544,0.03755003651299226,0.00010125176319671775,0.030859409639332692,0.03152686201213414,0.0006674523728014449,0.0648320137640513,0.06495829967846638,0.0001262859144150752,-1099.1802544246784,-1102.1095055924065,-2.9292511677281254,0.86,0.858,-0.0020000000000000018,0.026,0.026,0.0,0,0,0.17251684322327548,0.15023890492463782,0.05518120732194126,1.2356309914187555,1.2353272089710894,-0.0003037824476661566,0.019829069410575162,0.019822440028185465,-6.629382389697347e-06,0.06437350149617536,0.06449981193639157,0.0001263104402162013,0.0,7.7465977554204475,7.7465977554204475,3318.7091132297114,3318.584998133667,-0.12411509604453386,3.4337657337583227,3.434061274901844,0.00029554114352148275
10008,0.013988678360720035,0.014827307417726268,0.0008386290570062335,0.024733192495336058,0.02786918881298297,0.0031359963176469108,0.027189494835972494,0.027931606488803874,0.0007421116528313794,-1313.0309964086773,-1449.4801034197826,-136.4491070111053,0.714,0.742,0.028000000000000025,0.0,0.0,0.0,0,0,0.15089543682822215,0.13038634930828888,0.050749613242196866,0.9313182169412094,0.9484543815133964,0.01713616457218703,0.009945808850097236,0.010009875471656157,6.406662155892043e-05,0.026747275012366636,0.027489428619056514,0.0007421536066898778,0.0,8.302012684892663,8.302012684892663,3518.8615450020034,3562.349143588987,43.487598586983495,3.5919816466344536,3.638733961998308,0.04675231536385427
10009,0.014312313797081032,0.014295365882840548,-1.694791424048346e-05,0.009448595472902516,0.00947102530107839,2.242982817587426e-05,0.037761047841312005,0.03777711552131892,1.6067680006913443e-05,-63.418578405398875,-63.448024306118896,-0.02944590072002029,0.41935483870967744,0.41935483870967744,0.0,0.11290322580645161,0.11290322580645161,0.0,0,0,0.17725505495629915,0.120033365720874,0.031216721818005964,0.4933244850703079,0.4936388641973801,0.0003143791270722174,0.008669432278205155,0.008683903721032176,1.4471442827021855e-05,0.03730141370020703,0.03731750607674213,1.609237653509704e-05,0.0,8.98518766467112,8.98518766467112,2257.0210299858118,2257.515808187329,0.4947782015174198,2.3008972544184236,2.301402308004999,0.0005050535865751549
