seed,F_res_x,F_res_y,F_res_z,actuator_limit_violation,ee_act_x,ee_act_y,ee_act_z,ee_des_x,ee_des_y,ee_des_z,ee_err_norm,ee_err_x,ee_err_y,ee_err_z,hys_z_q2,hys_z_q3,hys_z_q4,joint_limit_violation,mode,ncon,q_des_1,q_des_2,q_des_3,q_des_4,q_err_norm,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,qdot_des_1,qdot_des_2,qdot_des_3,qdot_des_4,qdot_jnt_1,qdot_jnt_2,qdot_jnt_3,qdot_jnt_4,reward_step,sac_action_x,sac_action_y,sac_action_z,saturation_flag,tau_act_ideal_1,tau_act_ideal_2,tau_act_ideal_3,tau_act_ideal_4,tau_act_out_1,tau_act_out_2,tau_act_out_3,tau_act_out_4,tau_hys_q2,tau_hys_q3,tau_hys_q4,tau_loss_q2,tau_loss_q3,tau_loss_q4,tau_res_norm,tau_residual_1,tau_residual_2,tau_residual_3,tau_residual_4,tau_total_1,tau_total_2,tau_total_3,tau_total_4,tau_total_norm,tau_trans_err_q2,tau_trans_err_q3,tau_trans_err_q4,tau_vsd_1,tau_vsd_2,tau_vsd_3,tau_vsd_4,tau_vsd_norm,time
10002,0.0,0.0,0.0,0,0.24990118864375155,-0.19990301508803998,-0.10043818671790414,0.25000022419949214,-0.2000002089585883,-0.10000029799319837,0.0004593486965230803,9.903555574058975e-05,-9.719387054832329e-05,0.000437888724705765,-0.21773628847919224,-0.07744477392215159,0.002196534629029234,0,zero,0,0.674745248144471,1.2749748210457639,1.4161908084926023,-0.4505546246224499,0.001831178979392571,0.6747014285001551,1.2765770737527793,1.4154410884400725,-0.450083453317044,0.0001691451248722581,4.051097049428943e-05,-3.731122006412965e-05,2.7599376143558434e-05,0.0004290657467207637,0.258525085376279,-0.10803718779497376,0.0646827050974828,-0.002408950589597225,0.0,0.0,0.0,0,0.001937859402758037,-1.0471360525969733,-0.41787250569010187,0.011124880438366014,0.001937859402758037,-0.17608255659483285,-0.06934286159341845,-0.00943409974261982,-0.0010432962202045685,-0.0002512865559791109,6.441398321642105e-06,0.0061643888616177735,-0.006453070206766203,0.00943409974261982,0.0,0.0,0.0,0.0,0.0,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,7.1186125621645395,-0.8710534960021404,-0.3485296440966834,0.020558980180985835,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,7.1186125621645395,0.01
10002,0.0,0.0,0.0,0,0.24954114385890402,-0.19961711966055676,-0.10147161697162232,0.24999955556479916,-0.20000128432795145,-0.10000051239718719,0.001588040444289803,0.0004584117058951398,-0.00038416466739468746,0.0014711045744351392,-0.5336419256985337,-0.12358514365236219,-0.014959686322178936,0,zero,0,0.6747491756454739,1.2749757616988118,1.4161899421368365,-0.45055398377289796,0.005886290975910827,0.6747066374304423,1.2802628143094124,1.4139805350602406,-0.449207801387045,0.0006711570303797269,0.00016074493826104592,-0.00014804853333489653,0.0001095125582060559,0.0005443194503808099,0.4271612386335976,-0.16035604638296044,0.09832397248535027,-0.009270435199141502,0.0,0.0,0.0,0,0.0005448584430728751,-1.453511211592947,-0.14392641614109133,-0.09134400033960545,0.0005448584430728751,-0.4980804347783385,-0.11909291497406244,-0.02095113017816635,-0.0025569766432257915,-0.0004009991061476003,-4.3869692330124094e-05,0.007499263144882631,-0.007560660944336822,0.010278857317482225,0.0,0.0,0.0,0.0,0.0,0.0010216734353513503,-9.69007474395298,-0.47975472047030443,-0.3044800011320182,9.706720468320642,-0.9554307768146084,-0.0248335011670289,-0.0703928701614391,0.0010216734353513503,-9.69007474395298,-0.47975472047030443,-0.3044800011320182,9.706720468320642,0.02
10002,0.0,0.0,0.0,0,0.24892789738276866,-0.19912881706296953,-0.10282125255679142,0.24999775465697027,-0.2000041806899613,-0.10000108986762016,0.0031407282053714796,0.0010698572742016133,-0.0008753636269917542,0.0028201626891712628,-0.7733417411122584,-0.10489841117830329,-0.0512673613434179,0,zero,0,0.6747597538800797,1.274978295230596,1.4161876087155238,-0.45055225772447627,0.010832641549260096,0.674712219654933,1.2849269307939737,1.4125665784473105,-0.4482595183899741,0.0014979496187155748,0.00035876524878590565,-0.0003304282515448521,0.00024442013922809647,0.0005166769861516238,0.4758113422439576,-0.11380351708578026,0.08554446536919018,-0.020870419219136238,0.0,0.0,0.0,0,0.002697393806072324,-1.749440429473293,0.01276682447396753,-0.15295438147974383,0.002697393806072324,-0.8581409064288913,-0.10119493452669362,-0.05648786843912123,-0.0037055123932910367,-0.0003403659038268153,-0.00015034294973007516,0.008018717885637962,-0.007159355811369509,0.010227664476836118,0.0,0.0,0.0,0.0,0.0,0.005057929506979794,-11.662936196488621,0.04255608157989177,-0.5098479382658128,11.674153598708932,-0.8912995230444017,0.11396175900066115,-0.09646651304062259,0.005057929506979794,-11.662936196488621,0.04255608157989177,-0.5098479382658128,11.674153598708932,0.03
10002,0.0,0.0,0.0,0,0.24797363868791242,-0.19836780386826142,-0.10420180132123133,0.24999427529614904,-0.20000977626869704,-0.10000220551146763,0.004941219549030699,0.00202063660823662,-0.0016419724004356206,0.004199595809763701,-0.9137096497569639,-0.0837842931789663,-0.08440505936579816,0,zero,0,0.6747801904974382,1.2749831898866104,1.4161831006628787,-0.4505489230857156,0.015164155594940571,0.6747180408665443,1.2893585504131155,1.4122586076512016,-0.44773909806176065,0.0026415022665491382,0.0006326509289675764,-0.0005826811292465269,0.0004310133957074453,0.0005882210927161901,0.4073497555672496,0.03652514676971403,0.023689233840738483,-0.037373825907707214,0.0,0.0,0.0,0,0.0075274086905747105,-1.8778174602910889,-0.06969888744757749,-0.14560971590111735,0.0075274086905747105,-1.183818061324268,-0.0863246847506594,-0.08927176772934593,-0.004378093475433604,-0.00027185651673862656,-0.00024752016223720483,0.007693084064896881,-0.0010165944662058912,0.009119283825447484,0.0,0.0,0.0,0.0,0.0,0.014114773468169342,-12.51878306860726,-0.23232962482525832,-0.4853657196703912,12.530350580972602,-0.693999398966821,0.016625797303081905,-0.056337948171771415,0.014114773468169342,-12.51878306860726,-0.23232962482525832,-0.4853657196703912,12.530350580972602,0.04
10002,0.0,0.0,0.0,0,0.24663787334175707,-0.19730281314124942,-0.10537305311290057,0.24998858474903668,-0.20001892734346802,-0.10000403007509193,0.0068870132622848345,0.003350711407279605,-0.0027161142022185947,0.005369023037808646,-0.9843466942276563,-0.1366105805458509,-0.091762333992121,0,zero,0,0.674813613267838,1.274991194781026,1.4161757280333542,-0.45054346949896446,0.01792332558257251,0.6747269066290364,1.2925783378928077,1.4138479162491528,-0.4479916522326372,0.004093859825025924,0.000980496687117838,-0.0009030523638124315,0.0006679942875990287,0.0010792361488943145,0.2572144825897856,0.24483551600192938,-0.05423759377649997,-0.05879303440451622,0.0,0.0,0.0,0,0.013799537671343391,-1.8285789926318454,-0.4231190999205961,-0.05923919028112006,0.013799537671343391,-1.4230288419798347,-0.15432148440317991,-0.07883145077586995,-0.004716555024573761,-0.00044326299319023284,-0.0002690955727968829,0.006732279438795548,0.008270959479451619,-0.009115934878718375,0.0,0.0,0.0,0.0,0.0,0.025875750368166868,-12.190526617545636,-1.4103969997353203,-0.19746396760373355,12.27346000453458,-0.4055501506520107,-0.2687976155174162,0.019592260494749887,0.025875750368166868,-12.190526617545636,-1.4103969997353203,-0.19746396760373355,12.27346000453458,0.05
10002,0.0,0.0,0.0,0,0.24501115812394142,-0.1960085419785892,-0.10618220487836985,0.24998016351044947,-0.20003246837642905,-0.10000672997999649,0.008889290658248153,0.004969005386508046,-0.004023926397839855,0.006175474898373362,-1.0,-0.28704341822521623,-0.059853723940578425,0,zero,0,0.6748630707374513,1.2750030400535028,1.4161648183572169,-0.4505353995335546,0.019183127172477436,0.6747445078032123,1.2940772774780143,1.4174812116263533,-0.4489801225870248,0.005847132619767606,0.0014004129129615418,-0.0012898015954350547,0.0009540754583149339,0.0022535972031719007,0.07849992016576307,0.43338587737605777,-0.12805445009519806,-0.08469218015670776,0.0,0.0,0.0,0,0.01983368495189279,-1.6418959916796412,-0.9502934760472792,0.060534386184892416,0.01983368495189279,-1.5476556794014407,-0.34274775558832016,-0.04802188513039183,-0.004791558758953817,-0.0009313753314690056,-0.00017552269462979659,0.005490084344178149,0.011522584725441248,-0.010677075366637465,0.0,0.0,0.0,0.0,0.0,0.03719048369002961,-10.945973277864274,-3.1676449201575974,0.20178128728297473,11.396947142103173,-0.09424031227820051,-0.607545720458959,0.10855627131528425,0.03719048369002961,-10.945973277864274,-3.1676449201575974,0.20178128728297473,11.396947142103173,0.060000000000000005
10002,0.0,0.0,0.0,0,0.24331166494435988,-0.19466255520169146,-0.10657790225726535,0.2499685050602599,-0.20005121212827398,-0.1000104673585806,0.010792698687053383,0.006656840115900009,-0.005388656926582525,0.006567434898684749,-0.9898717279404716,-0.47458889383490604,0.006440448231176088,0,zero,0,0.6749315328830795,1.2750194370260057,1.4161497164961168,-0.45052422857896623,0.01991388233412173,0.6747786400208168,1.2939202098532465,1.4224177270333647,-0.45063451832418416,0.007893496450872029,0.0018905256776366116,-0.001741202907126866,0.00128798023472441,0.004263227076841603,-0.0707774977691918,0.514143867615669,-0.18776523578703153,-0.11299779266119003,0.0,0.0,0.0,0,0.02413162812767977,-1.3898326379440014,-1.4655887751435712,0.18280271602920625,0.02413162812767977,-1.5480364021243744,-0.6410769607733716,0.012008695244616653,-0.004743028548253917,-0.0015399077639194714,1.888679189421893e-05,-0.005015230539495553,0.013287449310941937,-0.012008695244616653,0.0,0.0,0.0,0.0,0.0,0.04524963084132715,-9.265550919626676,-4.885295917145237,0.6093423867640209,10.492373216563983,0.15820376418037307,-0.8245118143701996,0.1707940207845896,0.04524963084132715,-9.265550919626676,-4.885295917145237,0.6093423867640209,10.492373216563983,0.07
10002,0.0,0.0,0.0,0,0.2418619379861798,-0.19352598329628057,-0.10660895169214171,0.24995311559825825,-0.2000759497631945,-0.10001540008989313,0.012322505370232611,0.008091177612078448,-0.006549966466913942,0.006593551602248587,-0.8666804439744336,-0.6162909809430185,0.08987488961316828,0,zero,0,0.675021891766897,1.2750410783596178,1.4161297844986596,-0.45050948473799374,0.020947962865621075,0.6748373663785099,1.2926725714389733,1.4272162035040903,-0.4527466400810897,0.010225192592913197,0.0024489767336940407,-0.0022555448247203124,0.001668442627153865,0.0070293827398769815,-0.15010887703839915,0.4350993514044424,-0.2195282204807946,-0.1384122371673584,0.0,0.0,0.0,0,0.025663777838824193,-1.1597920357986804,-1.7445426013512297,0.29183688044482103,0.025663777838824193,-1.4702312076572341,-0.9691389820386435,0.09185782362159786,-0.00415275027253968,-0.001999691266938577,0.0002635605901500798,-0.005678464234742243,0.012538862985464475,-0.012865522965649278,0.0,0.0,0.0,0.0,0.0,0.048122591109739724,-7.731946905324537,-5.815142004504099,0.9727896014827367,9.723554641787832,0.31043917185855374,-0.7754036193125863,0.19997905682322317,0.048122591109739724,-7.731946905324537,-5.815142004504099,0.9727896014827367,9.723554641787832,0.08
10002,0.0,0.0,0.0,0,0.24101380468964095,-0.1928826202555801,-0.1063860522833742,0.24993351375938053,-0.2001074509442334,-0.10002168183538782,0.01312496093585438,0.008919709069739573,-0.0072248306886533165,0.006364370447986378,-0.6807758415521674,-0.6877532346049868,0.16927884428157558,0,zero,0,0.6751369621911961,1.275068638211355,1.4161044014559785,-0.45049070871991087,0.021857227714577716,0.67492658277174,1.2911048417060451,1.430323826387431,-0.4547734970595851,0.012834527794941297,0.0030739235150978976,-0.0028311303168678218,0.002094207329386871,0.01024104100061858,-0.1514190396627272,0.21196633956456887,-0.1798390989797986,-0.15271258354187012,0.0,0.0,0.0,0,0.02463506594138873,-1.0206342269489823,-1.6382914568573914,0.3646922247541195,0.02463506594138873,-1.3495882227144076,-1.2121939060260147,0.17908648525914878,-0.0032619774464734434,-0.0022315662237080646,0.00049641487506471,-0.005791691045893163,0.009321253341942545,-0.012383586732117466,0.0,0.0,0.0,0.0,0.0,0.046193635742337764,-6.804228179659882,-5.460971522857972,1.2156407491803984,8.80906620348572,0.3289539957654253,-0.4260975508313767,0.18560573949497072,0.046193635742337764,-6.804228179659882,-5.460971522857972,1.2156407491803984,8.80906620348572,0.09
10002,0.0,0.0,0.0,0,0.24103626489259458,-0.19294883289633943,-0.10603710337217395,0.24990923031164866,-0.2001464639201012,-0.1000294620746778,0.012908414373629645,0.00887296541905408,-0.0071976310237617525,0.006007641297496147,-0.5082748504310256,-0.7025873274006675,0.2221427582581155,0,zero,0,0.6752794823531326,1.2751027723909798,1.4160729633573068,-0.4504674537336362,0.021480623285236533,0.6750485475139208,1.2898933867912803,1.4306864911086261,-0.4558569229232066,0.015713874280482674,0.00376353913722532,-0.0034662767950418014,0.0025640297186641592,0.013502753920175945,-0.09594542339169874,-0.08370113818483951,-0.04796473252816233,-0.14877848327159882,0.0,0.0,0.0,0,0.02263971587518336,-0.9959111730132412,-1.1584148455149081,0.3298397609913923,0.02263971587518336,-1.2332814566494426,-1.2621632862221512,0.2413637286589046,-0.002435428811538722,-0.002279698691541829,0.0006514397593818808,-0.0054614157698978354,-0.0053925723920534565,-0.01000905417242683,0.0,0.0,0.0,0.0,0.0,0.04245212052350152,-6.639407820088275,-3.861382818383027,1.0994658699713076,7.759036077588613,0.23737028363620138,0.1037484407072431,0.08847603233248769,0.04245212052350152,-6.639407820088275,-3.861382818383027,1.0994658699713076,7.759036077588613,0.09999999999999999
