waypoint,desired_xyz,q_jnt,q_act_equiv,residual_norm,joint_margin_min,delta_q_from_prev,ee_solved_xyz
0,"[0.25, -0.2, -0.1]","[0.6747446831943159, 1.27497468573782, 1.416190933113277, -0.4505547168052535]","[1.2652253575741907, 8.499831238252133, 4.720636443710923, -1.5018490560175117]",4.206641397447178e-07,0.15470906688672303,"[4.5915836315968406e-05, 4.885237819829413e-06, 7.56341132770455e-05, -4.648680525354276e-05]","[0.25000032037865044, -0.20000005427222964, -0.10000026715232341]"
1,"[0.0, -0.35, -0.15]","[1.562799101628101, 1.4876674610505802, 1.220297657429471, -0.305651042952779]","[2.9304314675194094, 9.917783073670535, 4.067658858098237, -1.0188368098425968]",0.003550891338349354,0.08323253894941973,"[0.8880544184337852, 0.21269277531276032, -0.19589327568380588, 0.1449036738524745]","[0.0027910198194953002, -0.3488444570141578, -0.14813351719219817]"
2,"[-0.25, -0.2, -0.1]","[2.4572805432075264, 1.284856214401992, 1.4009462509916852, -0.4605662548844101]","[4.607688999076554, 8.56570809601328, 4.669820836638951, -1.5352208496147004]",0.003598232954268489,0.16995374900831473,"[0.8944814415794253, -0.2028112466485883, 0.1806485935622142, -0.1549152119316311]","[-0.24879047334260124, -0.20296808157966648, -0.10163548689834867]"
