sample_index,t,task_mode,des_x,des_y,des_z,sol_x,sol_y,sol_z,residual_norm,ik_success,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,q_act_1,q_act_2,q_act_3,q_act_4,j_margin_min,j_margin_1,j_margin_2,j_margin_3,j_margin_4,a_margin_min,a_margin_1,a_margin_2,a_margin_3,a_margin_4,active_limit_name,active_limit_margin
0,0.0,xyz,0.25,-0.2,-0.1,0.25000032037865044,-0.20000005427222964,-0.10000026715232341,4.206641397447178e-07,True,0.6747446831943159,1.27497468573782,1.416190933113277,-0.4505547168052535,1.2652253575741907,8.499831238252133,4.720636443710923,-1.5018490560175117,0.15470906688672303,2.466855316805684,0.29592531426218005,0.15470906688672303,1.1203452831947465,0.5153635562890768,4.6256746424258095,1.9721687617478665,0.5153635562890768,3.7341509439824883,jnt3,0.15470906688672303
1,0.02,xyz,0.2498494464,-0.20009033216000002,-0.10003011072000001,0.24985072936957203,-0.20008911774541877,-0.10003012288744653,1.7666243926393207e-06,True,0.6752538936415395,1.2750416322206375,1.41627508262065,-0.450594367461752,1.2661801868395641,8.500277548137584,4.7209169420688335,-1.5019812248725068,0.1546249173793499,2.4663461063584604,0.2958583677793625,0.1546249173793499,1.1203056325382479,0.5150830579311663,4.624719813160436,1.9717224518624157,0.5150830579311663,3.7340187751274927,jnt3,0.1546249173793499
2,0.04,xyz,0.2488686848,-0.20067878912,-0.10022626304,0.24887704368864336,-0.20067083698819024,-0.10022624541398376,1.1537232352193805e-05,True,0.678577966498781,1.275487765936897,1.4168101582078663,-0.45084247583798753,1.2724132130110275,8.503251772912648,4.722700527359555,-1.5028082527932918,0.1540898417921337,2.463022033501219,0.2954122340631029,0.1540898417921337,1.1200575241620125,0.513299472640445,4.6184867869889725,1.9687482270873513,0.513299472640445,3.7331917472067078,jnt3,0.1540898417921337
3,0.06,xyz,0.2464202752,-0.20214783488000002,-0.10071594496000001,0.24644135012166082,-0.20212782593856995,-0.10071566633998907,2.9061790882041425e-05,True,0.6869333068955521,1.2766197672260537,1.4181050751879254,-0.45143236418949406,1.2880804554576264,8.510798448173691,4.727016917293085,-1.5047745472983136,0.15279492481207457,2.454666693104448,0.2942802327739462,0.15279492481207457,1.1194676358105058,0.5089830827069148,4.602819544542374,1.9612015518263082,0.5089830827069148,3.731225452701686,jnt3,0.15279492481207457
4,0.08,xyz,0.2420603136,-0.20476381184,-0.10158793728000001,0.24209838738915235,-0.20472772941778447,-0.10158657323661954,5.2472995223273884e-05,True,0.7019608397972973,1.2787006087951627,1.4202604933663316,-0.4523749436865456,1.3162588407974822,8.524670725301085,4.734201644554439,-1.5079164789551522,0.15063950663366832,2.4396391602027028,0.2921993912048373,0.15063950663366832,1.1185250563134543,0.501798355445561,4.574641159202518,1.9473292746989141,0.501798355445561,3.7280835210448475,jnt3,0.15063950663366832
5,0.1,xyz,0.23552,-0.208688,-0.102896,0.23557829530028818,-0.20863290059385353,-0.10289184891712908,8.032134263310049e-05,True,0.72481773593567,1.28197501046013,1.4231264778656019,-0.4535268422688434,1.3591181997668667,8.5465000697342,4.743754926218673,-1.5117561408961446,0.1477735221343981,2.41678226406433,0.28892498953987,0.1477735221343981,1.1173731577311565,0.4922450737813264,4.531781800233134,1.925499930265799,0.4922450737813264,3.724243859103855,jnt3,0.1477735221343981
6,0.12,xyz,0.2266872064,-0.21398767616,-0.10466255872,0.2267681523542106,-0.2139116280599054,-0.10465294867017039,0.0001114805547563768,True,0.7562364857082505,1.2866752132340584,1.4262906869302983,-0.4545820617292116,1.4180320377053264,8.577834754893724,4.7543022897676614,-1.5152735390973722,0.1446093130697017,2.3853635142917495,0.28422478676594154,0.1446093130697017,1.1163179382707884,0.4816977102323383,4.472867962294674,1.8941652451062758,0.4816977102323383,3.7207264609026276,jnt3,0.1446093130697017
7,0.14,xyz,0.2155880448,-0.22064717312,-0.10688239104000001,0.21569342447506604,-0.2205494175857229,-0.10686383988795325,0.0001449315895210178,True,0.7965334931344672,1.293003947254906,1.429106913326018,-0.45509436534467534,1.4935936492302029,8.620026315032707,4.763689711086727,-1.5169812178155846,0.14179308667398205,2.3450665068655328,0.277896052745094,0.14179308667398205,1.1158056346553247,0.4723102889132731,4.397306350769798,1.8519736849672928,0.4723102889132731,3.719018782184415,jnt3,0.14179308667398205
8,0.16,xyz,0.20236843519999997,-0.22857893888000003,-0.10952631296000001,0.20249929403668745,-0.22846020396484665,-0.10949491120492233,0.00017946611222634636,True,0.8455696706242857,1.3011026522431064,1.430762930822454,-0.4545287368239682,1.5855422288098362,8.67401768162071,4.769209769408181,-1.5150957894132275,0.14013706917754587,2.2960303293757143,0.26979734775689357,0.14013706917754587,1.1163712631760316,0.466790230591819,4.305357771190164,1.7979823183792902,0.466790230591819,3.720904210586772,jnt3,0.14013706917754587
9,0.18,xyz,0.1872756736,-0.23763459584000002,-0.11254486528,0.18743190610225344,-0.23749737512877997,-0.11249679322194117,0.00021342221326309642,True,0.9026826281908384,1.3110201159600452,1.4303795631165785,-0.4523337355584219,1.6926357175901714,8.740134106400301,4.767931877055262,-1.507779118528073,0.14052043688342142,2.2389173718091615,0.25987988403995477,0.14052043688342142,1.1185662644415781,0.46806812294473765,4.198264282409829,1.7318658935996982,0.46806812294473765,3.728220881471927,jnt3,0.14052043688342142
