sample_index,t,task_mode,des_x,des_y,des_z,sol_x,sol_y,sol_z,residual_norm,ik_success,q_jnt_1,q_jnt_2,q_jnt_3,q_jnt_4,q_act_1,q_act_2,q_act_3,q_act_4,j_margin_min,j_margin_1,j_margin_2,j_margin_3,j_margin_4,a_margin_min,a_margin_1,a_margin_2,a_margin_3,a_margin_4,active_limit_name,active_limit_margin
0,0.0,xyz_roll_pitch,0.25,-0.2,-0.1,0.25000188981146776,-0.20000130992788942,-0.10000051814856833,7.204542396397557e-06,True,0.6747446842757324,1.2749341284920295,1.4163231088101753,-0.45033143443505574,1.2652253596019734,8.499560856613531,4.721077029367251,-1.5011047814501859,0.15457689118982465,2.4668553157242674,0.2959658715079705,0.15457689118982465,1.1205685655649442,0.5149229706327487,4.625674640398027,1.9724391433864685,0.5149229706327487,3.7348952185498137,jnt3,0.15457689118982465
1,0.02,xyz_roll_pitch,0.2498494464,-0.20009033216000002,-0.10003011072000001,0.24985309648547066,-0.20009101353799388,-0.10003053000762399,7.795234080470152e-06,True,0.6752538959770363,1.274938009414694,1.4166105022407602,-0.4500404593415688,1.2661801912188944,8.499586729431295,4.722035007469201,-1.500134864471896,0.15428949775923972,2.4663461040229637,0.2959619905853059,0.15428949775923972,1.1208595406584312,0.5139649925307985,4.624719808781106,1.9724132705687047,0.5139649925307985,3.735865135528104,jnt3,0.15428949775923972
2,0.04,xyz_roll_pitch,0.2488686848,-0.20067878912,-0.10022626304,0.24889172084545255,-0.20068267225392214,-0.10022865048242219,2.509487770526652e-05,True,0.6785779785969737,1.2750010750510528,1.4183920319229866,-0.4482006259058819,1.2724132356965567,8.500007167007018,4.727973439743288,-1.4940020863529397,0.1525079680770134,2.4630220214030265,0.2958989249489472,0.1525079680770134,1.122699374094118,0.5080265602567113,4.6184867643034435,1.9719928329929814,0.5080265602567113,3.74199791364706,jnt3,0.1525079680770134
3,0.06,xyz_roll_pitch,0.2464202752,-0.20214783488000002,-0.10071594496000001,0.24647756714987196,-0.20215753588481397,-0.10072181333976532,6.0465970398317275e-05,True,0.6869333483789387,1.2751726342582557,1.422810592996457,-0.44361888835096674,1.2880805332438379,8.501150895055039,4.742701976654857,-1.4787296278365558,0.148089407003543,2.454666651621061,0.2957273657417443,0.148089407003543,1.127281111649033,0.49329802334514294,4.602819466756163,1.9708491049449606,0.49329802334514294,3.757270372163444,jnt3,0.148089407003543
4,0.08,xyz_roll_pitch,0.2420603136,-0.20476381184,-0.10158793728000001,0.24216009470689479,-0.20477992848411508,-0.10159742705131927,0.00010462322362043863,True,0.7019609429913091,1.2755909992081702,1.4303952202819872,-0.4356260700093542,1.3162590342983482,8.503939994721135,4.7679840676066245,-1.4520869000311807,0.14050477971801278,2.4396390570086908,0.29530900079182976,0.14050477971801278,1.1352739299906458,0.46801593239337524,4.5746409657016525,1.9680600052788648,0.46801593239337524,3.783913099968819,jnt3,0.14050477971801278
5,0.1,xyz_roll_pitch,0.23552,-0.208688,-0.102896,0.23566338014962523,-0.20870829197953142,-0.10290740072733542,0.0001494204549855479,True,0.7248179382140651,1.2765355278746262,1.440945942121401,-0.4241406892106842,1.3591185790625635,8.510236852497508,4.80315314040467,-1.4138022973689475,0.12995405787859893,2.416782061785935,0.29436447212537376,0.12995405787859893,1.1467593107893157,0.43284685959532965,4.5317814209374365,1.9617631475024915,0.43284685959532965,3.822197702631052,jnt3,0.12995405787859893
6,0.12,xyz_roll_pitch,0.2266872064,-0.21398767616,-0.10466255872,0.2268688015089636,-0.21400663747771453,-0.10467219225443214,0.00018772148987986344,True,0.7562368123847035,1.278431105158624,1.453515121120131,-0.4096834087370181,1.4180326502619605,8.522874034390826,4.84505040373377,-1.365611362456727,0.11738487887986904,2.3853631876152965,0.29246889484137606,0.11738487887986904,1.161216591262982,0.39094959626623016,4.47286734973804,1.9491259656091735,0.39094959626623016,3.8703886375432726,jnt3,0.11738487887986904
7,0.14,xyz_roll_pitch,0.2155880448,-0.22064717312,-0.10688239104000001,0.21579763919445188,-0.22065607675499332,-0.10688488301334939,0.00021477736332759626,True,0.796533955279319,1.2818013479525834,1.4664967070446842,-0.3933348540712336,1.4935945158059611,8.54534231968389,4.888322356815614,-1.3111161802374454,0.10440329295531581,2.345066044720681,0.2890986520474166,0.10440329295531581,1.1775651459287664,0.34767764318438577,4.397305484194039,1.9266576803161097,0.34767764318438577,3.924883819762554,jnt3,0.10440329295531581
8,0.16,xyz_roll_pitch,0.20236843519999997,-0.22857893888000003,-0.10952631296000001,0.20259326959726298,-0.22856634959884364,-0.1095151639992713,0.00022971413885813498,True,0.845570242973993,1.287183405650981,1.4778153997684926,-0.37663187249153957,1.585543302032614,8.581222704339874,4.926051332561642,-1.2554395749717986,0.09308460023150733,2.296029757026007,0.28371659434901897,0.09308460023150733,1.1942681275084603,0.30994866743835736,4.305356697967387,1.8907772956601256,0.30994866743835736,3.980560425028201,jnt3,0.09308460023150733
9,0.18,xyz_roll_pitch,0.1872756736,-0.23763459584000002,-0.11254486528,0.18750279254217336,-0.23758732269228028,-0.1125131870140656,0.0002368814638687436,True,0.902683250527696,1.2950317548200134,1.4851883616596309,-0.3614021703345411,1.6926368845447142,8.633545032133423,4.95062787219877,-1.204673901115137,0.0857116383403691,2.238916749472304,0.27586824517998654,0.0857116383403691,1.2094978296654588,0.2853721278012298,4.198263115455286,1.8384549678665767,0.2853721278012298,4.031326098884863,jnt3,0.0857116383403691
10,0.2,xyz_roll_pitch,0.17064,-0.247616,-0.115872,0.17085817271440032,-0.24752037693237391,-0.11581325220419911,0.00024632957363613257,True,0.9666290509325032,1.3056418686151319,1.486423527327382,-0.34954240249947405,1.8125427544205948,8.70427912410088,4.954745091091274,-1.1651413416649135,0.08447647267261793,2.1749709490674967,0.2652581313848681,0.08447647267261793,1.221357597500526,0.28125490890872573,4.078357245579405,1.7677208758991192,0.28125490890872573,4.070858658335086,jnt3,0.08447647267261793
11,0.22,xyz_roll_pitch,0.15285616640000002,-0.25828630016,-0.11942876672,0.15305713540565716,-0.2581296652304911,-0.11933738697777502,0.00027075179368104066,True,1.0355840183048586,1.3191155779570036,1.4797145925004864,-0.342757827301357,1.9418413994090729,8.79410385304669,4.932381975001622,-1.1425260910045234,0.09118540749951354,2.1060159816951414,0.25178442204299634,0.09118540749951354,1.228142172698643,0.30361802499837776,3.949058600590927,1.6778961469533087,0.30361802499837776,4.093473908995477,jnt3,0.09118540749951354
