policy,episode,profile,total_reward,mean_reward,mean_ee_error,max_ee_error,final_ee_error,mean_q_error,max_q_error,mean_force_residual_norm,max_force_residual_norm,mean_tau_residual_norm,max_tau_residual_norm,saturation_steps,joint_limit_steps,actuator_limit_steps,ncon_max,nan_flag,terminated,truncated,num_steps
zero_force,0,medium_train,-139.14043684033234,-0.2782808736806647,0.015163784380384192,0.0377528388435047,0.019966567787224932,0.1673624799454808,0.30752129635574066,0.0,0.0,0.0,0.0,377,0,0,0,0,0,1,500
zero_force,1,medium_train,-148.15795338199987,-0.29631590676399977,0.014674671903452119,0.03454014321712345,0.004440122647531201,0.17799478012331582,0.3244871172270666,0.0,0.0,0.0,0.0,368,0,0,0,0,0,1,500
zero_force,2,medium_train,-439.3605638819523,-0.8787211277639047,0.03118661533873019,0.05217556927722979,0.012692867888428608,0.2076935798146905,0.3563502043914986,0.0,0.0,0.0,0.0,415,17,21,0,0,0,1,500
zero_force,3,medium_train,-40.59548151640997,-0.7249193127930351,0.008976856734125077,0.03518580900947112,0.004197296770705005,0.10950510454746257,0.4177416041273819,0.0,0.0,0.0,0.0,21,2,3,0,0,1,0,56
zero_force,4,medium_train,-341.311070496948,-0.70958642514958,0.023152495256007214,0.047611086377218545,0.013578232378711553,0.21072340240671114,0.3934356649451489,0.0,0.0,0.0,0.0,374,10,14,0,0,1,0,481
zero_force,5,medium_train,-55.78011902518159,-0.858155677310486,0.01120649669711407,0.044123191214244864,0.004562442706233647,0.13156001112112511,0.4202322339981292,0.0,0.0,0.0,0.0,28,4,4,0,0,1,0,65
zero_force,6,medium_train,-128.96242282597302,-0.25792484565194607,0.018507037502361354,0.03240687029125059,0.011775795617058842,0.13847508131081532,0.28673099084237375,0.0,0.0,0.0,0.0,420,0,0,0,0,0,1,500
zero_force,7,medium_train,-177.75007045348954,-0.35550014090697907,0.016905057885804205,0.04452028715598735,0.008988537904848095,0.19591458969305206,0.38837545056869605,0.0,0.0,0.0,0.0,380,0,0,0,0,0,1,500
zero_force,8,medium_train,-157.59714960968125,-0.3151942992193625,0.013461200215754228,0.03527728756966465,0.02370533182972739,0.18286476120480688,0.3199852125864561,0.0,0.0,0.0,0.0,407,0,0,0,0,0,1,500
zero_force,9,medium_train,-192.80998073032424,-0.3856199614606485,0.015664561219815284,0.04204916474814233,0.03103645912549361,0.18948689625049955,0.3745869084172016,0.0,0.0,0.0,0.0,365,0,2,0,0,0,1,500
