waypoint_index,initial_ee_xyz,final_ee_xyz,drift_distance,q_drift,max_qvel
0,"[0.25000032037865044, -0.20000005427222964, -0.10000026715232341]","[0.2611559656128983, -0.18512986414456611, -0.10001638443178909]",0.018589546384781837,0.058075414338120725,1.6434095081098659
1,"[0.0027910198194953002, -0.3488444570141578, -0.14813351719219817]","[-0.00496067715473266, -0.3488394219092, -0.1481224458567077]",0.007751706515794208,0.022220107881592885,1.1276694418182005
2,"[-0.24879047334260124, -0.20296808157966648, -0.10163548689834867]","[-0.2520598653324187, -0.19890757313212032, -0.10163085563050955]",0.005213125193616405,0.01623610255780979,1.0345802357956368
