t,des_x,des_y,des_z,des_roll,des_pitch,act_x,act_y,act_z,act_roll,act_pitch,err_x,err_y,err_z,err_roll,err_pitch,tau1,tau2,tau3,tau4,q1,q2,q3,q4,dq1,dq2,dq3,dq4
0.0,-0.35,0.15,-0.2,-1.5707963267948966,0.0,-0.3499971814081833,0.15000320489106017,-0.19999961297202887,-1.626858225409729e-05,3.2678412708157964e-06,-2.963334198524681e-06,-3.1722254707766684e-06,-3.8828389897771487e-07,-1.5707800582132734,-4.0352256638342965e-06,-0.03009368295076608,6.848133793903931,1.9853456235976872,0.028841852258889744,0.40489171911573796,-1.9254499695552183,-0.41545431718082676,0.8006902858872654,-0.00014176850910143306,-0.0001391112927629712,0.0003056420354162693,-0.0013682065061422827
0.001,-0.3499999920239808,0.14999996570311744,-0.2,-1.5707963267948966,0.0,-0.3499966117479878,0.15000286183520103,-0.19999954332690265,-1.626858947433772e-05,7.7728305619425e-06,-2.8106169646657797e-06,-3.239187442855007e-06,-3.8702812435453815e-07,-1.5707800582126425,-3.2678494532589752e-06,-0.041933932627821566,6.6973082967338335,1.8624699919054313,0.09500598732964552,0.40489148033982986,-1.925450623862295,-0.41545238630760795,0.8006960673241365,-0.00033578338386872113,-0.0011694724635460446,0.0035560045862117217,0.012930849480714197
0.002,-0.34999993638338556,0.14999972644855808,-0.2,-1.5707963267948966,0.0,-0.3499992924789165,0.15000376124244383,-0.19999973342673993,-1.626858201645477e-05,-9.264682558478813e-06,-3.3246218292259933e-06,-3.13539245835881e-06,-4.566704265296373e-07,-1.570780058205422,-7.77272179375288e-06,-0.1110737257085797,7.377957022541725,2.4369028139611917,-0.22762216401849322,0.4048908781956385,-1.9254501282495269,-0.4154546807435767,0.8006772315285515,-0.0008685034813084806,0.002160631968258886,-0.008144781473188449,-0.05060217003488923
0.003,-0.3499997859393344,0.1499990795391379,-0.2,-1.5707963267948966,0.0,-0.34998403015100205,0.1499966844703018,-0.19999849441923415,-1.626867528595713e-05,9.632266760979991e-05,-4.935175400566649e-07,-4.68167883396764e-06,-2.6657885277003857e-07,-1.57078005821288,9.264246522366903e-06,-0.19567032426163936,3.7091639711598647,-0.639932793651413,1.4842024370434024,0.40488958459254365,-1.9254577744219623,-0.4154295478791722,0.8008002995593485,-0.001718706422850953,-0.01745228150473333,0.058404259448233145,0.29672157309793035
0.004,-0.34999949412433917,0.14999782473465856,-0.2,-1.5707963267948966,0.0,-0.35006668163448673,0.1500310891654603,-0.20001496103039057,-1.626801735675845e-05,-0.000506667309383057,-1.54633624953604e-05,1.1400010096473956e-06,-1.5053382128316084e-06,-1.5707800581196232,-9.63171010255337e-05,-0.29858872613094634,22.799574537833593,15.385203821280276,-7.449923069048478,0.4048871312047702,-1.9254343905565992,-0.41558339370120306,0.8000667440597578,-0.0031876479624343215,0.06422466167536212,-0.36625082241692464,-1.7642772474215045
0.005,-0.34999901494,0.14999576424199998,-0.2,-1.5707963267948966,0.0,-0.35010079778665915,0.1500441065291006,-0.20002876486139382,-1.6268339781094327e-05,-0.000704555106927361,6.767770508209203e-05,-3.532966240524238e-05,1.4967310604713235e-05,-1.570780058777814,0.0005067764252437712,-0.3735681114339351,-74.42709702583633,-69.32381445595333,41.660603725526585,0.4048832619822196,-1.925544746200931,-0.41541285617277374,0.799928428321096,-0.004550796442461193,-0.2849405344178731,0.7073906718128188,1.4877315587562698
0.006,-0.3499983029547008,0.14999270270521345,-0.2,-1.5707963267948966,0.0,-0.3501359285912605,0.15005674417088144,-0.20005104841143317,-1.626879217058678e-05,-0.0009110125643297476,0.0001025670438407622,-5.143505357482758e-05,2.8812209542927736e-05,-1.570780058456823,0.0007052740218531639,-0.5300211311848296,63.51950719162095,48.8831913542202,-25.24609620389835,0.40487742712983055,-1.9257129880751354,-0.4151599330580375,0.799806715354598,-0.007118846575498317,-0.05154056375962665,-0.2016037607076323,-1.73122297334853
0.007,-0.34999731330130557,0.1499884471956141,-0.2,-1.5707963267948966,0.0,-0.3501720811311589,0.15006881477351683,-0.20008173823235567,-1.626937799288486e-05,-0.0011253383836126991,0.00013868609191880488,-6.832758903033143e-05,5.1086413162648725e-05,-1.5707800580041014,0.0009116681894614231,-0.5693261757351205,-70.15800073015518,-68.4544604782943,43.010688658754134,0.4048691686642576,-1.9259390647156076,-0.41482474128064306,0.7997014776217977,-0.009398020454158818,-0.4006198059752404,0.8720561176717122,1.5207614479088045
0.008,-0.34999600167485434,0.1499828072018739,-0.2,-1.5707963267948966,0.0,-0.3502093155143924,0.15008016342447084,-0.20012086343193428,-1.627009790625843e-05,-0.0013476953593750088,0.0001761456446830456,-8.60361951489641e-05,8.17854086098968e-05,-1.5707800574186106,0.0011260210033965379,-0.7155678163545656,67.80068819994314,49.6795543291877,-23.818257019328982,0.40485805159295846,-1.9262230682343426,-0.4144070546555733,0.7996128005834229,-0.01283606756365946,-0.16738414330880494,-0.036741079908671925,-1.698119730156844
0.009000000000000001,-0.3499943243302592,0.14997559462011453,-0.2,-1.5707963267948966,0.0,-0.35024773909470097,0.15009066113583805,-0.20016838253254282,-1.627095385474589e-05,-0.0015782718773531227,0.00021506682835359392,-0.00010460150209079533,0.00012090156473934521,-1.5707800566983647,0.0013483810730163803,-0.7496437857231015,-65.99929470467,-67.7398169706083,44.510083489567634,0.40484365452859794,-1.9265649078271818,-0.4139070897326923,0.7995403888133242,-0.01595801147402204,-0.5163045345973443,1.036743528683178,1.5532381138676676
