run_id,step,time,controller_name,duration,tau_limit,des_ee_x,des_ee_y,des_ee_z,act_ee_x,act_ee_y,act_ee_z,ee_err_norm,q_jnt_des_jnt1,q_jnt_des_jnt2,q_jnt_des_jnt3,q_jnt_des_jnt4,q_jnt_actual_jnt1,q_jnt_actual_jnt2,q_jnt_actual_jnt3,q_jnt_actual_jnt4,q_act_actual_1,q_act_actual_2,q_act_actual_3,q_act_actual_4,ratio_q_act_1,ratio_q_act_2,ratio_q_act_3,ratio_q_act_4,trans_err_jnt1,trans_err_jnt2,trans_err_jnt3,trans_err_jnt4,tau_bias_jnt1,tau_bias_jnt2,tau_bias_jnt3,tau_bias_jnt4,tau_jnt_before_clip_jnt1,tau_jnt_before_clip_jnt2,tau_jnt_before_clip_jnt3,tau_jnt_before_clip_jnt4,tau_cmd_jnt_jnt1,tau_cmd_jnt_jnt2,tau_cmd_jnt_jnt3,tau_cmd_jnt_jnt4,qfrc_applied_jnt1,qfrc_applied_jnt2,qfrc_applied_jnt3,qfrc_applied_jnt4,qfrc_constraint_jnt1,qfrc_constraint_jnt2,qfrc_constraint_jnt3,qfrc_constraint_jnt4,ncon,saturation_flag,joint_limit_margin
0,0,0.0,IK_joint_space_VSD,3.0,20.0,0.25000032037865044,-0.20000005427222964,-0.10000026715232341,0.2500401181148811,-0.2000130648531315,-0.09999112672162719,4.2856533898577175e-05,0.6747446831943159,1.27497468573782,1.416190933113277,-0.4505547168052535,0.6746987673579999,1.2749698005,1.4161152989999999,-0.45050822999999995,1.26513926,8.49979867,4.72038433,-1.5016941,0.6746987673579999,1.2749698005,1.4161152989999999,-0.45050822999999995,0.0,0.0,0.0,0.0,-3.95534180131989e-05,-6.981297836338742,-1.3974463990969623,0.03894240700469509,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,-6.243785533854103e-05,0.0008428213553635394,-0.0005553208549679589,0.0006940320436424793,0,0,0.15478470100000008
0,1,0.002,IK_joint_space_VSD,3.0,20.0,0.2500003168021573,-0.20000006002436027,-0.10000026829916459,0.25004002957995664,-0.20001302298200477,-0.09999112194576215,4.276445687712842e-05,0.6747447042024168,1.2749746907693487,1.4161909284791625,-0.4505547133773656,0.6746988379619586,1.27496972517423,1.4161154920279644,-0.45050847825262985,1.2651393895810608,8.49979819587939,4.720384954780264,-1.5016949102569161,0.6746988364635796,1.2749697293819084,1.416115486434079,-0.4505084730770748,1.4983789764499988e-09,-4.207678427903261e-09,5.593885354926442e-09,-5.1755550400933714e-09,-3.9554134041259986e-05,-6.981297165827258,-1.3974458559631209,0.03894219429117873,0.00359163654532664,-6.980447866799181,-1.393747353013862,0.03773911288031567,0.00359163654532664,-6.980447866799181,-1.393747353013862,0.03773911288031567,0.00359163654532664,-6.980447866799181,-1.393747353013862,0.03773911288031567,-6.456227139700503e-05,0.0006193877038148691,-0.0004841884294819057,0.0003747707967871294,0,0,0.15478450797203558
0,2,0.004,IK_joint_space_VSD,3.0,20.0,0.25000029182394673,-0.20000010019720216,-0.10000027630869765,0.2500398743211707,-0.20001295634429228,-0.09999111735328209,4.2613860055062575e-05,0.6747448509228592,1.2749747259095128,1.4161908961145377,-0.4505546894370184,0.6746989783345791,1.2749696011466916,1.4161158425162181,-0.450508849924672,1.2651396506307593,8.499797382218903,4.7203861125956745,-1.5016961422792177,0.6746989756813839,1.2749696073328354,1.4161158337787023,-0.4505088426837653,2.6531952190822494e-09,-6.186143819419954e-09,8.737515821977127e-09,-7.240906707561834e-09,-3.9555959692321526e-05,-6.981295972853081,-1.3974448723759694,0.038941846570759164,0.00418467165245637,-6.979964968906078,-1.3945653053828824,0.03813993996689929,0.00418467165245637,-6.979964968906078,-1.3945653053828824,0.03813993996689929,0.00418467165245637,-6.979964968906078,-1.3945653053828824,0.03813993996689929,-7.596547348562302e-05,0.000331350792321797,-0.0003629153515492003,0.00020899088563937078,0,0,0.15478415748378183
0,3,0.006,IK_joint_space_VSD,3.0,20.0,0.25000022419949197,-0.2000002089585881,-0.1000002979931984,0.2500396652559994,-0.20001288001298181,-0.09999111658966253,4.243171842807727e-05,0.6747452481444709,1.2749748210457625,1.4161908084926071,-0.45055462462244206,0.6746992000360622,1.2749694534253404,1.4161163069368508,-0.4505092858054786,1.265140064256771,8.499796397417622,4.720387657009222,-1.5016975943183546,0.6746991962681359,1.2749694596126433,1.4161162971027665,-0.45050927829550635,3.767926304298896e-09,-6.187302892257662e-09,9.834084213622418e-09,-7.509972255181907e-09,-3.9558741574204404e-05,-6.981294396499356,-1.3974435453918832,0.03894140902748067,0.005354867930020547,-6.979451197274409,-1.3953286174924031,0.03844755318611329,0.005354867930020547,-6.979451197274409,-1.3953286174924031,0.03844755318611329,0.005354867930020547,-6.979451197274409,-1.3953286174924031,0.03844755318611329,-9.772142132348852e-05,4.0848815112352715e-05,-0.0002362800647962743,9.848404459215641e-05,0,0,0.1547836930631492
0,4,0.008,IK_joint_space_VSD,3.0,20.0,0.2500000928552603,-0.20000042020112085,-0.10000034011007902,0.2500394106384562,-0.20001280991908651,-0.09999112305295502,4.2241535586837275e-05,0.6747460196510604,1.274975005824842,1.4161906383082694,-0.45055449873585574,0.6746995258169912,1.2749693065048422,1.4161168409289235,-0.4505097466419751,1.265140672641744,8.49979540810362,4.720389438296871,-1.5016991330806233,0.6746995207198421,1.2749693112155431,1.416116831489061,-0.45050973992418697,5.09714914720405e-09,-4.710700940435686e-09,9.439862447280234e-09,-6.71778810357182e-09,-3.956253313368054e-05,-6.981292568045997,-1.3974419648210012,0.03894091597881566,0.007049337705690269,-6.97890490648355,-1.3960321380987164,0.038710709154023186,0.007049337705690269,-6.97890490648355,-1.3960321380987164,0.038710709154023186,0.007049337705690269,-6.97890490648355,-1.3960321380987164,0.038710709154023186,-0.00012910329727025725,-0.0002471622816101079,-0.00011159135005274934,1.0335190818853855e-05,0,0,0.15478315907107643
0,5,0.01,IK_joint_space_VSD,3.0,20.0,0.249999876888136,-0.200000767542854,-0.10000040936203405,0.2500391152599832,-0.20001276337803653,-0.0999911400964438,4.2065058796191885e-05,0.6747472882241106,1.2749753096534329,1.4161903584775235,-0.4505542917430277,0.6746999885593807,1.2749691843085391,1.4161174015087306,-0.4505102014526071,1.2651415371248198,8.499794576379253,4.720391311732161,-1.5017006539680406,0.6746999817486664,1.274969186456888,1.4161173935196483,-0.45051019619041216,6.810714325844458e-09,-2.14834883216497e-09,7.989082284609594e-09,-5.262194957555977e-09,-3.9567358859618815e-05,-6.981290610182118,-1.3974402125994405,0.03894039639957936,0.009219610866958454,-6.97832412263385,-1.3966796208765142,0.03894926942967647,0.009219610866958454,-6.97832412263385,-1.3966796208765142,0.03894926942967647,0.009219610866958454,-6.97832412263385,-1.3966796208765142,0.03894926942967647,-0.0001693985468313542,-0.0005334722316810708,9.441666260622616e-06,-6.827136832150765e-05,0,0,0.1547825984912694
0,6,0.012,IK_joint_space_VSD,3.0,20.0,0.24999955556479897,-0.2000012843279511,-0.10000051239718813,0.2500387810845179,-0.2000127592016715,-0.0999911711092836,4.192342762504926e-05,0.6747491756454734,1.2749757616988024,1.416189942136874,-0.4505539837728359,0.6747006303108984,1.2749691102657839,1.4161179476282897,-0.4505106230451,1.2651427363500831,8.499794060350276,4.720393139415399,-1.5017020655581401,0.6747006212954993,1.2749691090525412,1.4161179418246197,-0.450510619667442,9.01539909392568e-09,1.2132426174815691e-09,5.803669989035143e-09,-3.377657986636251e-09,-3.957303318103244e-05,-6.981288637474717,-1.3974383631130127,0.03893987613644234,0.011821246649291269,-6.977707226775628,-1.397277151203874,0.03917203298819906,0.011821246649291269,-6.977707226775628,-1.397277151203874,0.03917203298819906,0.011821246649291269,-6.977707226775628,-1.397277151203874,0.03917203298819906,-0.000217954910194571,-0.0008197689681788737,0.00012686798476953674,-0.0001424818717621991,0,0,0.15478205237171028
0,7,0.014,IK_joint_space_VSD,3.0,20.0,0.24999910832105857,-0.200002003627323,-0.10000065580924217,0.2500384076556706,-0.2000128176614973,-0.09999121955487708,4.183806798256174e-05,0.6747518027000645,1.274976390889447,1.4161893626427366,-0.45055355511682815,0.6747015014008975,1.2749691074416483,1.4161184401441618,-0.4505109862138107,1.2651443645761742,8.49979401515032,4.7203947900905145,-1.5017032833395618,0.6747014896284736,1.274969102272548,1.4161184370271542,-0.45051098500186854,1.1772423813560806e-08,5.169100258939352e-09,3.117007540964778e-09,-1.2119421577416745e-09,-3.957902468946653e-05,-6.9812867571928585,-1.3974364837634208,0.03893937887290333,0.01481349565638243,-6.977053227938389,-1.3978307862061945,0.03938336407956073,0.01481349565638243,-6.977053227938389,-1.3978307862061945,0.03938336407956073,0.01481349565638243,-6.977053227938389,-1.3978307862061945,0.03938336407956073,-0.00027417521327888976,-0.0011076859708957932,0.000241239625002944,-0.0002144819132179679,0,0,0.1547815598558382
0,8,0.016,IK_joint_space_VSD,3.0,20.0,0.2499985147611472,-0.20000295823924621,-0.10000084613762175,0.2500379923966823,-0.2000129603965333,-0.09999128899056972,4.183139870492236e-05,0.6747552891785575,1.2749772259157375,1.4161885935708436,-0.4505529862287826,0.6747026596304515,1.274969198661598,1.4161188416157673,-0.45051126696998983,1.2651465301331126,8.499794593915517,4.720396138399423,-1.5017042270259775,0.674702644519989,1.2749691890873276,1.4161188415198267,-0.45051126810779324,1.5110462547873738e-08,9.574270487533454e-09,9.594058880679768e-11,1.1378034070474996e-09,-3.9584355944518244e-05,-6.981285070114383,-1.3974346355133451,0.0389389265928719,0.018158994956185975,-6.97636174869075,-1.3983458612286435,0.039585744194179,0.018158994956185975,-6.97636174869075,-1.3983458612286435,0.039585744194179,0.018158994956185975,-6.97636174869075,-1.3983458612286435,0.039585744194179,-0.00033751193800707737,-0.001398569821310847,0.0003531762867508518,-0.0002852859548162381,0,0,0.15478115838423268
0,9,0.018000000000000002,IK_joint_space_VSD,3.0,20.0,0.2499977546569694,-0.20000418068995993,-0.10000108986762299,0.250037530851908,-0.20001321030210611,-0.09999138307793776,4.192733410671603e-05,0.6747597538800783,1.274978295230565,1.4161876087156504,-0.450552257724268,0.6747041695299616,1.2749694066139365,1.416119116080772,-0.4505114421805972,1.2651493540122034,8.499795948579466,4.720397064074212,-1.5017048192895335,0.6747041504947081,1.2749693922869199,1.4161191192222635,-0.45051144578686003,1.903525348456725e-08,1.4327016684134719e-08,-3.1414915113714414e-09,3.606262843902641e-09,-3.958753079408091e-05,-6.981283671210192,-1.397432873340582,0.03893853983169038,0.021823489904398297,-6.975632922809522,-1.3988268851199517,0.03978077926925621,0.021823489904398297,-6.975632922809522,-1.3988268851199517,0.03978077926925621,0.021823489904398297,-6.975632922809522,-1.3988268851199517,0.03978077926925621,-0.00040746258623371287,-0.0016934580661494545,0.0004632296042140108,-0.00035542325703177504,0,0,0.15478088391922795
