run_id,step,time,duration,tau_jnt_limit,q_jnt_des_jnt1,q_jnt_des_jnt2,q_jnt_des_jnt3,q_jnt_des_jnt4,q_jnt_actual_jnt1,q_jnt_actual_jnt2,q_jnt_actual_jnt3,q_jnt_actual_jnt4,q_jnt_error_jnt1,q_jnt_error_jnt2,q_jnt_error_jnt3,q_jnt_error_jnt4,q_act_actual_1,q_act_actual_2,q_act_actual_3,q_act_actual_4,ratio_q_act_1,ratio_q_act_2,ratio_q_act_3,ratio_q_act_4,trans_err_jnt1,trans_err_jnt2,trans_err_jnt3,trans_err_jnt4,qdot_jnt_des_jnt1,qdot_jnt_des_jnt2,qdot_jnt_des_jnt3,qdot_jnt_des_jnt4,qdot_jnt_actual_jnt1,qdot_jnt_actual_jnt2,qdot_jnt_actual_jnt3,qdot_jnt_actual_jnt4,qdot_act_actual_1,qdot_act_actual_2,qdot_act_actual_3,qdot_act_actual_4,tau_bias_jnt1,tau_bias_jnt2,tau_bias_jnt3,tau_bias_jnt4,tau_pd_jnt1,tau_pd_jnt2,tau_pd_jnt3,tau_pd_jnt4,tau_jnt_before_clip_jnt1,tau_jnt_before_clip_jnt2,tau_jnt_before_clip_jnt3,tau_jnt_before_clip_jnt4,tau_jnt_after_clip_jnt1,tau_jnt_after_clip_jnt2,tau_jnt_after_clip_jnt3,tau_jnt_after_clip_jnt4,tau_act_cmd_1,tau_act_cmd_2,tau_act_cmd_3,tau_act_cmd_4,qfrc_applied_q1_act,qfrc_applied_q2_act,qfrc_applied_q3_act,qfrc_applied_q4_act,qfrc_applied_jnt1,qfrc_applied_jnt2,qfrc_applied_jnt3,qfrc_applied_jnt4,qfrc_constraint_jnt1,qfrc_constraint_jnt2,qfrc_constraint_jnt3,qfrc_constraint_jnt4,qfrc_constraint_q1_act,qfrc_constraint_q2_act,qfrc_constraint_q3_act,qfrc_constraint_q4_act,des_ee_x,des_ee_y,des_ee_z,act_ee_x,act_ee_y,act_ee_z,ee_err_norm,ncon,saturation_flag,joint_limit_margin,actuator_limit_margin
0,0,0.0,3.0,20.0,0.6747446831943159,1.27497468573782,1.416190933113277,-0.4505547168052535,0.6746987673579999,1.2749698005,1.4161152989999999,-0.45050822999999995,4.5915836315968406e-05,4.885237819829413e-06,7.56341132770455e-05,-4.648680525354276e-05,1.26513926,8.49979867,4.72038433,-1.5016941,0.6746987673579999,1.2749698005,1.4161152989999999,-0.45050822999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.95534180131989e-05,-6.981297836338742,-1.3974463990969623,0.03894240700469509,0.0036732669052774725,0.00039081902558635306,0.00453804679662273,-0.0018594722101417105,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,0.0036337134872642734,-6.9809070173131555,-1.3929083523003396,0.03708293479455338,0.001937859402758037,-1.0471360525969733,-0.41787250569010187,0.011124880438366014,0.001937859402758037,-1.0471360525969733,-0.41787250569010187,0.011124880438366014,0.0,0.0,0.0,0.0,0.003544489727577374,-6.744017080690781,-1.3631248906437674,0.037394234578256025,-0.0018902763717170135,1.011602562103617,0.40893746719313023,-0.011218270373476807,0.25000032037865044,-0.20000005427222964,-0.10000026715232341,0.2500401181148811,-0.2000130648531315,-0.09999112672162719,4.2856533898577175e-05,0,0,0.15478470100000008,0.5156156699999999
0,1,0.002,3.0,20.0,0.6747447042024168,1.2749746907693487,1.4161909284791625,-0.4505547133773656,0.6746988527026685,1.2749755881883573,1.4161106957474874,-0.45050846548433054,4.5851499748339464e-05,-8.974190086608047e-07,8.023273167512279e-05,-4.624789303503407e-05,1.2651394451714695,8.499665409957474,4.720350821228446,-1.501694463431062,0.6746988661099447,1.274949811493621,1.4161052463685337,-0.4505083390293186,-1.3407276178156735e-08,2.5776694736245886e-05,5.449378953636952e-06,-1.264550119617347e-07,3.1491123629559905e-05,7.5422568070784855e-06,-6.9465330442676644e-06,5.138400770206786e-06,4.267233430440814e-05,0.002893844178611651,-0.0023016262562433943,-0.00011774216529848769,9.258573469051641e-05,-0.0666300212626825,-0.01675438577693647,-0.00018171553105723456,-3.95293769604039e-05,-6.981302847743879,-1.3974415336873447,0.038941468710392835,0.003556307873118675,-0.028934812738738592,0.02317140168610038,-0.0012355128910578905,0.003516778496158271,-7.010237660482618,-1.3742701320012443,0.037705955819334946,0.003516778496158271,-7.010237660482618,-1.3742701320012443,0.037705955819334946,0.001875497972001206,-1.0515356490723926,-0.41228103960037327,0.011311786745800483,0.001875497972001206,-1.0515356490723926,-0.41228103960037327,0.011311786745800483,0.0,0.0,0.0,0.0,0.0034660959482343684,-7.0669058423677775,-1.387184974320671,0.035417428732874345,-0.0018484689691933886,1.0600358763551665,0.4161554922962013,-0.010625228619862303,0.2500003168021573,-0.20000006002436027,-0.10000026829916459,0.2500400130096058,-0.20001301575323815,-0.0999925187358805,4.24699367511718e-05,0,0,0.15478930425251258,0.5156491787715538
0,2,0.004,3.0,20.0,0.6747448509228592,1.2749747259095128,1.4161908961145377,-0.4505546894370184,0.6746989953255277,1.2749785792342645,1.4161095486706263,-0.450507941181096,4.585559733150113e-05,-3.853324751723619e-06,8.134744391141702e-05,-4.6748255922379744e-05,1.2651397319244837,8.499566526831723,4.720332471019321,-1.5016921480192778,0.6746990190353271,1.2749349790247584,1.4160997413057963,-0.4505076444057833,-2.3709799457094505e-08,4.3600209506111653e-05,9.807364830027865e-06,-2.9677531271365964e-07,0.00012562836526304434,3.0088522855307858e-05,-2.7711986427118203e-05,2.0498756932937925e-05,7.131142957395718e-05,0.0014955229535843831,-0.0005735384305339776,0.00026215161728405234,0.0001433765071015541,-0.04944156287617432,-0.009175104562360637,0.0011577058921442168,-3.955206026935669e-05,-6.981302549689676,-1.3974361127198598,0.03894078087163577,0.004211617143410962,-0.014962610287428643,0.009247458187539897,-0.003078194538650762,0.0041720650831416056,-6.996265159977105,-1.3881886545323199,0.03586258633298501,0.0041720650831416056,-6.996265159977105,-1.3881886545323199,0.03586258633298501,0.002224962308839418,-1.0494397739965657,-0.41645659635969595,0.010758775899895502,0.002224962308839418,-1.0494397739965657,-0.41645659635969595,0.010758775899895502,0.0,0.0,0.0,0.0,0.004104355560140237,-7.083231217077834,-1.3995539482180224,0.036470330524057536,-0.0021888528202227884,1.0624846825616752,0.4198661844654067,-0.010941099157217261,0.25000029182394673,-0.20000010019720216,-0.10000027630869765,0.25003965747201573,-0.20001278981673953,-0.09999336152391336,4.1934412366323036e-05,0,0,0.15479045132937364,0.5156675289806785
0,3,0.006,3.0,20.0,0.6747452481444709,1.2749748210457625,1.4161908084926071,-0.45055462462244206,0.6746992100806789,1.2749787093496139,1.4161112294715197,-0.4505076031344974,4.603806379199771e-05,-3.8883038513404244e-06,7.95790210874614e-05,-4.70214879446651e-05,1.2651401536196094,8.499518419773686,4.720327251763525,-1.5016905871791482,0.6746992439253376,1.274927762966053,1.4160981755290574,-0.4505071761537444,-3.3844658742232525e-08,5.094638356095693e-05,1.3053942462315504e-05,-4.2698075297664673e-07,0.0002819085414262431,6.751828358229224e-05,-6.218536440663883e-05,4.599896413453962e-05,0.00010737757559590739,6.505767464305744e-05,0.0008404004467131583,0.0001690232992906554,0.0002108475628572922,-0.024053529018063596,-0.0026096278980461806,0.0007804200647528782,-3.9572453314346306e-05,-6.981297022531513,-1.3974303647187118,0.03893995471772915,0.005428354761663174,-0.000286458218714886,-0.002445945223710693,-0.0024959811935671827,0.005388782308348828,-6.981583480750228,-1.3998763099424225,0.03644397352416197,0.005388782308348828,-6.981583480750228,-1.3998763099424225,0.03644397352416197,0.00287383760504243,-1.047237522112534,-0.41996289298272677,0.01093319205724859,0.00287383760504243,-1.047237522112534,-0.41996289298272677,0.01093319205724859,0.0,0.0,0.0,0.0,0.00529044228737121,-7.030603048485769,-1.4047535082733549,0.03839418357525655,-0.0028213928718550667,1.0545904572728653,0.42142605248200643,-0.011518255072576965,0.25000022419949197,-0.2000002089585881,-0.1000002979931984,0.25003912151795477,-0.20001244914448346,-0.0999935715697052,4.1328783037474035e-05,0,0,0.15478877052848028,0.5156727482364749
0,4,0.008,3.0,20.0,0.6747460196510604,1.274975005824842,1.4161906383082694,-0.45055449873585574,0.674699527322686,1.2749776634813497,1.416113694155635,-0.4505079140223123,4.649232837439232e-05,-2.6576565077540693e-06,7.694415263448384e-05,-4.658471354346272e-05,1.2651407712005072,8.499498790250014,4.720327617613093,-1.5016913335080058,0.6746995732812304,1.274924818537502,1.416098285283928,-0.4505074000524017,-4.595854441458158e-08,5.284494384771854e-05,1.540887170703442e-05,-5.13969910576062e-07,0.0004998298158563897,0.00011971134708845339,-0.00011025596841827128,8.155713784559811e-05,0.0001586210035518716,-0.0005229341321353168,0.0012323420576223509,-0.00015544390742817918,0.0003087904489175288,-0.009814761836091325,0.0001829247841139258,-0.0003731644287974759,-3.958469000251446e-05,-6.98129021460953,-1.3974253552930884,0.03893894737840342,0.007131474392996567,0.006213842271617375,-0.006124135050255946,-0.0006783833153696222,0.007091889702994052,-6.975076372337912,-1.4035494903433443,0.0382605640630338,0.007091889702994052,-6.975076372337912,-1.4035494903433443,0.0382605640630338,0.0037821047786067282,-1.0462614558506869,-0.4210648471030033,0.011478169218910138,0.0037821047786067282,-1.0462614558506869,-0.4210648471030033,0.011478169218910138,0.0,0.0,0.0,0.0,0.00695736526167111,-6.991538324652609,-1.4046001530497028,0.03964557609754342,-0.003710362894049203,1.0487307486978914,0.4213800459149108,-0.011893672829263026,0.2500000928552603,-0.20000042020112085,-0.10000034011007902,0.2500385307836114,-0.2000121066793986,-0.09999348361546492,4.075609928404235e-05,0,0,0.15478630584436504,0.5156723823869065
0,5,0.01,3.0,20.0,0.6747472882241106,1.2749753096534329,1.4161903584775235,-0.4505542917430277,0.6746999836471695,1.2749765551268772,1.4161158366003823,-0.4505086779920131,4.730457694102075e-05,-1.2454734443778648e-06,7.452187714118708e-05,-4.561375101458376e-05,1.2651416559514042,8.499488789311155,4.720329158681878,-1.5016936822656775,0.6747000451188838,1.274923318396673,1.4160987476045632,-0.4505081046797032,-6.147171427439702e-08,5.3236730204186955e-05,1.708899581909229e-05,-5.733123099038728e-07,0.0007788916995021616,0.0001865478441370308,-0.00017181339707481182,0.0001270916133609397,0.00022816224175535246,-0.000554177236226831,0.001071222373705614,-0.00038198485042316774,0.000442375448548513,-0.005000469429842904,0.000770534392251415,-0.001174378835887465,-3.959202165873271e-05,-6.981284362621398,-1.39742140361724,0.038937902782552936,0.00929166073274975,0.007307612928088388,-0.005472973537772182,0.0007208322783371869,0.009252068711091018,-6.97397674969331,-1.4028943771550122,0.03965873506089012,0.009252068711091018,-6.97397674969331,-1.4028943771550122,0.03965873506089012,0.00493412824362484,-1.0460965124539965,-0.42086831314650364,0.011897620518267036,0.00493412824362484,-1.0460965124539965,-0.42086831314650364,0.011897620518267036,0.0,0.0,0.0,0.0,0.009076055496135315,-6.979932248910951,-1.4029680642833513,0.04004683671606911,-0.004840260396088964,1.0469898373366426,0.42089041928500537,-0.012014051014820733,0.249999876888136,-0.200000767542854,-0.10000040936203405,0.25003796155225283,-0.20001183844468173,-0.09999334337768223,4.028566299605553e-05,0,0,0.15478416339961765,0.5156708413181219
0,6,0.012,3.0,20.0,0.6747491756454734,1.2749757616988024,1.416189942136874,-0.4505539837728359,0.6747006212511647,1.2749756592151902,1.4161175063799627,-0.45050954892393386,4.8554394308730764e-05,1.0248361226317115e-07,7.243575691129323e-05,-4.443484890204186e-05,1.2651428887779446,8.499482326109202,4.720330753757453,-1.5016964384163034,0.6747007025852778,1.2749223489163803,1.4160992261272358,-0.450508931524891,-8.133411311117555e-08,5.331029880983884e-05,1.828025272687661e-05,-6.173990428348652e-07,0.0011185950505236792,0.0002679082281540815,-0.0002467475461664112,0.00018252094579963065,0.0003188019975910842,-0.0004479558435581257,0.0008348897902292915,-0.00043546596036237627,0.0006164132701756754,-0.0032316009762235432,0.0007975377872428841,-0.0013780753129402387,-3.959682178052738e-05,-6.981279706425978,-1.3974182794012726,0.0389369480661903,0.01188228207402441,0.007166839406103126,-0.004306953276488029,0.0013125405747283604,0.011842685252243884,-6.974112867019874,-1.4017252326777607,0.040249488640918665,0.011842685252243884,-6.974112867019874,-1.4017252326777607,0.040249488640918665,0.006315704045021664,-1.0461169300529811,-0.4205175698033282,0.012074846592275599,0.006315704045021664,-1.0461169300529811,-0.4205175698033282,0.012074846592275599,0.0,0.0,0.0,0.0,0.011617968713422662,-6.977430575921474,-1.4015897093028176,0.04006975659710724,-0.006195862714868306,1.046614586388221,0.42047691279084526,-0.01202092697913217,0.24999955556479897,-0.2000012843279511,-0.10000051239718813,0.2500374308008311,-0.20001167532131836,-0.0999932238111631,3.9945334319416793e-05,0,0,0.15478249362003726,0.5156692462425472
0,7,0.014,3.0,20.0,0.6747518027000645,1.274976390889447,1.4161893626427366,-0.45055355511682815,0.6747014898491145,1.2749750004469198,1.4161187723744937,-0.4505103301718093,5.0312850950029464e-05,1.3904425271160648e-06,7.059026824296488e-05,-4.3224945018849326e-05,1.2651445639843255,8.499477850444569,4.720332166448603,-1.5016989311079603,0.6747015959728407,1.2749216775666852,1.416099649934581,-0.45050967933238806,-1.0612372625118383e-07,5.332288023462972e-05,1.9122439912644396e-05,-6.508394212456636e-07,0.0015184420742925073,0.0003636732752284803,-0.00033494860866057475,0.0002477639101049774,0.000434298974883553,-0.0003293841351941521,0.0006329972654699353,-0.00039062393772960825,0.0008376031904760727,-0.002237832316570966,0.000706345575484716,-0.00124634582843592,-3.960001669598561e-05,-6.981276069611509,-1.3974157660515918,0.03893614108102916,0.0148664590700919,0.00704180950639561,-0.0035081508984661867,0.0014629414384189554,0.014826859053395914,-6.9742342601051135,-1.400923916950058,0.04039908251944812,0.014826859053395914,-6.9742342601051135,-1.400923916950058,0.04039908251944812,0.007907163933176042,-1.046135139015767,-0.4202771750850174,0.012119724755834435,0.007907163933176042,-1.046135139015767,-0.4202771750850174,0.012119724755834435,0.0,0.0,0.0,0.0,0.01454601207185347,-6.976864200305239,-1.4006814966312038,0.039988812976304244,-0.0077573882379194554,1.0465296300457858,0.4202044489893611,-0.011996643892891273,0.24999910832105857,-0.200002003627323,-0.10000065580924217,0.25003692923647186,-0.2000116302596025,-0.09999313972257831,3.97439964080454e-05,0,0,0.15478122762550628,0.5156678335513964
0,8,0.016,3.0,20.0,0.6747552891785575,1.2749772259157375,1.4161885935708436,-0.4505529862287826,0.6747026466947552,1.2749745652085518,1.4161197006914155,-0.45051094489595045,5.264248380232317e-05,2.6607071856865616e-06,6.88928794281285e-05,-4.2041332832143397e-05,1.265146789453749,8.499474938150946,4.720333279907687,-1.5017008963228975,0.6747027828156843,1.274921240722642,1.416099983972306,-0.45051026889686924,-1.3612092908399376e-07,5.332448590977812e-05,1.9716719109386105e-05,-6.759990812121863e-07,0.0019779363233916538,0.0004737240841119196,-0.00043630707470216214,0.00032273950104452624,0.0005784228203902534,-0.00021761918395247825,0.00046415846083662325,-0.0003073620705746185,0.0011127347117348496,-0.0014561468113440726,0.0005567295420618469,-0.0009826074685748605,-3.960120846941328e-05,-6.981273292266084,-1.3974137272312785,0.038935495509775375,0.018206533734199858,0.0071262892554989025,-0.003070151518622574,0.0014688545448099874,0.018166932525730446,-6.974147003010585,-1.4004838787499012,0.04040435005458536,0.018166932525730446,-6.974147003010585,-1.4004838787499012,0.04040435005458536,0.009688425115972047,-1.0461220504515878,-0.42014516362497034,0.012121305016375608,0.009688425115972047,-1.0461220504515878,-0.42014516362497034,0.012121305016375608,0.0,0.0,0.0,0.0,0.017822917632737984,-6.976601433615112,-1.4001331915448583,0.03991044344968513,-0.009504961973539167,1.0464902150422668,0.42003995746345746,-0.011973133034905539,0.2499985147611472,-0.20000295823924621,-0.10000084613762175,0.2500364396298996,-0.2000117129529688,-0.09999309337486409,3.9686849366326064e-05,0,0,0.1547802993085845,0.5156667200923124
0,9,0.018000000000000002,3.0,20.0,0.6747597538800783,1.274978295230565,1.4161876087156504,-0.450552257724268,0.6747041559292316,1.274974343373965,1.4161203289175561,-0.45051136877455766,5.5597950846641986e-05,3.951856599959669e-06,6.727979809428852e-05,-4.088894971032708e-05,1.2651496855755404,8.499473461181896,4.720333977936816,-1.5017022466814125,0.6747043273174357,1.2749210191772844,1.4161001933810449,-0.45051067400442374,-1.7138820407325284e-07,5.332419668069299e-05,2.0135536511256547e-05,-6.947701339243828e-07,0.002496582697615572,0.0005979420762189097,-0.0005507137316133881,0.0004073669332100638,0.0007546172381901352,-0.00011091729335707482,0.0003141130703875248,-0.00021193930360206264,0.001448060895747941,-0.00073848452478505,0.0003490145641466738,-0.0006751792575336597,-3.9599140241146805e-05,-6.981271276251263,-1.3974120814566602,0.03893500909105074,0.021867490661985726,0.007404742223756619,-0.002881826530349992,0.001460973195647549,0.02182789152174458,-6.973866534027507,-1.4002939079870103,0.040395982286698294,0.02182789152174458,-6.973866534027507,-1.4002939079870103,0.040395982286698294,0.011640814548546385,-1.046079980104126,-0.4200881723961031,0.012118794686009488,0.011640814548546385,-1.046079980104126,-0.4200881723961031,0.012118794686009488,0.0,0.0,0.0,0.0,0.021414140255122248,-6.976326975931116,-1.3998304794951733,0.03986490862607011,-0.011420160998056695,1.0464490463896674,0.419949143848552,-0.011959472587821032,0.2499977546569694,-0.20000418068995993,-0.10000108986762299,0.25003594374069527,-0.20001193511022008,-0.0999930852911434,3.978203607168765e-05,0,0,0.15477967108244384,0.5156660220631837
