step,time,q_act_des_1,q_act_des_2,q_act_des_3,q_act_des_4,q_act_actual_1,q_act_actual_2,q_act_actual_3,q_act_actual_4,q_jnt_des_1,q_jnt_des_2,q_jnt_des_3,q_jnt_des_4,q_jnt_actual_1,q_jnt_actual_2,q_jnt_actual_3,q_jnt_actual_4,ratio_times_q_act_1,ratio_times_q_act_2,ratio_times_q_act_3,ratio_times_q_act_4,transmission_err_1,transmission_err_2,transmission_err_3,transmission_err_4,ee_des_x,ee_des_y,ee_des_z,ee_act_x,ee_act_y,ee_act_z,ee_err_norm,ncon,qfrc_constraint_jnt1,qfrc_constraint_jnt2,qfrc_constraint_jnt3,qfrc_constraint_jnt4
0,0.0,1.2652253575741907,8.499831238252133,4.720636443710923,-1.5018490560175117,1.26513926,8.49979867,4.72038433,-1.5016941,0.6747446831943159,1.27497468573782,1.416190933113277,-0.4505547168052535,0.6746987673579999,1.2749698005,1.4161152989999999,-0.45050822999999995,0.6746987673579999,1.2749698005,1.4161152989999999,-0.45050822999999995,0.0,0.0,0.0,0.0,0.25000032037865044,-0.20000005427222964,-0.10000026715232341,0.2500401181148811,-0.2000130648531315,-0.09999112672162719,4.2856533898577175e-05,0,0.07898353123950849,-1.1346439440329754,0.5229791606195279,-0.2341997472648725
1,0.002,1.2652253660898183,8.499831245503337,4.720636440371688,-1.5018490535474558,1.265142866955144,8.500498022301995,4.720268683448101,-1.501722189495307,0.6747446877357001,1.2749746868255005,1.4161909321115065,-0.4505547160642367,0.6747003886194604,1.2750807218762372,1.4160784008773244,-0.4505150460120617,0.6747006909471783,1.2750747033452992,1.4160806050344301,-0.4505166568485921,-3.023277179714512e-07,6.018530938067812e-06,-2.2041571057229703e-06,1.6108365303857397e-06,0.2500003196055093,-0.200000055515685,-0.10000026740023951,0.25002226980221387,-0.1999994517723432,-0.10002294589052904,3.15672229251359e-05,0,-0.08395075006871544,-48.3381534493371,4.669231927135536,-0.9402176532445001
2,0.004,1.2652254256174413,8.499831296192138,4.720636417029111,-1.5018490362807817,1.2651302406797977,8.490873740725062,4.726434173417817,-1.4981661235683497,0.6747447194817815,1.2749746944288207,1.4161909251087332,-0.4505547108842345,0.6746939905445422,1.2738002587710295,1.4179261477488707,-0.449461358442802,0.6746939573545361,1.2736310611087593,1.4179302520253452,-0.4494498370705049,3.319000607682199e-08,0.00016919766227019295,-4.104276474459212e-06,-1.1521372297096377e-05,0.25000031420094404,-0.2000000642079323,-0.1000002691332719,0.24993302338072515,-0.19992543951885836,-0.09979803603980034,0.00022582099725266644,0,0.6541860744854189,39.640248805573755,-19.447462508701694,-7.059358927993386
3,0.006,1.2652255869443658,8.49983143356481,4.720636353767953,-1.5018489894860458,1.26517378904114,8.496633365779076,4.716861339269407,-1.5253531505443707,0.6747448055174303,1.2749747150347213,1.416190906130386,-0.45055469684581373,0.674714776214365,1.2746318828612941,1.4151148345028288,-0.45754835156377305,0.67471718169564,1.2744950048668613,1.415058401780822,-0.4576059451633112,-2.405481274947441e-06,0.0001368779944328491,5.643272200672733e-05,5.759359953816379e-05,0.2500002995539292,-0.20000008776495323,-0.1000002738299954,0.24943409245762596,-0.19953484806108004,-0.09977971225692181,0.0007653011599892399,0,-1.9365241365530508,-44.03386361850116,19.520005482362276,6.798066841788929
4,0.008,1.2652259006131386,8.4998317006592,4.720636230768958,-1.501848898502799,1.2650995033825791,8.489553135314335,4.723009104839664,-1.5210322310558073,0.6747449727969868,1.27497475509888,1.4161908692306875,-0.45055466955083967,0.6746830232842354,1.2735342813273047,1.4169295939164435,-0.45631169197078436,0.6746775651539294,1.27343297029715,1.4169027314518992,-0.45630966931674216,5.45813030594644e-06,0.00010131103015464937,2.6862464544308295e-05,-2.022654042199701e-06,0.25000027107565626,-0.2000001335669878,-0.10000028296185937,0.24933991628810048,-0.19944652801717025,-0.0996107759977981,0.0009456549187144464,0,3.5056645901539505,41.45135245722445,-19.297462930000997,-7.0007392206793995
5,0.01,1.2652264169219405,8.499832140305084,4.72063602830869,-1.5018487487414736,1.2652242335589714,8.496790289061101,4.713250117149597,-1.5475377231324425,0.6747452481444709,1.2749748210457625,1.4161908084926071,-0.45055462462244206,0.6747351193251453,1.2746004401916546,1.4140434391900312,-0.4641966255227649,0.6747440837569995,1.274518543359165,1.413975035144879,-0.4642613169397327,-8.964431854163735e-06,8.1896832489603e-05,6.840404515218168e-05,6.469141696779923e-05,0.25000022419949197,-0.2000002089585881,-0.1000002979931984,0.2488270939487595,-0.1990575883129012,-0.09965353429988957,0.0015443488355472107,0,-5.697336939448028,-43.90047351956644,19.584624433911205,6.782956007924736
6,0.012,1.2652271859249797,8.499832795124487,4.720635726759384,-1.501848525683269,1.265039988396868,8.491084844407094,4.7191425183266755,-1.5425308885170315,0.6747456582537917,1.274974919268673,1.416190718027815,-0.45055455770498065,0.6746601147001995,1.273732647349808,1.415790970156481,-0.46275272637420434,0.6746458258120497,1.273662726661064,1.4157427554980027,-0.4627592665551094,1.428888814980489e-05,6.992068874400736e-05,4.8214658478373806e-05,6.540180905068027e-06,0.2500001543809361,-0.2000003212486726,-0.10000032038124468,0.24873366136017347,-0.1989522482940376,-0.09955224747149638,0.0017038869746341923,0,8.59519442338471,40.98412869250693,-19.4005555940069,-6.988658491636778
7,0.014,1.2652282574328835,8.499833707532021,4.720635306588788,-1.5018482148800378,1.2653103995703914,8.499933836914373,4.709248942140856,-1.5683779156194337,0.6747462296889567,1.274975056129803,1.4161905919766362,-0.4505544644640113,0.6747698549264085,1.2750232920287659,1.4128372597467789,-0.4704426086566802,0.6747900360908897,1.274990075537156,1.4127746826422567,-0.4705133746858301,-2.018116448121443e-05,3.3216491609922016e-05,6.25771045221768e-05,7.07660291499046e-05,0.2500000570975741,-0.2000004777105785,-0.10000035157613915,0.24820107273038255,-0.19857092610597127,-0.09965399014910084,0.0023237746839516785,0,-12.44578588538593,-42.671619563476256,19.711951852243935,6.778620437648405
8,0.016,1.2652296810130919,8.499834919735218,4.720634748360013,-1.5018478019541723,1.2649372861177037,8.495118727511759,4.714866025027242,-1.562720366638576,0.6747469888842819,1.2749752379602826,1.4161904245080037,-0.4505543405862517,0.6746187785662614,1.274404828798928,1.4144969813553747,-0.4688024439558234,0.6745910546865714,1.2742678091267639,1.4144598075081727,-0.4688161099915728,2.7723879689967035e-05,0.00013701967216417366,3.7173847202032206e-05,1.3666035749426708e-05,0.24999992784903144,-0.20000068558211279,-0.10000039302094257,0.24811469697090988,-0.19844034980923866,-0.09962457406699227,0.0024758802624686815,0,17.345511199452226,39.99102966216631,-19.400835915422594,-7.00123956609516
9,0.018000000000000002,1.2652315059902504,8.499836473734867,4.720634032731375,-1.5018472725984902,1.2654418645803431,8.505400018134829,4.704702608518889,-1.5879146528518937,0.6747479621446005,1.27497547106023,1.4161902098194126,-0.45055418177954704,0.6748258794196981,1.2759213628122232,1.4114785027319803,-0.4762993655588177,0.674860146380697,1.2758100027202242,1.4114107825556665,-0.47637439585556807,-3.42669609989521e-05,0.00011136009199907981,6.772017631373473e-05,7.503029675037798e-05,0.24999976215692243,-0.20000095206560412,-0.10000044615164697,0.247552976568884,-0.19807517281925824,-0.09978637508212443,0.0031210914504858044,0,-18.304051875175446,-43.96035599208023,19.57658078334695,6.765754606747294
