gain_set,rms_pos,max_pos,rms_roll,rms_pitch,max_tau_j,sat_j,stable
low,0.19577870917728946,0.29951165188738604,8.221861844361177e-06,0.06794496462637299,1.3023746506342924,0,True
medium,0.19309263291635834,0.29605831234210955,8.191744056393617e-06,0.029256413568143312,4.17927597189135,0,True
high,0.19258043346073694,0.29541494264133433,8.128564582818875e-06,0.03608289264657259,7.2980703107968905,0,True
