mode,torque_mode,rms_pos,max_pos,rms_roll,rms_pitch,max_tau_j,sat_j,sat_a,nan_stop
A_joint,joint_direct_debug,0.21391741950268597,0.30118780268373413,8.271297816328969e-06,0.0332767266358597,4.17927597189135,0,0,False
B_actuator,actuator,0.5976775809807428,0.8471803521109259,1.755594390328027,1.1641613161457665,10.0,279,0,False
C_current,current_ctrl,0.21391741950268597,0.30118780268373413,8.271297816328969e-06,0.0332767266358597,4.17927597189135,0,0,False
